"Season","End_year","Season_days","Data_days","Perc_complete","Chilling_Hours","Utah_Chill_Units","Chill_Portions","GDH"
"2001/2002",2002,120,120,100,1341,1281.5,76.139634641931,1524.81478173919
"2002/2003",2003,120,120,100,1396,1289,70.7845072930085,1205.90744757418
"2003/2004",2004,120,120,100,1337,892,65.5751901643504,370.779243909754
"2004/2005",2005,121,121,100,1538,1114.5,74.6013991290787,908.2165838769
"2005/2006",2006,120,120,100,1669,1391.5,79.3956070030638,1144.70489492483
"2006/2007",2007,120,120,100,1467,1240.5,71.4735224661512,1278.86333606136
"2007/2008",2008,120,120,100,963,766.5,59.15721502783,869.013545840164
"2008/2009",2009,121,121,100,1298,1052.5,66.2135243802877,1044.6638913186
"2009/2010",2010,120,120,100,1604,1221.5,70.7152185868231,694.671279504953
"2010/2011",2011,120,120,100,1404,1056,64.8490440706103,703.66212409368
"2011/2012",2012,120,120,100,1253,900,61.4157113448462,778.748900223873
"2012/2013",2013,121,121,100,1267,1121.5,67.6627228996488,983.82912862068
"2013/2014",2014,120,120,100,1290,1015.5,65.8343999803044,622.171679690829
"2014/2015",2015,120,120,100,733,737,51.4934049592034,2117.80897016788
"2015/2016",2016,120,120,100,1418,1067.5,70.4615808939493,951.547913667513
"2016/2017",2017,121,121,100,1103,1043,67.128656586458,2061.34088690311
"2017/2018",2018,120,120,100,1090,933.5,62.6447800468654,1594.02782417752
"2018/2019",2019,120,120,100,858,704,51.9509112755186,1075.82849748968
"2019/2020",2020,120,120,100,1260,1150.5,72.9917188078102,1409.48569095135
"2020/2021",2021,121,121,100,1514,1286.5,76.227874012864,1579.88897131837
"2021/2022",2022,120,120,100,882,831,49.1025776871343,927.741117298487
"2022/2023",2023,120,120,100,895,922.5,61.303645330629,1622.00612709881
"2023/2024",2024,120,120,100,1522,1312.5,73.5575573194583,1274.38541659294
"2024/2025",2025,121,121,100,1521,1296,72.5194636319693,741.067180808866
"2025/2026",2026,120,120,100,1368,1053.5,70.9145512617661,922.976555533474
"2026/2027",2027,120,120,100,1026,704.5,60.6237255001147,279.50575641077
"2027/2028",2028,120,120,100,1299,978,66.3346880644899,892.938874369022
"2028/2029",2029,121,121,100,1157,940.5,66.4318489398511,912.366663197987
"2029/2030",2030,120,120,100,1173,957,65.2655068173935,853.870967421914
"2030/2031",2031,120,120,100,1442,1300.5,76.7851330723888,1107.75351101486
"2031/2032",2032,120,120,100,1257,1013,66.8609301092711,1118.58473819331
"2032/2033",2033,121,121,100,1390,1056.5,64.10295008303,953.074325674912
"2033/2034",2034,120,120,100,1192,883,64.3187039787781,693.95190062467
"2034/2035",2035,120,120,100,862,787,48.9385216953679,870.796259007417
"2035/2036",2036,120,120,100,1122,978,58.8618640742634,1244.18806098471
"2036/2037",2037,121,121,100,1467,1279,74.0069477864054,956.489178740419
"2037/2038",2038,120,120,100,983,653.5,59.8197686525637,574.286452166503
"2038/2039",2039,120,120,100,1360,1132.5,71.8023679365915,1542.90606314479
"2039/2040",2040,120,120,100,1672,1484.5,75.6111608180809,1620.05699038249
"2040/2041",2041,121,121,100,1385,1131,70.539874685961,967.349058599677
"2041/2042",2042,120,120,100,1309,856.5,59.6762287889287,493.15189418965
"2042/2043",2043,120,120,100,1467,1541.5,76.7540348112561,2543.5018025795
"2043/2044",2044,120,120,100,1111,754,61.1847488069352,528.953471222427
"2044/2045",2045,121,121,100,1439,1071,65.9219941728643,1029.204514788
"2045/2046",2046,120,120,100,1032,953,59.757079029624,1164.71190863429
"2046/2047",2047,120,120,100,1004,801.5,56.1874104483431,1075.33284368459
"2047/2048",2048,120,120,100,1267,1010.5,62.6020724101018,851.293488655705
"2048/2049",2049,121,121,100,1357,1043.5,68.9203315799004,621.422482460272
"2049/2050",2050,120,120,100,1075,834.5,59.8842321663833,482.265489966143
"2050/2051",2051,120,120,100,885,567,57.3322893846753,468.501069508959
"2051/2052",2052,120,120,100,1065,889,65.2232011998531,1231.65348991472
"2052/2053",2053,121,121,100,1231,1090,65.8638587030227,1566.36907676142
"2053/2054",2054,120,120,100,1442,1310.5,72.2094590254592,1151.41637869366
"2054/2055",2055,120,120,100,1227,1108,71.7153748483943,1673.47714553634
"2055/2056",2056,120,120,100,1139,982.5,62.0659692762383,1302.42895153863
"2056/2057",2057,121,121,100,1030,766.5,59.9682575446077,2002.9865727569
"2057/2058",2058,120,120,100,1263,1097.5,61.5182705181105,862.716578467283
"2058/2059",2059,120,120,100,1442,1193,73.611119599369,1220.49560828554
"2059/2060",2060,120,120,100,902,779.5,46.8077018853328,1039.87184748286
"2060/2061",2061,121,121,100,1433,1318,72.6156642609058,1380.70530948415
"2061/2062",2062,120,120,100,917,863,50.387931287898,2877.73997360235
"2062/2063",2063,120,120,100,1016,741,61.1998804105442,778.477389641106
"2063/2064",2064,120,120,100,1176,830,59.7972473339505,269.938931634184
"2064/2065",2065,121,121,100,1177,1042.5,64.0041983505125,1176.66449307092
"2065/2066",2066,120,120,100,1414,1086.5,71.4835222536549,947.753340980969
"2066/2067",2067,120,120,100,1341,1095,68.3439771245121,863.748573019169
"2067/2068",2068,120,120,100,1195,781,60.9809719376517,438.521435205359
"2068/2069",2069,121,121,100,1578,1454.5,73.2320933061383,1522.60003582481
"2069/2070",2070,120,120,100,1083,903.5,64.3758242321837,1718.28105371585
"2070/2071",2071,120,120,100,1356,1091.5,67.8252829585017,983.212849874981
"2071/2072",2072,120,120,100,1291,1001.5,66.666501031239,763.58225471247
"2072/2073",2073,121,121,100,1250,1170.5,72.6875675609153,1739.46336193569
"2073/2074",2074,120,120,100,1551,1345.5,73.7411171705371,1240.96037476836
"2074/2075",2075,120,120,100,1049,900,60.8918449153371,3006.99605477462
"2075/2076",2076,120,120,100,1451,1281,71.994252379689,1384.778684563
"2076/2077",2077,121,121,100,1486,1241,75.6542145889689,1239.64992448641
"2077/2078",2078,120,120,100,1133,725,61.3333885736265,388.61945156334
"2078/2079",2079,120,120,100,1257,875,61.1925831741955,211.851906456985
"2079/2080",2080,120,120,100,1451,998.5,68.150563557987,767.970250504091
"2080/2081",2081,121,121,100,1427,1266.5,73.5296409118164,1147.47319953842
"2081/2082",2082,120,120,100,1359,1242.5,62.6207723846401,1634.25762117235
"2082/2083",2083,120,120,100,1209,998,65.4219485278918,1407.17127562221
"2083/2084",2084,120,120,100,1508,1325.5,73.5987878592496,1751.78150470462
"2084/2085",2085,121,121,100,1074,787.5,58.620668187521,521.020112240687
"2085/2086",2086,120,120,100,1341,1147,63.8160496391465,675.334280072246
"2086/2087",2087,120,120,100,1072,919.5,56.7089679335259,1270.65527960192
"2087/2088",2088,120,120,100,1251,950.5,60.7072474207453,738.496055885218
"2088/2089",2089,121,121,100,1156,998.5,65.7817120421096,1636.45486239623
"2089/2090",2090,120,120,100,1418,1100.5,68.7579228164886,582.609995684586
"2090/2091",2091,120,120,100,1068,785.5,57.8370922936228,464.680871192366
"2091/2092",2092,120,120,100,1038,919.5,60.0010198166128,783.514463451691
"2092/2093",2093,121,121,100,1186,847.5,62.4214819703739,462.795484084636
"2093/2094",2094,120,120,100,1131,1077,67.1116641937424,1538.53974276688
"2094/2095",2095,120,120,100,1185,1090,63.257012615908,1162.17730308324
"2095/2096",2096,120,120,100,1314,1087,71.092322004939,744.062149269506
"2096/2097",2097,121,121,100,1210,1110,69.8359907523882,2997.95998638403
"2097/2098",2098,120,120,100,989,876,67.4570771313938,2406.68715943303
"2098/2099",2099,120,120,100,1228,1132,63.2723250674062,982.395985661075
"2099/2100",2100,120,120,100,1100,897,62.4428652497754,1478.17078363802
"2100/2101",2101,120,61,50.8333333333333,949,907,42.3731012745793,1182.87126755994
