"Season","End_year","Season_days","Data_days","Interpolated_days","Perc_complete","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"1973/1974",1974,120,120,0,100,1843.11059050547,1362.5,1142.28904816808,1692.5,1251.5,1756,1250,76.4176813909763
"1974/1975",1975,120,120,0,100,2137.33748809701,1836.5,1475.42801748906,2048,1690.5,2039,1690.5,83.1195560510332
"1975/1976",1976,120,120,0,100,1487.57622097539,1162,896.619960927666,1380,1031,1395,1031,66.9701952037486
"1976/1977",1977,121,121,0,100,1515.21867825497,1143,947.16897065703,1389.5,1011.5,1347,1010,65.5972061547095
"1977/1978",1978,120,120,0,100,1358.0383566605,943,744.507725305906,1241.5,798,1236,784,63.2948994585951
"1978/1979",1979,120,120,0,100,1039.84889059247,734,620.880605014774,926.5,649,930,649,52.6656180492716
"1979/1980",1980,120,120,0,100,1462.34363090488,1085.5,892.243234028367,1361.5,990,1341,990,64.6552289749429
"1980/1981",1981,121,121,0,100,1206.55378152371,833,685.018303685734,1102.5,723,1017,721.5,50.0407874270186
"1982/1983",1983,120,120,0,100,1730.18049703747,1377.5,1155.85265379967,1585,1277,1549,1274,70.7706245678166
"1983/1984",1984,120,120,0,100,1520.51695695383,1126,866.754113514229,1424.5,981,1434,978.5,67.5521919038649
"1984/1985",1985,121,121,0,100,1081.22354861425,760.5,614.102710346897,985.5,665.5,1007,663,55.197646739952
"1985/1986",1986,120,120,0,100,1211.71526001964,904,747.275051878187,1130,843,1057,843,48.2278503580033
"1986/1987",1987,120,120,0,100,1342.06884594636,984,841.016986166051,1242,904,1254,904,57.9748023866559
"1987/1988",1988,120,120,0,100,2019.9356345018,1615,1391.3970923817,1876,1517,1845,1517,79.9323161959969
"1988/1989",1989,121,121,0,100,1867.49951795744,1479.5,1214.99564864351,1741.5,1386,1726,1386,79.9580473817396
"1989/1990",1990,120,120,0,100,1629.42409668695,1338,1188.65046455679,1489,1306.5,1334,1292,71.3298396044856
"1990/1991",1991,120,120,0,100,1520.14833058316,1064.5,896.044865322787,1419,965,1427,965,62.0733149016742
"1991/1992",1992,120,120,0,100,1767.92454275674,1326,1030.06670646675,1673.5,1162,1693,1162,72.245699992241
"1992/1993",1993,121,121,0,100,1627.82612115495,1269.5,1064.62585085027,1515.5,1185,1512,1183.5,69.6049605482544
"1993/1994",1994,120,120,0,100,1731.76295422816,1392,1062.52123500543,1635.5,1223,1783,1223,68.4969212925198
"1994/1995",1995,120,120,0,100,1780.89762197813,1409,1220.01170715758,1668,1328,1584,1326.5,76.4195493761986
"1995/1996",1996,120,120,0,100,756.984783418375,407,327.943908064037,674.5,356,624,356,44.6530662144287
"1996/1997",1997,121,121,0,100,1263.81045395814,933.5,825.01042075513,1171,881,1066,873,62.1637294427082
"1997/1998",1998,120,120,0,100,1848.27483106003,1552,1323.98862921997,1744,1472.5,1601,1467.5,73.7075322444962
"1998/1999",1999,120,120,1,99.1666666666667,1453.97359680774,1043,851.90479413393,1346.5,949,1340,949,62.8956143565752
"1999/2000",2000,120,120,0,100,1631.58815556348,1223.5,1013.74372733093,1494.5,1104,1498,1103.5,69.5781787520723
"2000/2001",2001,121,121,0,100,1659.84928633334,1293.5,1150.96292133231,1543,1231,1411,1228.5,72.7905530350145
"2001/2002",2002,120,120,0,100,1496.52926439817,1121,988.809078180784,1375.5,1062.5,1233,1061,69.0620564573092
"2002/2003",2003,120,120,0,100,1157.6248324499,817,682.317424639274,1059,739.5,1064,739.5,57.9652366154423
"2003/2004",2004,120,120,0,100,1483.06638891264,1104.5,969.307336580401,1373,1032.5,1299,1032.5,67.8905117189934
"2004/2005",2005,121,121,0,100,1630.1298743356,1260.5,1029.17016619784,1524,1158,1490,1158,66.2226727027091
"2005/2006",2006,120,120,0,100,1130.8087078322,710.5,549.479403102749,1046,608,1052,608,51.9194746012945
"2006/2007",2007,120,120,0,100,2087.13299712428,1815,1639.66764967081,1964,1771.5,1746,1768,86.9230677240121
"2007/2008",2008,120,120,0,100,1844.24454570557,1463,1247.36393726735,1721.5,1362,1645,1359,76.9052601085759
"2008/2009",2009,121,121,0,100,1514.49935528562,1102,940.33988423452,1401,1025,1314,1023.5,65.885890575586
"2009/2010",2010,120,120,0,100,1174.58934787456,937,811.556355965164,1086,888,981,885,55.7935003852053
"2010/2011",2011,120,120,0,100,1104.44845193927,813.5,744.96532114852,995,810,842,797.5,57.3628299501761
"2011/2012",2012,120,120,0,100,1687.11015908857,1364,1145.12244309903,1585.5,1281,1543,1279.5,72.3310358329445
"2012/2013",2013,121,121,0,100,1403.56847589975,1067,938.649160048903,1271,1017.5,1204,1017.5,64.4378444385802
"2013/2014",2014,120,120,0,100,1967.80504137627,1635.5,1412.03955813096,1854,1555.5,1762,1554,80.4962618339005
"2014/2015",2015,120,120,0,100,1824.1016119578,1470.5,1259.63361696373,1681,1399.5,1555,1391.5,78.4226472400214
"2015/2016",2016,120,120,0,100,1737.79260283621,1509,1372.12760323571,1613,1461,1383,1457.5,78.3340413199476
"2016/2017",2017,121,121,0,100,1360.66745999924,999.5,869.173496516771,1220.5,922,1167,922,67.7597646520862
"2017/2018",2018,120,120,0,100,1843.16142170082,1467.5,1246.24682596591,1722.5,1382,1660,1382,73.9080263401402
"2018/2019",2019,120,120,0,100,1709.5368202005,1301.5,1116.68406815652,1577.5,1219.5,1520,1205,75.3605889768714
