"","chillR_code","STATION.NAME","CTRY","Lat","Long","BEGIN","END","distance","Overlap_years","Perc_interval_covered"
"4162","124180_99999","LESZNO","PL",51.833,16.533,19730101,20211212,3.17,31,100
"4160","124160_99999","WSCHOWA","PL",51.8,16.317,19360102,19420630,18.31,0,0
"4161","124170_99999","LUBIN MIASTO","PL",51.417,16.2,19390810,19411231,54.56,0,0
"4122","123260_99999","KRZESINY","PL",52.332,16.966,20020601,20230103,60.11,18.59,59.95
"4153","124030_99999","NOWE MIASTECZKO","PL",51.683,15.733,19360102,19420630,60.7,0,0
"4118","123120_99999","BABIMOST","PL",52.139,15.799,20020603,20230103,61.96,18.58,59.94
"4124","123300_99999","LAWICA","PL",52.421,16.826,19310102,20230103,65.91,31,100
"4163","124190_99999","JAROCIN","PL",51.967,17.55,19391113,19420630,68.69,0,0
"4150","124000_99999","ZIELONA GORA","PL",51.933,15.533,19310101,20230103,71.99,31,100
"4156","124060_99999","SZPROTAWA-WIECHLICE","PL",51.561,15.585,19390815,20191108,75.3,29.85,96.3
"4159","124150_99999","LEGNICA","PL",51.2,16.2,19370401,20230103,76.74,31,100
"4166","124250_99999","WROCLAW I","PL",51.117,16.883,19280101,20221117,84.4,31,100
"4154","124040_99999","STARA KOPERNIA","PL",51.633,15.383,19390821,19420930,85.47,0,0
"4165","124240_99999","STRACHOWICE","PL",51.103,16.886,19390102,20230103,85.96,31,100
"4168","124280_99999","WROCLAW/STRACHOWICE","PL",51.1,16.883,20020601,20220901,86.23,18.59,59.95
"4125","123310_99999","BEDNERY","PL",52.533,17.217,19340331,19381231,87.94,0,0
"4170","124300_99999","OLESNICA","PL",51.217,17.45,19400115,19410531,93.21,0,0
"4158","124140_99999","BOLESLAWIEC MIASTO","PL",51.267,15.567,19360102,20160328,95.11,26.24,84.65
"4117","123110_99999","MIEDZYRZECZ","PL",52.433,15.55,19360101,19411231,95.31,0,0
"4167","124260_99999","SYCOW","PL",51.3,17.717,19360102,20180404,100.34,28.26,91.15
"4151","124010_99999","ZARY MISATO","PL",51.65,15.15,19370712,19420630,100.56,0,0
"4190","125010_99999","MIROSLAWICE","PL",50.95,16.767,19390901,19420628,101.07,0,0
"4171","124350_99999","KALISZ","PL",51.783,18.083,19520101,20230103,104.6,31,100
"4128","123360_99999","POWIDZ","PL",52.379,17.854,20010919,20230103,105.83,19.28,62.21
"4196","125210_99999","OLAWA","PL",50.983,17.25,19390901,19420630,107.43,0,0
