"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.69,1.27,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
2.21,2.19,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
1.56,1.4,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
0.85,0.69,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
0.24,0.24,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
0.91,1.12,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
1.23,1.93,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
0.89,0.57,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
0.3,0.04,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
0.64,0.43,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
0.37,0.46,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
-0.23,-0.2,"rcp45",2035,2065,2050,1990,"relative","inmcm4"
