"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
4.31,3.6,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
3.65,3.29,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
2.49,2.16,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
2.1,1.91,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
1.72,1.64,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
2.64,2.51,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
2.74,2.41,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
2.25,1.93,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
2.73,3.09,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
2.87,2.92,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
1.49,1.43,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
3.29,2.86,"rcp45",2035,2065,2050,1990,"relative","IPSL-CM5A-LR"
