"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.85,3.18,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2.03,1.38,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.43,1.28,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.61,1.7,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.54,1.76,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.18,1.16,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.45,2.2,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.99,3.21,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.3,2.29,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.6,2.54,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2.25,2.86,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
3.25,3.08,"rcp45",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
