"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.83,1.75,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.78,1.72,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.51,1.7,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
0.91,1.47,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.48,1.79,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
-0.36,0.53,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
0.7,1.81,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.36,1.92,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.29,2,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.32,1.39,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.4,1.34,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.03,0.95,"rcp85",2035,2065,2050,1990,"relative","GFDL-ESM2G"
