"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.64,1.39,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
1.65,1.18,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
2.5,2.4,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
2.12,2.07,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
1.61,2.04,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
1.77,2.15,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
3.62,4.49,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
3.4,3.74,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
3.37,3.57,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
2.51,3.24,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
2.64,2.67,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
3.43,3.09,"rcp85",2035,2065,2050,1990,"relative","bcc-csm1-1"
