"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.9,3.17,"rcp85",2035,2065,2050,1990,"relative","MIROC-ESM"
3.81,3.21,"rcp85",2035,2065,2050,1990,"relative","MIROC-ESM"
3.36,2.64,"rcp85",2035,2065,2050,1990,"relative","MIROC-ESM"
2.76,2.13,"rcp85",2035,2065,2050,1990,"relative","MIROC-ESM"
2.98,2.72,"rcp85",2035,2065,2050,1990,"relative","MIROC-ESM"
3.48,3.42,"rcp85",2035,2065,2050,1990,"relative","MIROC-ESM"
4.53,5.39,"rcp85",2035,2065,2050,1990,"relative","MIROC-ESM"
4.34,5.82,"rcp85",2035,2065,2050,1990,"relative","MIROC-ESM"
3.87,4.66,"rcp85",2035,2065,2050,1990,"relative","MIROC-ESM"
3.49,3.41,"rcp85",2035,2065,2050,1990,"relative","MIROC-ESM"
3.32,2.72,"rcp85",2035,2065,2050,1990,"relative","MIROC-ESM"
3.49,2.63,"rcp85",2035,2065,2050,1990,"relative","MIROC-ESM"
