"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.64,2.92,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2.84,2.79,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2,1.84,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2.17,1.79,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2.11,1.79,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2.69,2.9,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
3.12,2.91,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2.61,2.42,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
3.16,3.31,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
2.98,3.24,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
1.75,1.98,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
1.98,2.13,"rcp45",2070,2100,2085,1990,"relative","IPSL-CM5A-MR"
