"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.26,2.6,"rcp45",2070,2100,2085,1990,"relative","CanESM2"
2.43,1.84,"rcp45",2070,2100,2085,1990,"relative","CanESM2"
2.16,1.7,"rcp45",2070,2100,2085,1990,"relative","CanESM2"
1.8,1.71,"rcp45",2070,2100,2085,1990,"relative","CanESM2"
1.65,1.5,"rcp45",2070,2100,2085,1990,"relative","CanESM2"
2.04,1.74,"rcp45",2070,2100,2085,1990,"relative","CanESM2"
2.44,2.61,"rcp45",2070,2100,2085,1990,"relative","CanESM2"
2.77,2.93,"rcp45",2070,2100,2085,1990,"relative","CanESM2"
2.49,2.82,"rcp45",2070,2100,2085,1990,"relative","CanESM2"
2.24,2.07,"rcp45",2070,2100,2085,1990,"relative","CanESM2"
2.12,1.74,"rcp45",2070,2100,2085,1990,"relative","CanESM2"
3.05,2.65,"rcp45",2070,2100,2085,1990,"relative","CanESM2"
