"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.53,2.3,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
0.45,0.84,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
1.68,1.45,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.13,2.1,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.21,2.17,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.51,3.74,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.41,4.01,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2,3.26,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.53,3.71,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
1.79,2.66,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
2.29,2.59,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
3.14,3.06,"rcp45",2070,2100,2085,1990,"relative","ACCESS1-0"
