"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.69,3.04,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
3.55,2.53,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
2.53,1.72,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
2.43,1.13,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
1.02,-0.71,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
0.48,-1.18,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
1.46,0.41,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
2.66,1.76,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
2.26,3.67,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
1.95,2.92,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
2.52,2.93,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
3.12,3.69,"rcp45",2070,2100,2085,1990,"relative","GFDL-CM3"
