"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
5.1,5.2,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2M"
2.94,2.93,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2M"
2.21,1.8,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2M"
2.77,2.45,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2M"
2.67,2,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2M"
1.57,1.01,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2M"
1.32,1.31,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2M"
2.89,3.11,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2M"
2.65,3.18,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2M"
2.44,2.71,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2M"
3.02,3.27,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2M"
3.24,3.19,"rcp85",2070,2100,2085,1990,"relative","GFDL-ESM2M"
