"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
5.72,5.39,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
4.15,4.52,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
3.1,3.08,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
3.41,3.29,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
2.85,2.67,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
4.19,4.48,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
5.67,6.57,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
6.35,6.59,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
5.3,5.99,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
4.71,4.84,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
4.6,4.4,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
4.22,4.15,"rcp85",2070,2100,2085,1990,"relative","BNU-ESM"
