"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.71,3,"rcp85",2070,2100,2085,1990,"relative","CESM1-BGC"
2.27,2.7,"rcp85",2070,2100,2085,1990,"relative","CESM1-BGC"
2.9,3.73,"rcp85",2070,2100,2085,1990,"relative","CESM1-BGC"
2.3,3.16,"rcp85",2070,2100,2085,1990,"relative","CESM1-BGC"
1.52,3.26,"rcp85",2070,2100,2085,1990,"relative","CESM1-BGC"
2.12,4.16,"rcp85",2070,2100,2085,1990,"relative","CESM1-BGC"
2.3,4.66,"rcp85",2070,2100,2085,1990,"relative","CESM1-BGC"
3.37,5.22,"rcp85",2070,2100,2085,1990,"relative","CESM1-BGC"
3.29,5.07,"rcp85",2070,2100,2085,1990,"relative","CESM1-BGC"
2.33,3.63,"rcp85",2070,2100,2085,1990,"relative","CESM1-BGC"
2.07,2.55,"rcp85",2070,2100,2085,1990,"relative","CESM1-BGC"
2.09,2.29,"rcp85",2070,2100,2085,1990,"relative","CESM1-BGC"
