"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
5.73,4.66,"rcp85",2070,2100,2085,1990,"relative","CNRM-CM5"
5.71,4.63,"rcp85",2070,2100,2085,1990,"relative","CNRM-CM5"
3.48,2.15,"rcp85",2070,2100,2085,1990,"relative","CNRM-CM5"
3.14,1.93,"rcp85",2070,2100,2085,1990,"relative","CNRM-CM5"
2.27,0.87,"rcp85",2070,2100,2085,1990,"relative","CNRM-CM5"
2.66,1.41,"rcp85",2070,2100,2085,1990,"relative","CNRM-CM5"
3.32,2.39,"rcp85",2070,2100,2085,1990,"relative","CNRM-CM5"
4.17,2.95,"rcp85",2070,2100,2085,1990,"relative","CNRM-CM5"
3.62,2.67,"rcp85",2070,2100,2085,1990,"relative","CNRM-CM5"
2.97,2.44,"rcp85",2070,2100,2085,1990,"relative","CNRM-CM5"
4.13,3.96,"rcp85",2070,2100,2085,1990,"relative","CNRM-CM5"
4.22,3.57,"rcp85",2070,2100,2085,1990,"relative","CNRM-CM5"
