"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,75.7569158649934,2091.18282081871,888
"2002/2003",2003,120,120,100,70.0575082745594,760.061036978033,1317
"2003/2004",2004,120,120,100,80.517689786364,1124.45520955051,803
"2004/2005",2005,121,121,100,83.1158518529139,2913.98754135345,674
"2005/2006",2006,120,120,100,77.9556978836349,1527.55430630129,900
"2006/2007",2007,120,120,100,75.7533244592603,1561.69727556931,931
"2007/2008",2008,120,120,100,64.8626023800923,496.341375719931,1283
"2008/2009",2009,121,121,100,77.7129919157881,2893.38496940956,724
"2009/2010",2010,120,120,100,79.1249230475385,1196.93678087322,816
"2010/2011",2011,120,120,100,74.397706249059,1049.3630942551,837
"2011/2012",2012,120,120,100,68.6782740299961,1544.27337097039,1319
"2012/2013",2013,121,121,100,78.0654631137731,1251.88698527904,917
"2013/2014",2014,120,120,100,64.849048908399,1037.28327124496,1453
"2014/2015",2015,120,120,100,74.6844060732958,1827.52631033969,850
"2015/2016",2016,120,120,100,73.7879315928021,1599.1139978912,1074
"2016/2017",2017,121,121,100,77.5208643689393,2404.25951543695,959
"2017/2018",2018,120,120,100,66.0942889875987,1235.14223352645,1251
"2018/2019",2019,120,120,100,74.0627763991865,1135.02479948371,1121
"2019/2020",2020,120,120,100,80.1134996426877,2565.22947905213,688
"2020/2021",2021,121,121,100,73.105079893422,815.192211684771,1300
"2021/2022",2022,120,120,100,68.8520892263573,2795.26397069218,1159
"2022/2023",2023,120,120,100,72.7907413084881,1116.94669219875,909
"2023/2024",2024,120,120,100,82.5154966893169,2852.90713835019,590
"2024/2025",2025,121,121,100,77.0526115543676,1162.75003058626,953
"2025/2026",2026,120,120,100,57.7979506182251,973.874957143329,1704
"2026/2027",2027,120,120,100,81.652440652108,1878.72749719815,730
"2027/2028",2028,120,120,100,64.6263504465205,433.85169908125,1477
"2028/2029",2029,121,121,100,74.7052362250279,2117.22971743252,1011
"2029/2030",2030,120,120,100,72.6211387999419,1698.06948299706,1095
"2030/2031",2031,120,120,100,78.9853732628508,1411.04412003723,935
"2031/2032",2032,120,120,100,82.469232064871,1842.21330533666,752
"2032/2033",2033,121,121,100,68.4941254712367,712.803206306882,1371
"2033/2034",2034,120,120,100,68.0080520846104,1731.78019354609,1249
"2034/2035",2035,120,120,100,68.823914114284,2192.84537451807,1177
"2035/2036",2036,120,120,100,75.6227415521644,1297.39448633301,984
"2036/2037",2037,121,121,100,70.05596783486,1046.50113606337,1346
"2037/2038",2038,120,120,100,75.0422482326812,1647.84644669062,997
"2038/2039",2039,120,120,100,82.5281723731287,1987.96409101086,545
"2039/2040",2040,120,120,100,80.2536922145337,1801.09144953033,810
"2040/2041",2041,121,121,100,79.7463541964025,1400.75571513968,819
"2041/2042",2042,120,120,100,81.7096136407818,2087.10407299129,675
"2042/2043",2043,120,120,100,70.142049533747,738.601077932864,1425
"2043/2044",2044,120,120,100,78.2179280781183,1418.12666837266,782
"2044/2045",2045,121,121,100,68.2368400959085,558.606155600399,1325
"2045/2046",2046,120,120,100,72.2952208607821,2196.01782386331,1080
"2046/2047",2047,120,120,100,73.691670283888,1210.50664009526,1077
"2047/2048",2048,120,120,100,74.5377928780053,718.552420451306,1110
"2048/2049",2049,121,121,100,74.2739522128331,841.463715810329,1188
"2049/2050",2050,120,120,100,69.7882011011052,305.482582055498,1469
"2050/2051",2051,120,120,100,72.5208441139557,1930.50929870736,1185
"2051/2052",2052,120,120,100,79.5205990414443,2378.17623298196,737
"2052/2053",2053,121,121,100,77.2673171040524,2153.79262797441,871
"2053/2054",2054,120,120,100,78.3614017556647,2074.13440786395,793
"2054/2055",2055,120,120,100,75.4670284694575,1049.95012749359,991
"2055/2056",2056,120,120,100,70.3295997970317,3147.74506587628,1043
"2056/2057",2057,121,121,100,65.415687863072,1221.01478555007,1201
"2057/2058",2058,120,120,100,79.1336839725136,1483.44837167766,825
"2058/2059",2059,120,120,100,67.8241853219497,711.94735223474,1287
"2059/2060",2060,120,120,100,76.6847670558764,2213.92983036768,868
"2060/2061",2061,121,121,100,79.4429906322821,2833.42410917114,804
"2061/2062",2062,120,120,100,63.5736729302989,682.272332780529,1466
"2062/2063",2063,120,120,100,71.1623775889348,1155.82787161693,1176
"2063/2064",2064,120,120,100,72.2470884200284,1426.14794158516,1235
"2064/2065",2065,121,121,100,76.9467139649769,1365.93119466724,908
"2065/2066",2066,120,120,100,82.1226835958714,912.922720500734,629
"2066/2067",2067,120,120,100,67.7433403717459,812.460648297332,1320
"2067/2068",2068,120,120,100,82.2014885991557,2714.39549265429,670
"2068/2069",2069,121,121,100,74.522709131943,1308.1323969732,1084
"2069/2070",2070,120,120,100,74.6444048425747,1472.35916241119,891
"2070/2071",2071,120,120,100,71.9639910266451,1929.91354786744,1114
"2071/2072",2072,120,120,100,67.7052082757691,1472.72052051732,1203
"2072/2073",2073,121,121,100,84.5747949110464,2932.31440801546,561
"2073/2074",2074,120,120,100,66.6657059420577,2655.36832388397,1142
"2074/2075",2075,120,120,100,77.955132256142,2622.9718404524,914
"2075/2076",2076,120,120,100,82.2978892150859,2180.59269149043,615
"2076/2077",2077,121,121,100,71.8790408724144,690.926397418603,1298
"2077/2078",2078,120,120,100,69.039687826682,598.866463065147,1333
"2078/2079",2079,120,120,100,73.5267608312133,1149.45908278879,947
"2079/2080",2080,120,120,100,78.6004207961723,1987.98773325235,808
"2080/2081",2081,121,121,100,70.5883074871654,1512.99531371146,1130
"2081/2082",2082,120,120,100,76.3727202204318,1984.90976109542,825
"2082/2083",2083,120,120,100,76.8286595321388,1854.08207929228,875
"2083/2084",2084,120,120,100,75.9774132928196,1096.91368953791,1106
"2084/2085",2085,121,121,100,69.5480576021673,1078.31262508221,1059
"2085/2086",2086,120,120,100,73.8138205681589,1395.64336022735,1097
"2086/2087",2087,120,120,100,73.2063234357265,1137.54200227186,1148
"2087/2088",2088,120,120,100,69.3609400450132,1442.52599198557,1170
"2088/2089",2089,121,121,100,75.906922386328,1250.41805619933,1008
"2089/2090",2090,120,120,100,72.9334204458974,732.414352678694,1165
"2090/2091",2091,120,120,100,67.316992673841,1148.99144415278,1356
"2091/2092",2092,120,120,100,73.0565987386963,602.374399388209,1244
"2092/2093",2093,121,121,100,77.582355627681,1793.75229055062,912
"2093/2094",2094,120,120,100,67.0586077963708,1801.14430867136,1270
"2094/2095",2095,120,120,100,78.5390369573797,893.870571575128,974
"2095/2096",2096,120,120,100,78.3479711810596,2400.09407468326,716
"2096/2097",2097,121,121,100,70.7560881243062,4089.13201626018,1072
"2097/2098",2098,120,120,100,68.3523746419633,1590.84934838954,1217
"2098/2099",2099,120,120,100,77.8715444847621,1369.91098900232,898
"2099/2100",2100,120,120,100,76.440435095672,1575.3173972005,769
"2100/2101",2101,120,120,100,76.3640998881838,1412.55511984043,1024
