"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,73.2721760119984,1980.73021538057,986
"2002/2003",2003,120,120,100,67.7618267761819,694.839851065088,1404
"2003/2004",2004,120,120,100,78.9924817877541,891.187208200834,886
"2004/2005",2005,121,121,100,83.1203578986792,2361.42463704539,751
"2005/2006",2006,120,120,100,75.5364566165485,1285.06463135127,1035
"2006/2007",2007,120,120,100,74.439837466958,1306.20092058042,981
"2007/2008",2008,120,120,100,63.7685344972747,455.131602158304,1438
"2008/2009",2009,121,121,100,78.3532014175255,2365.56098387373,810
"2009/2010",2010,120,120,100,77.533895988375,917.155358091812,887
"2010/2011",2011,120,120,100,73.3398853082165,778.064457698609,963
"2011/2012",2012,120,120,100,66.592205475416,1314.88891742215,1381
"2012/2013",2013,121,121,100,77.3245422789141,1058.10009865114,1047
"2013/2014",2014,120,120,100,62.8232645572036,924.775002573035,1536
"2014/2015",2015,120,120,100,74.0948321389706,1674.32942662016,1000
"2015/2016",2016,120,120,100,74.0034150321085,1279.76228838298,1158
"2016/2017",2017,121,121,100,74.6301103998176,2252.79127604049,1068
"2017/2018",2018,120,120,100,64.693441800428,1067.62762640847,1363
"2018/2019",2019,120,120,100,69.4633094898982,1017.08922166016,1212
"2019/2020",2020,120,120,100,79.6546084249453,2220.15692678874,766
"2020/2021",2021,121,121,100,71.2498094295588,638.114794767927,1402
"2021/2022",2022,120,120,100,67.7735791899922,2594.91835290962,1310
"2022/2023",2023,120,120,100,69.9769809511381,887.744164414471,1066
"2023/2024",2024,120,120,100,80.0482665992463,2551.4399966069,679
"2024/2025",2025,121,121,100,76.468138631521,988.507198115112,1053
"2025/2026",2026,120,120,100,54.68034792355,879.204682651442,1738
"2026/2027",2027,120,120,100,77.535742816508,1671.78807741799,840
"2027/2028",2028,120,120,100,61.8522999121815,247.052018684568,1596
"2028/2029",2029,121,121,100,73.5305051351115,1759.60052658152,1118
"2029/2030",2030,120,120,100,72.0035050218939,1670.67385311471,1210
"2030/2031",2031,120,120,100,76.3227813921731,1362.92843812914,1058
"2031/2032",2032,120,120,100,80.6836578660259,1504.1309726811,781
"2032/2033",2033,121,121,100,64.4723758941054,606.738271135837,1471
"2033/2034",2034,120,120,100,67.3899289331521,1439.02589138993,1315
"2034/2035",2035,120,120,100,64.9663298572441,2126.72561113909,1304
"2035/2036",2036,120,120,100,72.8949289064049,1173.92705926648,1102
"2036/2037",2037,121,121,100,67.879561941465,875.142562053399,1416
"2037/2038",2038,120,120,100,74.3889205397682,1247.69707934977,1068
"2038/2039",2039,120,120,100,80.9682644852237,1770.35033888463,640
"2039/2040",2040,120,120,100,76.0735105429139,1679.41007516743,943
"2040/2041",2041,121,121,100,77.5237107635539,1194.92815241311,895
"2041/2042",2042,120,120,100,79.5922627867321,1704.85210109083,715
"2042/2043",2043,120,120,100,66.427570619474,631.684937885031,1508
"2043/2044",2044,120,120,100,77.5617403963743,1040.24955800315,861
"2044/2045",2045,121,121,100,63.9434924005773,470.299756566994,1452
"2045/2046",2046,120,120,100,70.1143364845948,1982.16487642331,1131
"2046/2047",2047,120,120,100,72.2932340021862,1046.23111554794,1195
"2047/2048",2048,120,120,100,72.4251655747057,527.04154245276,1244
"2048/2049",2049,121,121,100,70.2556891258255,827.524201175664,1349
"2049/2050",2050,120,120,100,66.7884595373471,240.153821238782,1569
"2050/2051",2051,120,120,100,70.6943829796728,1837.86000951333,1319
"2051/2052",2052,120,120,100,77.1606133107662,2263.3332883059,824
"2052/2053",2053,121,121,100,75.1795970366375,2067.29822989786,954
"2053/2054",2054,120,120,100,76.7486017422452,1638.79149764217,841
"2054/2055",2055,120,120,100,72.9415269432247,909.182574438397,1041
"2055/2056",2056,120,120,100,66.6049405636513,3045.22136131953,1195
"2056/2057",2057,121,121,100,63.6964148676525,1094.75899572624,1292
"2057/2058",2058,120,120,100,78.086966333125,1098.59265694581,915
"2058/2059",2059,120,120,100,66.0118398489976,598.743147818372,1397
"2059/2060",2060,120,120,100,75.4078391705498,1814.19902605191,957
"2060/2061",2061,121,121,100,78.8167146614251,2429.13379458478,876
"2061/2062",2062,120,120,100,62.1450358036072,515.587725486606,1629
"2062/2063",2063,120,120,100,68.237230332792,1151.74569972279,1302
"2063/2064",2064,120,120,100,70.005986672033,997.911010544747,1320
"2064/2065",2065,121,121,100,75.0760199173601,1061.21773935203,986
"2065/2066",2066,120,120,100,80.8872846844661,740.770021156874,719
"2066/2067",2067,120,120,100,66.0427126055802,620.208390184678,1473
"2067/2068",2068,120,120,100,80.8203736731502,2195.33093491709,710
"2068/2069",2069,121,121,100,73.6410691840683,1035.06223979499,1179
"2069/2070",2070,120,120,100,73.9735564522543,1101.87810556777,958
"2070/2071",2071,120,120,100,70.1518686776599,1899.92401276622,1239
"2071/2072",2072,120,120,100,65.712316600122,1307.77446547709,1287
"2072/2073",2073,121,121,100,81.7696827066957,2552.49850714579,639
"2073/2074",2074,120,120,100,65.6205058023079,2491.67058722163,1225
"2074/2075",2075,120,120,100,76.1775658410406,2556.18212354928,1037
"2075/2076",2076,120,120,100,82.5660690029945,1787.11622571386,661
"2076/2077",2077,121,121,100,68.6806057437625,655.727216449566,1396
"2077/2078",2078,120,120,100,67.2898167609328,423.439619663171,1422
"2078/2079",2079,120,120,100,72.4621271607866,825.02032356523,1030
"2079/2080",2080,120,120,100,75.9654492303507,1749.12780058943,873
