"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,82.8839110685541,3295.48816952682,585
"2002/2003",2003,120,120,100,76.8489156458431,1504.29904079829,978
"2003/2004",2004,120,120,100,85.8282346911691,2190.5973142666,481
"2004/2005",2005,121,121,100,85.422151190525,4949.32806394642,422
"2005/2006",2006,120,120,100,80.8057840441725,2773.33025532123,609
"2006/2007",2007,120,120,100,81.0377694591867,2624.82851832343,624
"2007/2008",2008,120,120,100,75.2555726628755,983.712444824865,876
"2008/2009",2009,121,121,100,80.1783265806723,4772.10959963978,539
"2009/2010",2010,120,120,100,83.3418079176502,2431.98401838134,475
"2010/2011",2011,120,120,100,80.4502978245266,2169.47820285277,516
"2011/2012",2012,120,120,100,73.1838513628813,2569.37780683232,1023
"2012/2013",2013,121,121,100,83.8863724911673,2179.6753256364,521
"2013/2014",2014,120,120,100,73.2162725232079,1655.2254083131,1146
"2014/2015",2015,120,120,100,81.7410503454837,2788.20999603311,525
"2015/2016",2016,120,120,100,80.1649749948861,2780.58060433483,769
"2016/2017",2017,121,121,100,82.859273799726,3584.58325528959,617
"2017/2018",2018,120,120,100,75.1020378593803,1963.70737278252,868
"2018/2019",2019,120,120,100,80.7143971364758,1984.0711654881,786
"2019/2020",2020,120,120,100,83.8767081013925,4328.02108151582,494
"2020/2021",2021,121,121,100,77.7985377595469,1565.71638793428,875
"2021/2022",2022,120,120,100,74.6124167422849,3691.91654467909,794
"2022/2023",2023,120,120,100,82.4816882749715,2049.39671142655,511
"2023/2024",2024,120,120,100,84.8421864483926,4469.47935711569,249
"2024/2025",2025,121,121,100,83.689413002689,2321.48426498519,588
"2025/2026",2026,120,120,100,66.1174053772443,1579.84133347403,1397
"2026/2027",2027,120,120,100,86.5672521323299,3252.75276037306,453
"2027/2028",2028,120,120,100,73.6801702291532,1043.47178599588,1042
"2028/2029",2029,121,121,100,81.8594605111261,3241.09947107011,603
"2029/2030",2030,120,120,100,78.9329752388544,2730.10725563136,834
"2030/2031",2031,120,120,100,82.7352449507798,2376.20671576355,636
"2031/2032",2032,120,120,100,87.0222869908448,3311.68327983795,470
"2032/2033",2033,121,121,100,75.823792102824,1416.31966568204,1015
"2033/2034",2034,120,120,100,74.1735691834629,2527.32128346874,806
"2034/2035",2035,120,120,100,73.9219926341675,3060.50352681475,836
"2035/2036",2036,120,120,100,81.9887480116131,2255.53389550233,659
"2036/2037",2037,121,121,100,77.7637582012358,1764.45695730159,974
"2037/2038",2038,120,120,100,80.0169447493927,2850.57070462825,638
"2038/2039",2039,120,120,100,89.8579949285177,3627.197538184,298
"2039/2040",2040,120,120,100,84.3797343220995,2682.18635510607,396
"2040/2041",2041,121,121,100,85.2650211233113,2535.22684996622,440
"2041/2042",2042,120,120,100,83.8976220260238,3691.19190548919,459
"2042/2043",2043,120,120,100,77.1143911862027,1416.41624309495,992
"2043/2044",2044,120,120,100,84.8688019761976,2625.68412782019,379
"2044/2045",2045,121,121,100,77.4662188378061,954.687491083518,861
"2045/2046",2046,120,120,100,79.4416904944283,3072.82186564198,767
"2046/2047",2047,120,120,100,77.0613143571081,2076.68424598547,773
"2047/2048",2048,120,120,100,81.0459779317653,1492.91288073594,727
"2048/2049",2049,121,121,100,79.279895912643,1435.26597283501,896
"2049/2050",2050,120,120,100,76.815649294208,652.006285895593,951
"2050/2051",2051,120,120,100,79.766949166451,2799.62307767197,699
"2051/2052",2052,120,120,100,82.3866658248053,3614.54265597463,468
"2052/2053",2053,121,121,100,82.6263996698817,3509.16724984022,484
"2053/2054",2054,120,120,100,82.3641013322003,3627.2036166396,500
"2054/2055",2055,120,120,100,80.4097126111519,1850.78308488289,644
"2055/2056",2056,120,120,100,76.9440444238644,3962.02926553925,650
"2056/2057",2057,121,121,100,72.0729638356188,2189.79542318359,908
"2057/2058",2058,120,120,100,85.4667018749524,2742.50478632329,413
"2058/2059",2059,120,120,100,76.1432406860622,1254.17507112632,861
"2059/2060",2060,120,120,100,81.1727003944707,3523.18909422541,631
"2060/2061",2061,121,121,100,83.7104698986077,4390.74268615292,524
"2061/2062",2062,120,120,100,69.6883254816621,1319.1401348291,1086
"2062/2063",2063,120,120,100,77.6325464988386,1933.30144764343,815
"2063/2064",2064,120,120,100,75.493418225542,2742.75268918695,957
"2064/2065",2065,121,121,100,82.9382843403437,2699.96735693421,619
"2065/2066",2066,120,120,100,88.4265262905938,1834.92424937245,300
"2066/2067",2067,120,120,100,73.8331611290741,1523.52928202786,1009
"2067/2068",2068,120,120,100,84.9853356844487,4763.17481093388,471
"2068/2069",2069,121,121,100,81.2255012181631,2354.11523717362,719
"2069/2070",2070,120,120,100,78.9724093595341,2790.28556520492,675
"2070/2071",2071,120,120,100,80.5987366400241,2957.32847144362,594
"2071/2072",2072,120,120,100,72.6932199493476,2528.19017539639,880
"2072/2073",2073,121,121,100,86.9129218516046,4835.65184371639,362
"2073/2074",2074,120,120,100,72.5009548098769,3512.77950813808,837
"2074/2075",2075,120,120,100,82.6426006153361,4086.21348958462,593
"2075/2076",2076,120,120,100,87.2567469298774,3918.76914619748,393
"2076/2077",2077,121,121,100,79.112324784759,1283.03266880009,859
"2077/2078",2078,120,120,100,77.9882518111572,1325.26301387977,939
"2078/2079",2079,120,120,100,80.0652399709561,2222.54714622535,600
"2079/2080",2080,120,120,100,81.8518125021947,3673.58958949521,510
"2080/2081",2081,121,121,100,75.9877749024618,2787.58694358077,869
"2081/2082",2082,120,120,100,81.7453661102427,3075.43222927023,463
"2082/2083",2083,120,120,100,81.8212242609716,3037.41916679684,548
"2083/2084",2084,120,120,100,79.4029088920779,2078.35665194876,729
"2084/2085",2085,121,121,100,78.4035866460345,1734.83620621264,660
"2085/2086",2086,120,120,100,80.2219911048851,2505.9512759475,741
"2086/2087",2087,120,120,100,78.704230224459,1885.87823879253,810
"2087/2088",2088,120,120,100,76.3516481796833,2383.2373741949,870
"2088/2089",2089,121,121,100,82.1371346675733,2154.29732188582,699
"2089/2090",2090,120,120,100,80.0356014438403,1374.47694764752,753
"2090/2091",2091,120,120,100,75.3428144420322,2058.97529599443,964
"2091/2092",2092,120,120,100,79.8554863173231,1230.53819089662,760
"2092/2093",2093,121,121,100,82.4564911337566,2969.40226301737,602
"2093/2094",2094,120,120,100,73.8768258940581,2954.98577874713,1055
"2094/2095",2095,120,120,100,83.9434926381327,1853.46057246532,592
"2095/2096",2096,120,120,100,83.6269785336845,3580.66896547005,330
"2096/2097",2097,121,121,100,75.3242303667957,5298.89365150966,701
"2097/2098",2098,120,120,100,74.95654598482,2537.01244963799,861
"2098/2099",2099,120,120,100,82.2127859842476,2432.9850293342,554
"2099/2100",2100,120,120,100,84.422308244908,2433.2220485704,380
"2100/2101",2101,120,120,100,81.0860621076954,2763.54943358153,700
