"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,76.3978554461917,3003.0797682878,863
"2002/2003",2003,120,120,100,72.1658858955142,1100.73601955213,1208
"2003/2004",2004,120,120,100,82.8345027247461,1366.9897113608,684
"2004/2005",2005,121,121,100,84.3423295840834,3122.32731753547,572
"2005/2006",2006,120,120,100,78.0498650221401,2042.76178435009,866
"2006/2007",2007,120,120,100,77.7048747898579,2046.49536019575,820
"2007/2008",2008,120,120,100,68.4066945041423,780.0581685449,1242
"2008/2009",2009,121,121,100,79.2718592153262,3255.84775912209,663
"2009/2010",2010,120,120,100,82.0146571041912,1376.84146589926,653
"2010/2011",2011,120,120,100,77.2062241190672,1252.74480838468,744
"2011/2012",2012,120,120,100,69.2510411294184,2018.09786254913,1220
"2012/2013",2013,121,121,100,80.4685880797342,1637.15549522964,815
"2013/2014",2014,120,120,100,65.6784250898827,1575.31257761223,1425
"2014/2015",2015,120,120,100,77.4206434184664,2460.30697167094,753
"2015/2016",2016,120,120,100,77.3909160004832,1989.3335060348,949
"2016/2017",2017,121,121,100,78.2925673265936,3174.25431369443,890
"2017/2018",2018,120,120,100,68.8338225900252,1676.13192778814,1158
"2018/2019",2019,120,120,100,74.8137487722342,1572.91092723701,994
"2019/2020",2020,120,120,100,80.9574121537062,3050.40716417832,626
"2020/2021",2021,121,121,100,74.9720463527779,1090.36570686917,1152
"2021/2022",2022,120,120,100,69.8799644158812,3501.85336377285,1120
"2022/2023",2023,120,120,100,75.1926813997152,1528.25294901687,861
"2023/2024",2024,120,120,100,81.4640495057074,3521.15118057607,501
"2024/2025",2025,121,121,100,79.8078487802422,1447.95571189746,805
"2025/2026",2026,120,120,100,61.5861237481049,1252.97592658037,1584
"2026/2027",2027,120,120,100,82.3381343165929,2476.90834729071,664
"2027/2028",2028,120,120,100,68.0593092338954,423.648235632107,1316
"2028/2029",2029,121,121,100,75.7133239732893,2643.49952338589,880
"2029/2030",2030,120,120,100,73.5882591424124,2459.75556192407,1057
"2030/2031",2031,120,120,100,78.9911207449413,2040.63969721785,874
"2031/2032",2032,120,120,100,84.0819392808808,2295.68976930715,630
"2032/2033",2033,121,121,100,69.9971587192485,1035.21921720123,1290
"2033/2034",2034,120,120,100,68.3286631865631,2136.39230744354,1156
"2034/2035",2035,120,120,100,69.6674079779641,2957.32932550926,1127
"2035/2036",2036,120,120,100,76.9502169173402,1856.5423812787,919
"2036/2037",2037,121,121,100,73.5788376505261,1290.08987534745,1244
"2037/2038",2038,120,120,100,75.6192120511623,2017.635529425,922
"2038/2039",2039,120,120,100,85.5828261953266,2723.99147128686,511
"2039/2040",2040,120,120,100,79.5183139741139,2486.4711123202,725
"2040/2041",2041,121,121,100,81.2205855680459,1945.98651171196,716
"2041/2042",2042,120,120,100,81.4462760340202,2542.7137822113,573
"2042/2043",2043,120,120,100,72.0853089074681,1092.72770834947,1305
"2043/2044",2044,120,120,100,81.6350629863718,1702.87409488531,632
"2044/2045",2045,121,121,100,71.5813677459146,845.751039690804,1264
"2045/2046",2046,120,120,100,72.4835247588344,2745.80552702025,976
"2046/2047",2047,120,120,100,72.8472755802186,1695.38570775138,965
"2047/2048",2048,120,120,100,76.6399630016722,993.38786963746,1030
"2048/2049",2049,121,121,100,74.4192262126717,1335.00809607375,1108
"2049/2050",2050,120,120,100,72.3305375873097,468.673612773884,1312
