"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,77.425191432029,2510.73381806249,896
"2002/2003",2003,120,120,100,71.6127770217289,853.186186686886,1256
"2003/2004",2004,120,120,100,80.4840045803068,1194.57196889541,775
"2004/2005",2005,121,121,100,83.086264258563,3197.22329012849,695
"2005/2006",2006,120,120,100,77.7491650087666,2007.37184132962,891
"2006/2007",2007,120,120,100,75.0400231717682,1841.05261001759,968
"2007/2008",2008,120,120,100,66.3830129651383,605.948837388656,1290
"2008/2009",2009,121,121,100,77.3841529335623,3375.39033086086,729
"2009/2010",2010,120,120,100,78.1681353440042,1526.93967546208,816
"2010/2011",2011,120,120,100,75.6509264681256,1298.21377874305,804
"2011/2012",2012,120,120,100,68.0714963830344,2009.08016302087,1304
"2012/2013",2013,121,121,100,79.6077325079609,1519.14456498693,868
"2013/2014",2014,120,120,100,65.6542273675386,1400.71680854738,1424
"2014/2015",2015,120,120,100,77.3689217824028,2144.56693502783,814
"2015/2016",2016,120,120,100,71.741073541607,2169.43378476275,1040
"2016/2017",2017,121,121,100,76.2235492803034,2649.57668074884,894
"2017/2018",2018,120,120,100,65.463597783893,1615.21915679192,1282
"2018/2019",2019,120,120,100,74.5608030713352,1380.08960867207,1133
"2019/2020",2020,120,120,100,80.0563134667841,2914.05229829974,697
"2020/2021",2021,121,121,100,72.2264877204188,1112.14058518899,1250
"2021/2022",2022,120,120,100,67.5167214354924,3389.57205347647,1182
"2022/2023",2023,120,120,100,72.9424429946048,1667.71708502807,979
"2023/2024",2024,120,120,100,82.4032424967636,3090.47861327301,539
"2024/2025",2025,121,121,100,79.3550898924555,1126.22638667305,835
"2025/2026",2026,120,120,100,60.4921847736059,886.176441545133,1671
"2026/2027",2027,120,120,100,80.715406208421,2179.62297472591,731
"2027/2028",2028,120,120,100,62.1493881040242,664.799334819196,1354
"2028/2029",2029,121,121,100,75.3799049980066,2781.28230739501,1003
"2029/2030",2030,120,120,100,74.2245156495837,1805.83636419242,1079
"2030/2031",2031,120,120,100,79.3994016765382,1489.40752561274,916
"2031/2032",2032,120,120,100,81.3821344865182,2278.36898400565,745
"2032/2033",2033,121,121,100,69.4974919233191,893.835233080434,1278
"2033/2034",2034,120,120,100,66.2873300602805,2235.38483718038,1235
"2034/2035",2035,120,120,100,69.7064932774538,2537.29939506412,1150
"2035/2036",2036,120,120,100,76.5446420998305,1453.81532290485,896
