"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,77.6937127011941,2594.52946349219,819
"2002/2003",2003,120,120,100,72.3834087394583,923.370227439285,1206
"2003/2004",2004,120,120,100,82.2077383954694,1408.52824810069,669
"2004/2005",2005,121,121,100,84.4182261667187,3506.20733049503,585
"2005/2006",2006,120,120,100,79.3830461655544,1929.35309283307,789
"2006/2007",2007,120,120,100,77.8439433779002,1951.7816456579,816
"2007/2008",2008,120,120,100,68.1522091239483,645.420118022827,1113
"2008/2009",2009,121,121,100,79.4721286504184,3465.62054887612,652
"2009/2010",2010,120,120,100,81.1125383542994,1525.60907506081,652
"2010/2011",2011,120,120,100,76.6542691902475,1360.36900281371,683
"2011/2012",2012,120,120,100,70.2322793155938,1919.99512323679,1210
"2012/2013",2013,121,121,100,79.426480730752,1541.90916350286,789
"2013/2014",2014,120,120,100,67.2199832637834,1399.58684562892,1358
"2014/2015",2015,120,120,100,78.6596205998364,2263.29292830068,749
"2015/2016",2016,120,120,100,76.8261753290676,2034.98788663908,963
"2016/2017",2017,121,121,100,79.5455115905202,2881.3842523715,840
"2017/2018",2018,120,120,100,69.4364934462951,1594.81760112394,1133
"2018/2019",2019,120,120,100,76.3232946625353,1447.78203624859,994
"2019/2020",2020,120,120,100,82.3706842997412,3094.9549963139,621
"2020/2021",2021,121,121,100,75.4137929961125,1045.87583333976,1164
"2021/2022",2022,120,120,100,70.6499924899131,3349.66212617583,1046
"2022/2023",2023,120,120,100,77.3684342213292,1458.60479463288,788
"2023/2024",2024,120,120,100,82.9128386690168,3376.66120524216,455
"2024/2025",2025,121,121,100,81.0539686427978,1419.03808275703,788
"2025/2026",2026,120,120,100,61.1557669768104,1159.2717711234,1573
"2026/2027",2027,120,120,100,82.8678504380709,2277.09579567006,620
"2027/2028",2028,120,120,100,67.9805487614271,583.00861133053,1340
"2028/2029",2029,121,121,100,77.3711049748049,2641.46007636283,865
"2029/2030",2030,120,120,100,74.6916649418663,2012.54292391217,1014
"2030/2031",2031,120,120,100,81.3155377845205,1668.52729203762,800
"2031/2032",2032,120,120,100,83.4700147344574,2323.7420715061,630
"2032/2033",2033,121,121,100,72.3034220068057,920.361347115831,1219
"2033/2034",2034,120,120,100,68.8431642689075,2133.31708156271,1087
"2034/2035",2035,120,120,100,71.683402797561,2598.19917804003,1055
"2035/2036",2036,120,120,100,77.4970948143218,1657.28318922734,862
"2036/2037",2037,121,121,100,71.4564900931118,1294.08265369339,1207
"2037/2038",2038,120,120,100,76.7036327871347,2099.35270779673,843
"2038/2039",2039,120,120,100,85.5582188958197,2480.23823439749,458
"2039/2040",2040,120,120,100,81.2241816436162,2222.95085767424,652
"2040/2041",2041,121,121,100,81.5203608836036,1778.02442501206,656
"2041/2042",2042,120,120,100,80.372489000235,2692.59315597033,587
"2042/2043",2043,120,120,100,71.7346883002519,937.753790194634,1276
"2043/2044",2044,120,120,100,81.0941439069093,1810.90127906809,638
"2044/2045",2045,121,121,100,71.089686097469,778.852718170267,1187
"2045/2046",2046,120,120,100,72.4866958721732,2640.31102194265,980
"2046/2047",2047,120,120,100,75.9011750804766,1556.45736568235,943
"2047/2048",2048,120,120,100,76.2711387729341,1001.30376822175,1006
"2048/2049",2049,121,121,100,76.0820733985001,1057.7550489665,1081
"2049/2050",2050,120,120,100,71.636303457416,430.410356741399,1257
"2050/2051",2051,120,120,100,74.6528355009959,2382.65977681801,1005
"2051/2052",2052,120,120,100,80.8236174049662,2833.27061189013,647
"2052/2053",2053,121,121,100,79.1100695530695,2536.80983278994,727
"2053/2054",2054,120,120,100,80.1346527481537,2589.57088226033,724
"2054/2055",2055,120,120,100,76.3685462787134,1398.14406941738,870
"2055/2056",2056,120,120,100,71.2490921161907,3623.28583201347,921
"2056/2057",2057,121,121,100,68.9881838491019,1471.37503444636,1081
"2057/2058",2058,120,120,100,81.3030145764815,1890.75645981403,677
"2058/2059",2059,120,120,100,69.482595369951,959.209087552968,1168
"2059/2060",2060,120,120,100,77.9100993458487,2784.91683906084,778
"2060/2061",2061,121,121,100,80.4876212348172,3466.8014242202,713
"2061/2062",2062,120,120,100,66.4427872408123,865.102038814221,1300
"2062/2063",2063,120,120,100,73.0463654562736,1321.94739460526,1023
"2063/2064",2064,120,120,100,73.6486088975234,1819.10475615365,1120
"2064/2065",2065,121,121,100,80.5370067734639,1699.10885253595,792
"2065/2066",2066,120,120,100,83.4076398640009,1225.64089502394,492
"2066/2067",2067,120,120,100,70.1257371235224,1038.17004028149,1146
"2067/2068",2068,120,120,100,83.9712297391288,3343.01936511602,596
"2068/2069",2069,121,121,100,76.8138050394955,1700.64927134989,922
"2069/2070",2070,120,120,100,76.102014594615,1906.63438928826,782
"2070/2071",2071,120,120,100,76.2864146451302,2274.37738474924,958
"2071/2072",2072,120,120,100,70.2007033795981,1772.83001996111,1058
"2072/2073",2073,121,121,100,84.9798278891994,3560.13022091892,506
"2073/2074",2074,120,120,100,66.5401235782174,3143.20468054991,1010
"2074/2075",2075,120,120,100,79.6742413325319,3112.55248943344,805
"2075/2076",2076,120,120,100,86.4369799732576,2714.32346855104,518
"2076/2077",2077,121,121,100,75.0018167145081,848.409791960381,1115
"2077/2078",2078,120,120,100,71.4899945586421,805.774941632524,1185
"2078/2079",2079,120,120,100,76.8350283691743,1483.75192031078,790
"2079/2080",2080,120,120,100,78.9782638602828,2356.50947577786,693
"2080/2081",2081,121,121,100,72.4424203830113,2023.8881827658,1046
"2081/2082",2082,120,120,100,77.629138267177,2466.77645288035,710
"2082/2083",2083,120,120,100,79.3066069494453,2308.60815286543,771
"2083/2084",2084,120,120,100,77.2123203464344,1319.30036859028,937
"2084/2085",2085,121,121,100,71.6997590069968,1366.73463020381,936
"2085/2086",2086,120,120,100,75.8267836254836,1830.83438479993,951
"2086/2087",2087,120,120,100,74.8741703652231,1472.71082572546,1048
"2087/2088",2088,120,120,100,72.6955370078485,1855.53499514516,1046
