"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,73.7666432393893,2665.09621010484,970
"2002/2003",2003,120,120,100,71.4080431348841,768.548484112805,1310
"2003/2004",2004,120,120,100,78.9908336271342,1113.07209557842,884
"2004/2005",2005,121,121,100,83.2163816386388,2740.83886069886,758
"2005/2006",2006,120,120,100,77.095235289979,1838.54072129796,968
"2006/2007",2007,120,120,100,74.164405854768,1850.28367293312,1059
"2007/2008",2008,120,120,100,63.68142345067,633.117125981255,1425
"2008/2009",2009,121,121,100,78.6310129955859,2973.80143035972,740
"2009/2010",2010,120,120,100,77.9926291369866,1220.57484063762,880
"2010/2011",2011,120,120,100,74.6567000041784,1084.50265055825,896
"2011/2012",2012,120,120,100,68.0510385748853,1957.34522567084,1320
"2012/2013",2013,121,121,100,76.0586247756123,1437.52873134811,991
"2013/2014",2014,120,120,100,64.1572678021439,1583.930829474,1487
"2014/2015",2015,120,120,100,75.7657555106166,2321.54407195828,894
"2015/2016",2016,120,120,100,71.6450891748232,1958.77150445688,1084
"2016/2017",2017,121,121,100,74.0877155328062,2824.05360076949,1016
"2017/2018",2018,120,120,100,63.4395993028079,1760.51817048807,1355
"2018/2019",2019,120,120,100,71.4667423357619,1376.33474104234,1210
"2019/2020",2020,120,120,100,78.5831906901672,2592.7117100223,776
"2020/2021",2021,121,121,100,71.4151816851804,960.243514691712,1290
"2021/2022",2022,120,120,100,64.686864749242,3605.03278904175,1296
"2022/2023",2023,120,120,100,70.897270572771,1538.0712083464,1091
"2023/2024",2024,120,120,100,80.6109444574304,3034.27259774203,684
"2024/2025",2025,121,121,100,78.4839165154835,980.010220452445,919
"2025/2026",2026,120,120,100,59.3528978170066,984.161026261514,1707
"2026/2027",2027,120,120,100,78.5802862595983,2069.61088772421,813
"2027/2028",2028,120,120,100,61.7704092808021,432.283108310308,1454
"2028/2029",2029,121,121,100,73.1289479416873,2776.74892780744,1093
"2029/2030",2030,120,120,100,72.6827328811833,1881.26301083365,1134
"2030/2031",2031,120,120,100,77.209441888408,1531.49819800304,996
"2031/2032",2032,120,120,100,81.0591409598201,2065.6482726403,783
"2032/2033",2033,121,121,100,67.2533503413833,866.806040964555,1369
"2033/2034",2034,120,120,100,65.8245333045379,2310.23294393532,1361
"2034/2035",2035,120,120,100,66.1167834849584,2729.21439206321,1235
"2035/2036",2036,120,120,100,75.2819994493439,1593.24856024212,1027
"2036/2037",2037,121,121,100,68.5193473582913,1202.68704757327,1407
"2037/2038",2038,120,120,100,74.2492058792886,2121.97306800587,1076
"2038/2039",2039,120,120,100,81.3974922797124,2134.0926421443,620
"2039/2040",2040,120,120,100,78.1189718156129,2349.8567545074,942
"2040/2041",2041,121,121,100,77.729258087058,1779.28538193461,885
"2041/2042",2042,120,120,100,79.7741526635346,2420.21305916505,744
"2042/2043",2043,120,120,100,68.7986923516528,994.538550905418,1448
"2043/2044",2044,120,120,100,76.6614467754443,1736.60058054933,864
"2044/2045",2045,121,121,100,66.7336555747434,952.376847804524,1403
"2045/2046",2046,120,120,100,67.8907254071373,2786.86056854902,1174
"2046/2047",2047,120,120,100,72.2153358528758,1612.92906832788,1085
"2047/2048",2048,120,120,100,71.5927207635123,1069.36012383504,1153
"2048/2049",2049,121,121,100,72.9528492295876,1103.40477297502,1217
"2049/2050",2050,120,120,100,68.2909070851392,446.788932123687,1467
"2050/2051",2051,120,120,100,69.4932351413672,2461.77959035058,1260
"2051/2052",2052,120,120,100,77.6777620443481,2688.8527153288,809
"2052/2053",2053,121,121,100,75.6843224286404,2285.34432638995,976
"2053/2054",2054,120,120,100,75.94331788623,2523.02031116001,891
"2054/2055",2055,120,120,100,73.6210537433017,1529.77435160428,1183
"2055/2056",2056,120,120,100,65.7820788130848,3749.45765382098,1115
"2056/2057",2057,121,121,100,66.8669775132767,1114.88160051079,1226
"2057/2058",2058,120,120,100,76.7915039492573,1814.03142477572,911
"2058/2059",2059,120,120,100,66.4487644348337,1072.46702456754,1411
"2059/2060",2060,120,120,100,75.1915429045348,2817.25684852665,957
"2060/2061",2061,121,121,100,77.911591918315,3396.11718429672,860
"2061/2062",2062,120,120,100,62.6802126186358,789.557544821408,1418
"2062/2063",2063,120,120,100,69.9081443152008,1216.21792834299,1204
"2063/2064",2064,120,120,100,71.6918347987175,1634.99872389343,1348
"2064/2065",2065,121,121,100,77.6302065118416,1197.49573538266,956
"2065/2066",2066,120,120,100,80.001625242292,1225.42355987849,815
"2066/2067",2067,120,120,100,66.0480891179486,902.707023623865,1281
"2067/2068",2068,120,120,100,82.4473923731712,2666.82029517507,674
"2068/2069",2069,121,121,100,73.4760773830294,1647.95105150761,1111
"2069/2070",2070,120,120,100,73.2041563499533,1740.77761372086,976
"2070/2071",2071,120,120,100,71.3480146948041,2163.32431636192,1204
"2071/2072",2072,120,120,100,68.2900497638802,1697.56643075636,1187
"2072/2073",2073,121,121,100,82.5418181349469,3125.42660396826,644
"2073/2074",2074,120,120,100,64.1234529728517,3286.21270726342,1227
"2074/2075",2075,120,120,100,76.9364161336744,2826.78845799062,929
"2075/2076",2076,120,120,100,82.9740230469797,2347.03669082373,647
"2076/2077",2077,121,121,100,69.7510262809956,838.511233957484,1350
"2077/2078",2078,120,120,100,66.3794337040817,718.380541155115,1364
"2078/2079",2079,120,120,100,73.5012011874951,1409.91111451387,979
"2079/2080",2080,120,120,100,78.0978872106298,1771.39553355612,787
"2080/2081",2081,121,121,100,68.272786869371,2164.19738983549,1198
"2081/2082",2082,120,120,100,71.9239980687198,2623.79996847454,1001
"2082/2083",2083,120,120,100,75.4091526045559,2270.30202238169,954
"2083/2084",2084,120,120,100,75.6493206141477,941.629793017171,1080
"2084/2085",2085,121,121,100,66.6898727471071,1444.43755612895,1190
"2085/2086",2086,120,120,100,70.2266635388678,1886.06241052784,1194
"2086/2087",2087,120,120,100,70.0742025325872,1612.34913501423,1236
"2087/2088",2088,120,120,100,68.7139300395193,1923.58834573813,1233
"2088/2089",2089,121,121,100,72.1358784810054,1717.2943631066,1047
"2089/2090",2090,120,120,100,72.8138146669153,796.806985355914,1191
"2090/2091",2091,120,120,100,64.9483082855913,1699.07184837759,1409
"2091/2092",2092,120,120,100,72.4680402001959,845.983032345772,1331
"2092/2093",2093,121,121,100,75.4092913947643,2226.88327053282,1017
"2093/2094",2094,120,120,100,61.1162313985897,2613.93960793223,1366
"2094/2095",2095,120,120,100,76.25027717392,1065.0714447666,1053
"2095/2096",2096,120,120,100,75.230986876446,3039.66659858543,857
"2096/2097",2097,121,121,100,64.7928331213388,4847.82380215917,1126
"2097/2098",2098,120,120,100,65.3386819379193,2098.38768139109,1312
"2098/2099",2099,120,120,100,75.5284545949708,1723.43544302322,1021
"2099/2100",2100,120,120,100,74.4605865099838,2015.19609676674,883
"2100/2101",2101,120,120,100,72.2360746275463,1714.43853379786,1071
