"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,77.7679679362109,3284.73132944026,848
"2002/2003",2003,120,120,100,73.0722075439258,1115.69375050227,1193
"2003/2004",2004,120,120,100,81.76092837276,1865.93593773548,694
"2004/2005",2005,121,121,100,82.3831382255627,4324.52675221566,660
"2005/2006",2006,120,120,100,79.1693170552271,2581.24147206818,766
"2006/2007",2007,120,120,100,76.599960035109,2619.10750665161,885
"2007/2008",2008,120,120,100,70.3365926621539,914.483933876909,1073
"2008/2009",2009,121,121,100,77.2399086821943,4399.54295255628,667
"2009/2010",2010,120,120,100,79.741806730143,2159.18891033716,699
"2010/2011",2011,120,120,100,77.2825195556798,1905.59808641404,679
"2011/2012",2012,120,120,100,70.6642804747923,2564.75527956861,1188
"2012/2013",2013,121,121,100,80.8397687815661,2058.62305842992,750
"2013/2014",2014,120,120,100,66.9824808822416,1997.25670722185,1329
"2014/2015",2015,120,120,100,77.5362264987734,2926.19438855001,787
"2015/2016",2016,120,120,100,73.3029037173094,2816.02985221043,980
"2016/2017",2017,121,121,100,76.409135591121,3432.24733286223,826
"2017/2018",2018,120,120,100,68.7285375475226,2263.69974171196,1145
"2018/2019",2019,120,120,100,77.3341091273433,1900.74274971453,1046
"2019/2020",2020,120,120,100,80.8156118930042,3781.66273855558,638
"2020/2021",2021,121,121,100,74.6020606069583,1497.49773921561,1147
"2021/2022",2022,120,120,100,69.5547526239793,4207.00584799331,1003
"2022/2023",2023,120,120,100,77.4758474115147,2153.60415006499,784
"2023/2024",2024,120,120,100,83.2500169704276,4005.42664024606,480
"2024/2025",2025,121,121,100,82.3118408237729,1656.4689133612,706
"2025/2026",2026,120,120,100,64.1430281902085,1340.38340437785,1586
"2026/2027",2027,120,120,100,83.0897382591179,2797.63861296885,612
"2027/2028",2028,120,120,100,65.9574800676737,987.033777820412,1215
"2028/2029",2029,121,121,100,75.269741139155,3620.83049648488,924
"2029/2030",2030,120,120,100,75.5378871827643,2257.54175953683,990
"2030/2031",2031,120,120,100,80.9597165355831,1932.11603421276,812
"2031/2032",2032,120,120,100,82.1126024979767,3133.886573856,683
"2032/2033",2033,121,121,100,72.6182042231803,1253.85553817498,1166
"2033/2034",2034,120,120,100,67.2749176564412,2931.73489952693,1099
"2034/2035",2035,120,120,100,71.2220367826358,3082.29626563657,1040
"2035/2036",2036,120,120,100,79.6396560572693,2137.98371371487,855
"2036/2037",2037,121,121,100,70.8954232010119,1787.42052076245,1190
"2037/2038",2038,120,120,100,74.0322700872448,3010.54658721108,821
"2038/2039",2039,120,120,100,85.4572964609888,3034.71484576957,457
"2039/2040",2040,120,120,100,80.3908941304217,2854.193046425,656
"2040/2041",2041,121,121,100,80.2141914749564,2410.76915225526,684
"2041/2042",2042,120,120,100,80.4057538495299,3721.00133118825,686
"2042/2043",2043,120,120,100,74.4741182548605,1365.93926879158,1245
"2043/2044",2044,120,120,100,78.3060248587572,2636.95886662509,697
"2044/2045",2045,121,121,100,71.3297407215714,1305.58272064477,1145
"2045/2046",2046,120,120,100,71.1088212432915,3421.64146654075,1057
"2046/2047",2047,120,120,100,76.1149048424222,2202.36886880081,957
"2047/2048",2048,120,120,100,76.9617278557089,1630.12401448796,986
"2048/2049",2049,121,121,100,76.4554830499455,1409.69629631611,1089
"2049/2050",2050,120,120,100,73.6600335975982,708.460542418528,1216
"2050/2051",2051,120,120,100,72.7882326266199,2949.18943662383,1021
"2051/2052",2052,120,120,100,78.5246697666526,3294.7865009727,673
"2052/2053",2053,121,121,100,80.738299588199,2831.32902499149,724
"2053/2054",2054,120,120,100,78.7122763665229,3525.89393487759,750
"2054/2055",2055,120,120,100,77.5393608962086,2037.57228882099,926
"2055/2056",2056,120,120,100,71.9255044042457,4188.03007350909,920
"2056/2057",2057,121,121,100,70.5352940562707,1727.36278056167,1058
"2057/2058",2058,120,120,100,81.0101965472822,2742.21594615793,734
"2058/2059",2059,120,120,100,70.9443158849926,1467.20472854795,1238
"2059/2060",2060,120,120,100,77.1322192221742,3852.76318421401,803
"2060/2061",2061,121,121,100,79.0029915743899,4528.65524403285,663
"2061/2062",2062,120,120,100,68.2680353637461,1265.20710345311,1220
"2062/2063",2063,120,120,100,75.942792107011,1450.33106595976,999
"2063/2064",2064,120,120,100,73.2310333611513,2654.17930689361,1122
"2064/2065",2065,121,121,100,81.6318074034534,2173.85644333065,771
"2065/2066",2066,120,120,100,83.3391005904232,1831.9389458294,573
"2066/2067",2067,120,120,100,70.8900700961622,1503.39181836369,1041
"2067/2068",2068,120,120,100,81.1710348587148,4209.09075642424,621
"2068/2069",2069,121,121,100,76.4835818936463,2411.37283717003,904
"2069/2070",2070,120,120,100,74.603808865455,2826.39232351817,815
"2070/2071",2071,120,120,100,77.7965035891157,2510.91390061285,793
"2071/2072",2072,120,120,100,69.4194959351262,2167.34955062531,1058
"2072/2073",2073,121,121,100,83.3291320817007,4407.89741267357,552
"2073/2074",2074,120,120,100,66.6557040867829,3873.72827320732,1019
"2074/2075",2075,120,120,100,79.7419102147196,3453.37561741378,731
"2075/2076",2076,120,120,100,84.136162249908,3566.66662231833,583
