"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,79.9095040697206,4388.55009905568,660
"2002/2003",2003,120,120,100,76.7536645453205,1603.42094304091,947
"2003/2004",2004,120,120,100,85.6749502835531,2588.958640659,474
"2004/2005",2005,121,121,100,84.6081936356987,5318.60082607079,410
"2005/2006",2006,120,120,100,81.3049163520479,3354.09393729141,572
"2006/2007",2007,120,120,100,80.894109958869,3429.78566784615,642
"2007/2008",2008,120,120,100,73.9044797399722,1357.61408270476,812
"2008/2009",2009,121,121,100,77.8668692345707,5267.37239175342,498
"2009/2010",2010,120,120,100,84.0485319657771,2708.02529805282,421
"2010/2011",2011,120,120,100,80.4538162331821,2556.97849790577,511
"2011/2012",2012,120,120,100,70.9550503398964,3196.39329606842,981
"2012/2013",2013,121,121,100,84.6236306244325,2736.32358165109,539
"2013/2014",2014,120,120,100,69.8382489673954,2663.79397917853,1157
"2014/2015",2015,120,120,100,79.0602340128348,3806.99834153615,584
"2015/2016",2016,120,120,100,78.441485240076,3426.50150527118,739
"2016/2017",2017,121,121,100,80.55828665223,4453.60194746137,619
"2017/2018",2018,120,120,100,74.2008470328033,2922.26680800621,900
"2018/2019",2019,120,120,100,80.550153751396,2592.39280752256,789
"2019/2020",2020,120,120,100,83.8153827031028,4696.65355594829,486
"2020/2021",2021,121,121,100,78.8196447531527,1902.01311045187,854
"2021/2022",2022,120,120,100,70.5356081574209,5016.88237753417,825
"2022/2023",2023,120,120,100,82.4117210748154,2784.20502446708,562
"2023/2024",2024,120,120,100,82.8409091396479,5249.53040385921,291
"2024/2025",2025,121,121,100,83.8104021460153,2381.64305570489,498
"2025/2026",2026,120,120,100,67.9189241180302,1862.05393174314,1265
"2026/2027",2027,120,120,100,86.5686987054692,3731.98953714129,418
"2027/2028",2028,120,120,100,73.7013786121411,1173.25648577302,1010
"2028/2029",2029,121,121,100,77.8811327196977,4364.65870076232,646
"2029/2030",2030,120,120,100,80.8408228996122,3200.75396585371,806
"2030/2031",2031,120,120,100,84.0331085640228,2766.31057501794,598
"2031/2032",2032,120,120,100,85.3838477922845,3943.71456394903,448
"2032/2033",2033,121,121,100,76.7311975072762,1740.90714734374,969
