"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,81.9062222961885,3989.82072955545,676
"2002/2003",2003,120,120,100,77.2000367992273,1561.47592219566,969
"2003/2004",2004,120,120,100,86.2925161922152,2389.21132184769,495
"2004/2005",2005,121,121,100,85.8123112692458,5086.70710787433,428
"2005/2006",2006,120,120,100,81.705714264008,3200.44422659226,602
"2006/2007",2007,120,120,100,79.7364491643234,3090.5901899811,629
"2007/2008",2008,120,120,100,73.3323936552792,1199.16073024448,844
"2008/2009",2009,121,121,100,80.3870931783076,5075.18893823429,528
"2009/2010",2010,120,120,100,84.2120893213078,2595.25722318771,429
"2010/2011",2011,120,120,100,79.7326016764441,2413.70550169982,524
"2011/2012",2012,120,120,100,72.2326492964337,3009.05250749772,1007
"2012/2013",2013,121,121,100,83.9307294300377,2553.48899008543,553
"2013/2014",2014,120,120,100,71.8909137948858,2293.53481520433,1156
"2014/2015",2015,120,120,100,79.7698947924605,3405.95909816702,566
"2015/2016",2016,120,120,100,78.4875259156934,3214.02199319273,766
"2016/2017",2017,121,121,100,83.2270989156987,4064.68576036289,634
"2017/2018",2018,120,120,100,73.923560631652,2588.91551902553,909
"2018/2019",2019,120,120,100,80.6312804425784,2321.4079514835,800
"2019/2020",2020,120,120,100,82.9712393036275,4518.84980121232,504
"2020/2021",2021,121,121,100,78.2199616625062,1786.99430408934,872
"2021/2022",2022,120,120,100,70.447414518419,4566.86086391052,834
"2022/2023",2023,120,120,100,80.9048770583245,2570.13985976111,560
"2023/2024",2024,120,120,100,84.5026493485716,4887.22942292038,286
"2024/2025",2025,121,121,100,85.0787711964549,2287.32038159226,535
"2025/2026",2026,120,120,100,68.3223329504381,1655.86890918249,1335
"2026/2027",2027,120,120,100,85.8106011740488,3535.34582574596,437
"2027/2028",2028,120,120,100,73.7124403463067,1139.89599965513,1032
"2028/2029",2029,121,121,100,77.9831656522711,4003.92804125696,634
"2029/2030",2030,120,120,100,80.3032317648831,2992.4274329266,817
"2030/2031",2031,120,120,100,82.3840355906232,2623.43077059626,626
"2031/2032",2032,120,120,100,85.2750663637571,3703.66135687777,446
"2032/2033",2033,121,121,100,75.2738047938319,1614.11412717681,1008
"2033/2034",2034,120,120,100,70.5789516371142,3237.74259792501,828
"2034/2035",2035,120,120,100,75.6078928663073,3672.07111715875,860
"2035/2036",2036,120,120,100,81.7158480629951,2654.48673170502,673
"2036/2037",2037,121,121,100,77.7698815375697,2065.44323980855,992
"2037/2038",2038,120,120,100,80.0006502598517,3417.31860003434,643
"2038/2039",2039,120,120,100,88.7140041389648,3970.47263146145,336
"2039/2040",2040,120,120,100,83.7298488078859,3350.62892938219,436
"2040/2041",2041,121,121,100,84.4486699436375,2992.59429234033,465
"2041/2042",2042,120,120,100,82.9481996181057,4290.51540376758,466
"2042/2043",2043,120,120,100,77.7287320168052,1699.98955849558,990
"2043/2044",2044,120,120,100,83.8195667100781,3080.29453331465,422
"2044/2045",2045,121,121,100,76.8351242916087,1510.34856034676,928
"2045/2046",2046,120,120,100,75.542469519718,3802.67070424743,807
"2046/2047",2047,120,120,100,77.6890584420407,2597.61192305619,791
"2047/2048",2048,120,120,100,80.0949676041319,1946.77377881529,752
"2048/2049",2049,121,121,100,77.6910212799075,1784.93549078656,911
"2049/2050",2050,120,120,100,78.6120217727048,894.527897896245,939
"2050/2051",2051,120,120,100,77.1894583564945,3433.2520172419,724
"2051/2052",2052,120,120,100,80.4531749268144,4093.70405361941,477
"2052/2053",2053,121,121,100,82.1600434373559,3699.3991832477,468
"2053/2054",2054,120,120,100,82.1193606703464,4066.19629654475,495
"2054/2055",2055,120,120,100,80.8262197230679,2421.08162824158,670
"2055/2056",2056,120,120,100,73.9053202491577,4597.73072898621,674
"2056/2057",2057,121,121,100,73.9152043989743,2305.23474283004,900
"2057/2058",2058,120,120,100,84.0235735891183,3157.17703497922,469
"2058/2059",2059,120,120,100,75.4572005653681,1726.89238820551,907
"2059/2060",2060,120,120,100,79.7603112487686,4296.27798533766,672
"2060/2061",2061,121,121,100,80.469913816969,5083.03114387998,521
"2061/2062",2062,120,120,100,72.6437879748482,1523.45724722557,1082
"2062/2063",2063,120,120,100,80.3581762889389,1999.10206297366,792
"2063/2064",2064,120,120,100,75.420204786973,3021.49958989071,936
"2064/2065",2065,121,121,100,84.3719772729564,2680.21308268001,543
