"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,83.9297208665458,4396.48684645867,519
"2002/2003",2003,120,120,100,78.9081444406915,1811.18602527578,859
"2003/2004",2004,120,120,100,86.3282161598036,3266.1752510154,458
"2004/2005",2005,121,121,100,83.8655026359761,6278.93406426895,410
"2005/2006",2006,120,120,100,83.7043638596608,3536.79158004647,528
"2006/2007",2007,120,120,100,80.827669625729,3844.73511818307,585
"2007/2008",2008,120,120,100,75.8684874499766,1496.28543889394,776
"2008/2009",2009,121,121,100,79.297038728467,5873.80772569933,448
"2009/2010",2010,120,120,100,84.1691312101286,3238.07342166291,392
"2010/2011",2011,120,120,100,80.9815804176542,3112.05263698753,463
"2011/2012",2012,120,120,100,74.9303807962715,3171.00233543431,913
"2012/2013",2013,121,121,100,85.1920438110424,3146.44438957644,490
"2013/2014",2014,120,120,100,72.8078084540891,2615.09079278959,1067
"2014/2015",2015,120,120,100,81.2151505690313,4027.42335901677,553
"2015/2016",2016,120,120,100,80.3193148533883,3684.15222714306,678
"2016/2017",2017,121,121,100,81.9079752434532,4797.71833055408,527
"2017/2018",2018,120,120,100,75.1685440116421,2961.19467499829,807
"2018/2019",2019,120,120,100,80.9592262890269,2892.53838306526,725
"2019/2020",2020,120,120,100,82.5366297094838,5521.31316963211,448
"2020/2021",2021,121,121,100,80.3692896026337,2107.18340254109,774
"2021/2022",2022,120,120,100,72.987744666545,5005.42051251954,738
"2022/2023",2023,120,120,100,84.5555867495127,2722.84772857628,404
"2023/2024",2024,120,120,100,83.6933589480195,5841.64187227678,263
"2024/2025",2025,121,121,100,84.517083710452,3040.55503027048,502
"2025/2026",2026,120,120,100,68.3049633565802,2444.22353592562,1274
"2026/2027",2027,120,120,100,86.2865767890762,4274.91444575554,399
"2027/2028",2028,120,120,100,75.6725165027151,1438.79560469277,889
"2028/2029",2029,121,121,100,81.6396355956922,4388.27767855674,588
"2029/2030",2030,120,120,100,80.6390216331956,3465.21801194013,764
"2030/2031",2031,120,120,100,84.2606327043577,3061.34205287858,532
"2031/2032",2032,120,120,100,86.4676415004542,4534.15480662044,438
"2032/2033",2033,121,121,100,78.9344827663908,1971.00557456492,928
"2033/2034",2034,120,120,100,74.2359351297882,3668.05736716092,787
"2034/2035",2035,120,120,100,76.064816893575,4019.2106358679,812
"2035/2036",2036,120,120,100,81.9636025803156,3406.09288270911,656
"2036/2037",2037,121,121,100,80.66834489952,2600.03599424474,856
"2037/2038",2038,120,120,100,82.0615371663253,3771.76820062613,547
"2038/2039",2039,120,120,100,89.3820382010181,4770.8215770009,259
"2039/2040",2040,120,120,100,86.0244287995165,3839.53276832961,341
"2040/2041",2041,121,121,100,86.17524345536,3319.84713306883,378
"2041/2042",2042,120,120,100,82.1491173387385,5036.15418608859,411
"2042/2043",2043,120,120,100,80.8963462952006,1742.57764312578,838
"2043/2044",2044,120,120,100,84.5183172060824,3615.61656087218,394
"2044/2045",2045,121,121,100,79.0010120619881,1669.48210478388,818
"2045/2046",2046,120,120,100,76.2785830940265,4318.69598859362,707
"2046/2047",2047,120,120,100,79.4693845562388,2848.05382931093,736
"2047/2048",2048,120,120,100,83.5748297224463,2141.23723287182,630
"2048/2049",2049,121,121,100,80.7916977734703,1993.43366496684,790
"2049/2050",2050,120,120,100,79.9524672683619,1156.07477601292,848
"2050/2051",2051,120,120,100,77.4413045709507,4112.1912225252,644
"2051/2052",2052,120,120,100,80.7985903327963,4888.32684826804,456
"2052/2053",2053,121,121,100,83.7430366137414,4384.75958113139,415
"2053/2054",2054,120,120,100,84.0316147665881,4547.48428934207,417
"2054/2055",2055,120,120,100,82.7601820008631,2742.65948087862,589
"2055/2056",2056,120,120,100,75.3731123247098,5212.32664106786,592
"2056/2057",2057,121,121,100,73.9487661705534,3025.70670901937,839
"2057/2058",2058,120,120,100,85.8826685642316,3466.53801219072,336
"2058/2059",2059,120,120,100,77.5372368779645,1930.48946426529,777
"2059/2060",2060,120,120,100,79.7547721231294,4777.10723152012,618
"2060/2061",2061,121,121,100,81.1166749089316,5944.82367346063,472
"2061/2062",2062,120,120,100,74.9931523825253,1785.64545177249,901
"2062/2063",2063,120,120,100,81.1626378657093,2124.4289340307,664
"2063/2064",2064,120,120,100,79.6444567511353,3232.07978042029,831
"2064/2065",2065,121,121,100,84.125746049649,3498.75728203868,489
"2065/2066",2066,120,120,100,89.287695157238,2737.52119857771,256
"2066/2067",2067,120,120,100,75.6004037690291,2294.98245346174,936
"2067/2068",2068,120,120,100,82.6950177712588,6298.69246850163,472
"2068/2069",2069,121,121,100,82.0555245157339,3393.35496603698,657
"2069/2070",2070,120,120,100,80.8791572899991,3815.2041751463,588
"2070/2071",2071,120,120,100,82.3046763171005,3954.36932766717,528
"2071/2072",2072,120,120,100,74.7135282417676,2897.1247500414,835
"2072/2073",2073,121,121,100,84.6798466953551,6395.42679020204,365
"2073/2074",2074,120,120,100,72.4547456425116,4877.17430561315,772
"2074/2075",2075,120,120,100,80.8486620155472,5217.35023119673,517
"2075/2076",2076,120,120,100,87.3556273247923,5140.5413420517,300
"2076/2077",2077,121,121,100,81.8498420888736,1639.82574556675,751
"2077/2078",2078,120,120,100,79.5598371349261,1894.47152053099,789
"2078/2079",2079,120,120,100,81.7001934140953,2960.23794879578,535
"2079/2080",2080,120,120,100,82.2555899227482,4441.73229087424,404
"2080/2081",2081,121,121,100,77.4773808640439,3790.44713671878,856
"2081/2082",2082,120,120,100,82.2981807555861,4135.24738130532,462
"2082/2083",2083,120,120,100,81.537842313217,4133.3037796123,503
"2083/2084",2084,120,120,100,80.5930348962356,2838.91798748076,569
"2084/2085",2085,121,121,100,79.3969177959225,2753.91586614493,638
"2085/2086",2086,120,120,100,81.641991968294,3250.83752266504,689
"2086/2087",2087,120,120,100,80.8981784811112,2710.66913662478,746
"2087/2088",2088,120,120,100,77.4308316720071,3312.15924716741,831
"2088/2089",2089,121,121,100,83.8149756661605,2949.29163786862,638
"2089/2090",2090,120,120,100,81.8614782855875,2131.72670678515,684
"2090/2091",2091,120,120,100,76.4687032716174,2857.64344826434,859
"2091/2092",2092,120,120,100,82.6690061112276,1780.93491333909,679
"2092/2093",2093,121,121,100,81.5778922477384,4366.03915305436,592
"2093/2094",2094,120,120,100,73.5995490998903,3874.60389267094,972
"2094/2095",2095,120,120,100,86.065512701045,2434.69987943023,501
"2095/2096",2096,120,120,100,83.3864636049238,4801.30087949708,298
"2096/2097",2097,121,121,100,71.5566779535729,6658.77082345821,650
"2097/2098",2098,120,120,100,76.1472922803223,3436.52645279001,852
"2098/2099",2099,120,120,100,84.12211971529,3222.60109977704,525
"2099/2100",2100,120,120,100,83.1332017804507,3637.34848612268,373
"2100/2101",2101,120,120,100,81.6781418742921,3741.72503157612,621
