"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,80.6434811242023,6339.4796462482,423
"2002/2003",2003,120,120,100,81.7873079324531,2766.95806240474,717
"2003/2004",2004,120,120,100,87.7286627229977,4481.61899487575,310
"2004/2005",2005,121,121,100,83.5780134978983,7821.0629415476,257
"2005/2006",2006,120,120,100,82.7060002518419,5026.26236330398,457
"2006/2007",2007,120,120,100,82.0774968333282,5310.33792120783,433
"2007/2008",2008,120,120,100,81.6468698471001,2380.33388103428,579
"2008/2009",2009,121,121,100,81.8869008118681,7430.78592573735,328
"2009/2010",2010,120,120,100,87.6971596787203,4402.83865011565,267
"2010/2011",2011,120,120,100,83.6010580012271,4328.67363357078,354
"2011/2012",2012,120,120,100,74.3150574375275,4446.97345670988,773
"2012/2013",2013,121,121,100,86.9653771337794,4428.47297924699,350
"2013/2014",2014,120,120,100,74.1491284334993,3887.93010465812,933
"2014/2015",2015,120,120,100,81.5315873074223,5581.95505816711,440
"2015/2016",2016,120,120,100,81.921686516212,5018.86092840717,541
"2016/2017",2017,121,121,100,79.5945805347865,6440.13279780583,428
"2017/2018",2018,120,120,100,77.1744029944571,4146.79127370985,628
"2018/2019",2019,120,120,100,82.7537274431434,4164.5205719443,581
"2019/2020",2020,120,120,100,81.4459210753867,7159.94669358851,334
"2020/2021",2021,121,121,100,84.1748149683499,3150.9902352402,540
"2021/2022",2022,120,120,100,73.4488566511845,6499.55561012216,624
"2022/2023",2023,120,120,100,85.6878622930253,4147.51921920828,287
"2023/2024",2024,120,120,100,84.3230003974968,7709.33870786242,133
"2024/2025",2025,121,121,100,85.6698923471731,4124.03231229377,379
"2025/2026",2026,120,120,100,72.4338955106673,3141.67885432974,1081
"2026/2027",2027,120,120,100,87.036570340274,5903.01889663865,264
"2027/2028",2028,120,120,100,80.5346531135447,2031.18153568055,731
"2028/2029",2029,121,121,100,80.5299841391666,5893.47267637425,463
"2029/2030",2030,120,120,100,80.5866924165248,4971.13214633032,599
"2030/2031",2031,120,120,100,86.0038146618931,4421.61311645061,397
"2031/2032",2032,120,120,100,85.8891845757962,6120.92987921787,323
"2032/2033",2033,121,121,100,81.9113369887973,2916.39796846686,756
"2033/2034",2034,120,120,100,76.0399655010306,4915.69238557294,624
"2034/2035",2035,120,120,100,73.4324069988161,5520.40522974357,651
"2035/2036",2036,120,120,100,82.4010064597478,4842.15676580602,535
"2036/2037",2037,121,121,100,81.4659520554724,3552.97038154537,638
"2037/2038",2038,120,120,100,81.8813203948594,5226.41876922688,449
"2038/2039",2039,120,120,100,87.6208896353692,6678.54915916966,183
"2039/2040",2040,120,120,100,82.7277707165958,5425.95832119463,233
"2040/2041",2041,121,121,100,89.4781225258694,4790.66910318704,268
"2041/2042",2042,120,120,100,82.0350632496866,6836.63161949394,341
"2042/2043",2043,120,120,100,82.837928776532,2726.36368157621,672
"2043/2044",2044,120,120,100,87.6203344095275,5004.29400119418,267
"2044/2045",2045,121,121,100,81.4886953420046,2609.25114922691,698
"2045/2046",2046,120,120,100,78.3187461790531,5734.48858612264,567
"2046/2047",2047,120,120,100,77.0151777955934,4222.59290176723,641
"2047/2048",2048,120,120,100,85.7079841562081,3277.43805721356,441
"2048/2049",2049,121,121,100,81.239339294666,3152.91286014207,620
"2049/2050",2050,120,120,100,82.9042074852641,1818.25741336914,590
"2050/2051",2051,120,120,100,75.1499633576723,5590.72213944839,465
"2051/2052",2052,120,120,100,80.754631261656,6707.98358119233,351
"2052/2053",2053,121,121,100,82.8157733949474,6040.70092748944,351
"2053/2054",2054,120,120,100,82.7054882137782,6182.66608151281,286
"2054/2055",2055,120,120,100,84.4529024398262,4156.51102478057,491
"2055/2056",2056,120,120,100,75.6994423787728,6679.14218999911,405
"2056/2057",2057,121,121,100,76.8009181700236,4158.82945109718,695
"2057/2058",2058,120,120,100,87.0012195890995,4872.70708663622,225
"2058/2059",2059,120,120,100,80.2574683035609,2987.99941415247,617
"2059/2060",2060,120,120,100,77.9967114942192,6503.21001720941,545
"2060/2061",2061,121,121,100,79.7283181110788,7732.34763687616,374
"2061/2062",2062,120,120,100,77.7467643639293,2463.95672044344,702
"2062/2063",2063,120,120,100,85.7611589498702,3217.78324778751,505
"2063/2064",2064,120,120,100,80.7344815537272,4359.80892708339,663
"2064/2065",2065,121,121,100,85.9986137247142,4584.63461116515,288
"2065/2066",2066,120,120,100,91.8790196726823,4094.15236874856,132
"2066/2067",2067,120,120,100,78.228137973807,3138.72281617392,808
"2067/2068",2068,120,120,100,81.8367130854967,8068.57229165453,369
"2068/2069",2069,121,121,100,83.4168213318862,4669.00604549423,545
"2069/2070",2070,120,120,100,81.6391902842588,5207.44586798176,524
"2070/2071",2071,120,120,100,83.246431837315,5456.89109307621,396
"2071/2072",2072,120,120,100,78.0887619263995,4172.01353311352,704
"2072/2073",2073,121,121,100,83.4661876525915,8310.94304469973,294
"2073/2074",2074,120,120,100,73.2641858169736,6333.38469029497,678
"2074/2075",2075,120,120,100,77.9406071029862,7044.45869098976,418
"2075/2076",2076,120,120,100,84.8323179851286,6819.35334841628,170
"2076/2077",2077,121,121,100,84.7506937583439,2547.74217111152,573
"2077/2078",2078,120,120,100,83.8332098294304,2749.40625954047,614
"2078/2079",2079,120,120,100,83.8482971637004,4121.91897761077,453
"2079/2080",2080,120,120,100,84.0243155930511,5791.68353540543,254
"2080/2081",2081,121,121,100,78.8117798682688,5306.82699522283,729
"2081/2082",2082,120,120,100,79.0872697806226,5655.80662710033,331
"2082/2083",2083,120,120,100,81.9654321953403,5758.7066859277,432
"2083/2084",2084,120,120,100,84.6323457510389,3880.89562325273,440
"2084/2085",2085,121,121,100,79.261989757335,4030.1425597677,518
"2085/2086",2086,120,120,100,80.547651173898,4653.9036163995,563
"2086/2087",2087,120,120,100,82.8231020575349,3880.31846000999,581
"2087/2088",2088,120,120,100,78.1328794816145,4567.74099934753,642
"2088/2089",2089,121,121,100,86.2445077022221,4322.08700835239,504
"2089/2090",2090,120,120,100,82.6348068260759,2968.11300616711,517
"2090/2091",2091,120,120,100,79.0463024598139,4061.07667072676,681
"2091/2092",2092,120,120,100,84.8787610945674,2642.70536974352,498
"2092/2093",2093,121,121,100,80.6718948609196,5955.08204938564,519
"2093/2094",2094,120,120,100,74.4198233372263,5461.90684501175,823
"2094/2095",2095,120,120,100,87.4900720970581,3498.7196181519,312
"2095/2096",2096,120,120,100,81.5993870411512,6562.06184898503,232
"2096/2097",2097,121,121,100,71.599774727043,8484.00323239528,521
"2097/2098",2098,120,120,100,77.8930144613751,4807.83331119269,735
"2098/2099",2099,120,120,100,85.1884143589068,4633.87430753838,396
"2099/2100",2100,120,120,100,85.4812049960619,5025.24283991009,271
"2100/2101",2101,120,120,100,83.5993561557698,5063.78133652825,495
