"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,79.8218320872917,3432.33748415432,780
"2002/2003",2003,120,120,100,75.1024502650621,1261.5146225239,1124
"2003/2004",2004,120,120,100,83.4009432289268,1925.80862237106,649
"2004/2005",2005,121,121,100,84.5778684310342,4253.79998187427,538
"2005/2006",2006,120,120,100,79.981937567878,2557.38657625101,714
"2006/2007",2007,120,120,100,77.6523363410603,2682.8967840281,778
"2007/2008",2008,120,120,100,72.184098717412,973.043567503977,1047
"2008/2009",2009,121,121,100,80.3938119221004,4215.41610636096,601
"2009/2010",2010,120,120,100,83.4264183408509,2005.31681741029,557
"2010/2011",2011,120,120,100,78.1832482626114,1854.28639838507,633
"2011/2012",2012,120,120,100,70.9365707285945,2420.70793123194,1142
"2012/2013",2013,121,121,100,81.661461960492,2161.99745303008,732
"2013/2014",2014,120,120,100,68.8047917150807,1985.36886014382,1289
"2014/2015",2015,120,120,100,79.5615474913952,2978.23902007774,711
"2015/2016",2016,120,120,100,78.9454863069329,2643.32263746078,894
"2016/2017",2017,121,121,100,79.8134257740917,3671.67501068977,784
"2017/2018",2018,120,120,100,71.0518781873288,2130.65187170194,1068
"2018/2019",2019,120,120,100,77.5874880915876,1998.65012574848,927
"2019/2020",2020,120,120,100,81.8813512294428,3872.12910906901,584
"2020/2021",2021,121,121,100,78.1457779051952,1472.60534386779,1082
"2021/2022",2022,120,120,100,70.0027797593607,4107.21250169422,971
"2022/2023",2023,120,120,100,79.7189705536766,1978.81454427098,723
"2023/2024",2024,120,120,100,84.7834748913542,4216.95685503958,426
"2024/2025",2025,121,121,100,82.8965485859189,1827.02581308689,704
"2025/2026",2026,120,120,100,64.7018983420298,1587.01822031871,1495
"2026/2027",2027,120,120,100,83.6388113752973,3046.46202516276,571
"2027/2028",2028,120,120,100,71.8960962267461,798.395784907741,1202
"2028/2029",2029,121,121,100,78.1797473688052,3377.02845904254,814
"2029/2030",2030,120,120,100,77.887415425243,2700.87701270357,949
"2030/2031",2031,120,120,100,83.2321589589978,2261.19587471802,747
"2031/2032",2032,120,120,100,84.2823914175979,3077.94996819738,587
"2032/2033",2033,121,121,100,73.4878700790523,1340.68154113623,1155
"2033/2034",2034,120,120,100,71.3364905504286,2758.06909700623,1022
"2034/2035",2035,120,120,100,72.8860849817547,3310.88411037531,1025
"2035/2036",2036,120,120,100,80.3894236432889,2323.25195046375,834
"2036/2037",2037,121,121,100,74.5449622825899,1776.31058070948,1125
"2037/2038",2038,120,120,100,79.6355795880027,2700.45886732684,784
"2038/2039",2039,120,120,100,85.3963344706617,3269.91883777967,420
"2039/2040",2040,120,120,100,80.4771292073674,2957.13705260027,580
"2040/2041",2041,121,121,100,81.9079352952394,2354.2003604318,604
"2041/2042",2042,120,120,100,83.1989140599917,3456.93371067103,555
"2042/2043",2043,120,120,100,74.8393968077426,1351.84864008613,1183
"2043/2044",2044,120,120,100,81.7728240741708,2423.53759648604,585
"2044/2045",2045,121,121,100,74.0417560461765,1181.69315358577,1130
"2045/2046",2046,120,120,100,75.3503509132906,3346.1289835209,913
"2046/2047",2047,120,120,100,74.9535338848682,2139.88469963148,863
"2047/2048",2048,120,120,100,79.3460159416773,1423.36022731382,915
"2048/2049",2049,121,121,100,78.0533592381971,1575.86747746496,1032
"2049/2050",2050,120,120,100,75.4056718863512,698.818116027396,1151
"2050/2051",2051,120,120,100,76.6481142534558,3124.92731099017,932
"2051/2052",2052,120,120,100,78.4533828791027,3629.50890072808,615
"2052/2053",2053,121,121,100,80.9280066722586,3295.49302839162,669
"2053/2054",2054,120,120,100,80.3467765241194,3298.5752090537,636
"2054/2055",2055,120,120,100,79.4353206580963,1991.64990489837,794
"2055/2056",2056,120,120,100,73.3001283731801,4302.78428911231,857
