"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,79.4201794420669,7437.52167799394,383
"2002/2003",2003,120,120,100,83.8904636107536,3419.77393512425,654
"2003/2004",2004,120,120,100,90.7311893199028,5064.42286013844,208
"2004/2005",2005,121,121,100,82.6316267570438,8644.62123871088,120
"2005/2006",2006,120,120,100,79.8912606996334,5917.9667476922,415
"2006/2007",2007,120,120,100,82.1650942905754,5962.07765812095,332
"2007/2008",2008,120,120,100,84.4525558563428,2816.18664702668,517
"2008/2009",2009,121,121,100,81.1013359392637,8410.31345565361,266
"2009/2010",2010,120,120,100,88.2359875569894,5060.93445577938,198
"2010/2011",2011,120,120,100,86.1441402427783,4948.0687897281,280
"2011/2012",2012,120,120,100,75.026154527482,5229.82482026948,682
"2012/2013",2013,121,121,100,88.7343786655831,5014.0932521139,262
"2013/2014",2014,120,120,100,74.3250854261719,4466.55925615609,856
"2014/2015",2015,120,120,100,81.1032629332046,6328.61411251139,383
"2015/2016",2016,120,120,100,80.7950910692141,5766.00564604765,502
"2016/2017",2017,121,121,100,80.2439403857284,7313.32115200651,340
"2017/2018",2018,120,120,100,78.718275506581,4724.83763068193,521
"2018/2019",2019,120,120,100,84.8224539273324,4785.82288666232,470
"2019/2020",2020,120,120,100,82.1752724032085,8065.28905731044,254
"2020/2021",2021,121,121,100,83.896300105906,3668.94637519564,413
"2021/2022",2022,120,120,100,73.904627794836,7168.93678169069,565
"2022/2023",2023,120,120,100,86.8349527197406,4936.59572737152,186
"2023/2024",2024,120,120,100,82.9992468996711,8660.36200001719,41
"2024/2025",2025,121,121,100,86.668657512656,4816.7690941717,317
"2025/2026",2026,120,120,100,73.0119421810241,3434.2008657183,991
"2026/2027",2027,120,120,100,86.5619186747158,6782.34461214463,181
"2027/2028",2028,120,120,100,82.5220161982143,2373.53598071565,587
"2028/2029",2029,121,121,100,80.8678505793005,6615.87908014422,368
"2029/2030",2030,120,120,100,80.709613655622,5841.41528336541,486
"2030/2031",2031,120,120,100,84.3335072559062,5195.68765759747,313
"2031/2032",2032,120,120,100,86.5971181782297,6903.78021640936,217
"2032/2033",2033,121,121,100,81.668406208667,3436.83320789365,663
"2033/2034",2034,120,120,100,77.6835272297394,5435.86158671044,499
"2034/2035",2035,120,120,100,75.5116932806441,6306.17411259934,519
"2035/2036",2036,120,120,100,83.8548505211793,5523.12241405249,415
"2036/2037",2037,121,121,100,83.318722602352,3962.67493759142,505
"2037/2038",2038,120,120,100,79.2095243916101,5989.52743756166,339
"2038/2039",2039,120,120,100,86.7697980514758,7835.65170888416,136
"2039/2040",2040,120,120,100,85.2384569419373,6204.46143830381,158
"2040/2041",2041,121,121,100,89.0079883050821,5751.73842802225,217
"2041/2042",2042,120,120,100,80.2861470360031,7845.32993353298,286
"2042/2043",2043,120,120,100,84.2791139746823,3351.57311284775,577
"2043/2044",2044,120,120,100,86.7859065579705,5756.99325661501,222
"2044/2045",2045,121,121,100,81.8974026523701,3113.53643247252,662
"2045/2046",2046,120,120,100,78.5590488579919,6370.128537321,440
"2046/2047",2047,120,120,100,79.2487567874277,4959.48571011703,612
"2047/2048",2048,120,120,100,86.7796245911813,3892.18617868703,378
"2048/2049",2049,121,121,100,82.6919635683525,3744.11145336973,468
"2049/2050",2050,120,120,100,85.8599864553598,2093.42767240666,441
"2050/2051",2051,120,120,100,78.1554579297026,6156.3974897326,345
"2051/2052",2052,120,120,100,81.7719818584364,7595.54011812666,291
"2052/2053",2053,121,121,100,82.2939320283385,7036.17082149349,290
"2053/2054",2054,120,120,100,83.8561538173271,7175.59013160458,210
"2054/2055",2055,120,120,100,83.5497210883532,4881.68223629892,403
"2055/2056",2056,120,120,100,78.3833616415086,7321.46897531254,307
"2056/2057",2057,121,121,100,78.7590598562383,4688.77132841013,555
"2057/2058",2058,120,120,100,86.9669492055764,5724.96158306208,170
"2058/2059",2059,120,120,100,82.115901882582,3480.60845353454,488
"2059/2060",2060,120,120,100,77.6160278341958,7331.21668399312,503
"2060/2061",2061,121,121,100,80.016461921221,8524.33620178793,225
"2061/2062",2062,120,120,100,80.7697330974033,2914.24567918852,570
"2062/2063",2063,120,120,100,85.9830557818423,3980.90101646818,415
"2063/2064",2064,120,120,100,79.305989064429,5104.33106123284,534
"2064/2065",2065,121,121,100,88.2372400206041,5228.08293281496,209
"2065/2066",2066,120,120,100,92.7218924537137,4879.89195255935,56
"2066/2067",2067,120,120,100,80.807085316972,3453.17245714925,705
"2067/2068",2068,120,120,100,81.0851799932134,8896.95986028016,259
"2068/2069",2069,121,121,100,83.6920507289069,5250.62452503759,428
"2069/2070",2070,120,120,100,82.9226772037309,5946.79888601322,472
"2070/2071",2071,120,120,100,81.5799524702543,6272.59512697253,286
"2071/2072",2072,120,120,100,76.9568581657186,5058.45097750239,647
"2072/2073",2073,121,121,100,81.6706211337096,9311.81803059112,265
"2073/2074",2074,120,120,100,73.5891162763273,6941.81752138678,595
"2074/2075",2075,120,120,100,79.2817731125815,8051.1188505087,323
"2075/2076",2076,120,120,100,86.0723770541153,7709.62677508872,84
"2076/2077",2077,121,121,100,86.6681062547796,3165.71530732885,493
"2077/2078",2078,120,120,100,84.3466063734304,3213.43040356133,522
"2078/2079",2079,120,120,100,83.2334723069762,4794.12302048877,370
"2079/2080",2080,120,120,100,84.9280069810757,6746.07971980516,183
"2080/2081",2081,121,121,100,80.3286868159794,6131.38984700572,636
"2081/2082",2082,120,120,100,81.7267641136787,6432.17282298394,239
"2082/2083",2083,120,120,100,82.5026163417151,6570.10752174724,385
"2083/2084",2084,120,120,100,84.5308963204079,4425.9525508387,322
"2084/2085",2085,121,121,100,80.5806696556265,4553.76908603776,453
"2085/2086",2086,120,120,100,82.242571286235,5396.35692187678,458
"2086/2087",2087,120,120,100,83.0423187847355,4452.59251238871,439
"2087/2088",2088,120,120,100,78.3805357917354,5233.50682496931,560
"2088/2089",2089,121,121,100,84.590528498291,5083.16817879025,446
"2089/2090",2090,120,120,100,85.559155794479,3321.29715654347,414
"2090/2091",2091,120,120,100,80.9618705069479,4730.3739628531,561
"2091/2092",2092,120,120,100,85.9960622510862,3153.97095904592,369
"2092/2093",2093,121,121,100,81.3100222932953,6712.49778255448,425
"2093/2094",2094,120,120,100,74.3060673609325,6362.32453313936,690
"2094/2095",2095,120,120,100,89.0442307425474,4129.29487685114,185
"2095/2096",2096,120,120,100,81.8893872037261,7460.9194235485,157
"2096/2097",2097,121,121,100,71.0706108155227,9358.45863354392,407
"2097/2098",2098,120,120,100,76.3810272129595,5515.1646544328,609
"2098/2099",2099,120,120,100,84.0963667859269,5449.68936884496,322
"2099/2100",2100,120,120,100,87.8475651178978,5668.63401632011,185
"2100/2101",2101,120,120,100,84.9164664005712,5833.74266716931,399
