"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,82.3638018406016,5992.94146327225,420
"2002/2003",2003,120,120,100,80.0688629873089,2653.15665693571,759
"2003/2004",2004,120,120,100,88.0585377733877,4004.96782196744,260
"2004/2005",2005,121,121,100,84.7621174034545,7165.50835157253,180
"2005/2006",2006,120,120,100,83.3119081726273,4586.02605791576,437
"2006/2007",2007,120,120,100,83.1391633560052,4744.28774342197,426
"2007/2008",2008,120,120,100,81.30805857931,2143.13284207298,611
"2008/2009",2009,121,121,100,82.5798065519289,6953.3405799059,299
"2009/2010",2010,120,120,100,88.7655458936326,3921.77536713087,244
"2010/2011",2011,120,120,100,85.0557692817117,3812.45761856542,309
"2011/2012",2012,120,120,100,75.2539504428603,4235.56146344007,762
"2012/2013",2013,121,121,100,87.837272828127,3844.36499669775,297
"2013/2014",2014,120,120,100,74.4526678053051,3427.39697678632,944
"2014/2015",2015,120,120,100,81.2344726113552,5101.62780641729,427
"2015/2016",2016,120,120,100,82.1141169450184,4495.18608754757,555
"2016/2017",2017,121,121,100,82.1665122925046,6053.83549435553,408
"2017/2018",2018,120,120,100,77.3112104320621,3783.95784919639,604
"2018/2019",2019,120,120,100,84.5059409844162,3703.01352141355,531
"2019/2020",2020,120,120,100,82.9908577430733,6533.71468914836,296
"2020/2021",2021,121,121,100,83.8636880662257,2692.54611183796,502
"2021/2022",2022,120,120,100,75.5643096582062,5919.81466234196,593
"2022/2023",2023,120,120,100,86.4814377630923,3780.8365172192,247
"2023/2024",2024,120,120,100,82.9757750204526,7239.00941992528,123
"2024/2025",2025,121,121,100,85.8990023757706,3873.17703103833,353
"2025/2026",2026,120,120,100,71.9127394278953,2816.94050631975,1092
"2026/2027",2027,120,120,100,88.642361462154,5374.45651130658,231
"2027/2028",2028,120,120,100,81.3635698617272,1668.50520160096,673
"2028/2029",2029,121,121,100,82.5977307714038,5324.26738241967,432
"2029/2030",2030,120,120,100,80.7195271770715,4711.7386382604,583
"2030/2031",2031,120,120,100,84.6333819915053,4143.41653305385,392
"2031/2032",2032,120,120,100,88.9479170106388,5431.01909765601,259
"2032/2033",2033,121,121,100,80.9640629911601,2607.23513606843,783
"2033/2034",2034,120,120,100,77.0854667643234,4388.88599605113,576
"2034/2035",2035,120,120,100,75.7465822212889,5133.12147149071,591
"2035/2036",2036,120,120,100,84.8131271818038,4342.36936841859,496
"2036/2037",2037,121,121,100,83.6642106743411,2967.06633631419,615
"2037/2038",2038,120,120,100,82.3181267360733,4734.74445129232,406
"2038/2039",2039,120,120,100,89.5933955584933,6357.18010868039,178
"2039/2040",2040,120,120,100,85.810227189746,4952.35657836497,198
"2040/2041",2041,121,121,100,88.9446701419893,4618.54633606458,267
"2041/2042",2042,120,120,100,85.4810141734861,6224.43711111648,321
"2042/2043",2043,120,120,100,81.3859770785239,2545.43121541664,685
"2043/2044",2044,120,120,100,88.9840894875324,4418.17321318993,238
"2044/2045",2045,121,121,100,81.6433855948362,2294.99344995478,713
"2045/2046",2046,120,120,100,78.7900169624081,5200.48335314216,543
"2046/2047",2047,120,120,100,81.0946033168211,3774.03728634352,638
"2047/2048",2048,120,120,100,86.1619993513596,2881.37419015775,459
"2048/2049",2049,121,121,100,82.6685164462897,2726.65387123218,562
"2049/2050",2050,120,120,100,83.6005955410692,1486.47217195434,543
"2050/2051",2051,120,120,100,80.2310808012726,5085.38518777816,450
"2051/2052",2052,120,120,100,82.7582636827447,6263.44227136299,326
"2052/2053",2053,121,121,100,83.8484526153898,5687.82452549459,323
"2053/2054",2054,120,120,100,84.2400568786688,5670.13277332811,273
"2054/2055",2055,120,120,100,84.3826061743994,3687.35283368733,462
"2055/2056",2056,120,120,100,77.7059072355787,6167.82621685695,390
"2056/2057",2057,121,121,100,78.2031956789806,3794.39867438097,652
"2057/2058",2058,120,120,100,88.6662543620332,4433.61572658271,206
"2058/2059",2059,120,120,100,80.737498618224,2634.92976924544,583
"2059/2060",2060,120,120,100,79.5582399975337,5786.9453550945,521
"2060/2061",2061,121,121,100,81.8605940494454,6949.27966092294,276
"2061/2062",2062,120,120,100,76.7366541410993,2192.93512891326,679
"2062/2063",2063,120,120,100,84.8574071032963,3153.12789488584,521
"2063/2064",2064,120,120,100,80.146983278406,3966.40093443217,645
"2064/2065",2065,121,121,100,88.6393631275096,4161.65476839244,288
"2065/2066",2066,120,120,100,92.658107567906,3723.95267332438,94
"2066/2067",2067,120,120,100,78.9370034248441,2543.33323476277,771
"2067/2068",2068,120,120,100,84.2480049449314,7285.51889899373,295
"2068/2069",2069,121,121,100,84.3076741363329,4129.94022932462,508
"2069/2070",2070,120,120,100,83.4163326009475,4599.9344584588,514
"2070/2071",2071,120,120,100,82.0824860188422,5221.82455759309,372
"2071/2072",2072,120,120,100,77.3998475874741,3999.03926270176,691
"2072/2073",2073,121,121,100,84.2765805963791,7623.7853723336,276
"2073/2074",2074,120,120,100,74.3311317810585,5761.49103158992,647
"2074/2075",2075,120,120,100,80.9693060376321,6762.07100639492,414
"2075/2076",2076,120,120,100,88.8065070315006,6108.98355432041,114
"2076/2077",2077,121,121,100,84.7188542901622,2419.04262406658,594
"2077/2078",2078,120,120,100,82.7198807271652,2334.50047404878,601
"2078/2079",2079,120,120,100,84.087355545229,3741.44937428087,411
"2079/2080",2080,120,120,100,84.9350860891882,5511.37274736445,229
"2080/2081",2081,121,121,100,80.284550083903,4693.20331894048,685
"2081/2082",2082,120,120,100,84.2189059020529,5087.66110531799,285
"2082/2083",2083,120,120,100,84.3524825149125,5251.83925569244,423
"2083/2084",2084,120,120,100,83.1804741115375,3555.79164241161,402
"2084/2085",2085,121,121,100,82.3954511056472,3533.15052837692,512
"2085/2086",2086,120,120,100,83.4409544327518,4150.99482585397,538
"2086/2087",2087,120,120,100,82.9477647173408,3452.46681465302,529
"2087/2088",2088,120,120,100,76.7805178827039,4108.69451906439,629
"2088/2089",2089,121,121,100,85.8969404845957,3896.20662186854,504
"2089/2090",2090,120,120,100,84.6423617966229,2511.76726784278,466
"2090/2091",2091,120,120,100,78.8014807421896,3688.21733509377,666
"2091/2092",2092,120,120,100,84.665537513778,2333.33463267703,458
"2092/2093",2093,121,121,100,83.8251935166627,5441.58761444129,488
"2093/2094",2094,120,120,100,74.6982379131532,5032.91590951663,775
"2094/2095",2095,120,120,100,89.0651859497411,3071.79057403654,248
"2095/2096",2096,120,120,100,83.3137992926895,5967.34951417893,175
"2096/2097",2097,121,121,100,71.8811913230147,8130.03414272796,500
"2097/2098",2098,120,120,100,79.5091067566191,4311.57411432266,672
"2098/2099",2099,120,120,100,85.7472656419759,4294.20818869676,358
"2099/2100",2100,120,120,100,87.3313435945365,4462.78601260297,232
"2100/2101",2101,120,120,100,86.2560852958668,4514.14741474483,435
