"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,68.0290198436852,1626.67364731981,1162
"2002/2003",2003,120,120,100,61.9943282473182,380.729881810927,1567
"2003/2004",2004,120,120,100,73.5617033315987,576.627079303056,1228
"2004/2005",2005,121,121,100,77.4070083644818,1710.69124495852,1038
"2005/2006",2006,120,120,100,69.6077713347304,1054.02415084303,1216
"2006/2007",2007,120,120,100,69.2706364529184,1090.67433840543,1375
"2007/2008",2008,120,120,100,55.2697167682265,313.625480020128,1747
"2008/2009",2009,121,121,100,73.5076958617135,1967.97958824714,983
"2009/2010",2010,120,120,100,68.8433365340497,684.839512568084,1204
"2010/2011",2011,120,120,100,69.0752953315186,564.548019686015,1183
"2011/2012",2012,120,120,100,63.7569623072577,1295.05130578147,1515
"2012/2013",2013,121,121,100,69.4114585992725,840.817668810603,1329
"2013/2014",2014,120,120,100,59.7396068056396,953.596846081433,1715
"2014/2015",2015,120,120,100,69.1806700173806,1573.08769548649,1275
"2015/2016",2016,120,120,100,64.3375807584225,1226.48872968694,1441
"2016/2017",2017,121,121,100,68.5347274948067,1898.70029553829,1289
"2017/2018",2018,120,120,100,59.1980176152711,1138.64406476065,1628
"2018/2019",2019,120,120,100,62.2149178971331,786.122250279761,1532
"2019/2020",2020,120,120,100,73.6880300705188,1676.13340858242,1030
"2020/2021",2021,121,121,100,63.6974125581328,525.688792950823,1610
"2021/2022",2022,120,120,100,57.0406845535294,2710.47373062256,1555
"2022/2023",2023,120,120,100,61.8990262234561,880.29846282769,1409
"2023/2024",2024,120,120,100,74.5908558112178,1890.64795849193,1022
"2024/2025",2025,121,121,100,71.6806012212137,467.308509259718,1293
"2025/2026",2026,120,120,100,50.1096995065977,587.061153665185,2033
"2026/2027",2027,120,120,100,74.0175374106016,1168.96540545928,1113
"2027/2028",2028,120,120,100,52.1420871990372,209.353073931299,1758
"2028/2029",2029,121,121,100,67.3871356387644,1934.24638422765,1388
"2029/2030",2030,120,120,100,68.0709888723659,1055.31162581127,1453
"2030/2031",2031,120,120,100,70.8833452085155,830.705165825319,1302
"2031/2032",2032,120,120,100,74.7251950124937,1238.16278702626,1069
"2032/2033",2033,121,121,100,59.6228251516686,443.674634709954,1736
"2033/2034",2034,120,120,100,59.6724350512504,1622.4068512721,1647
"2034/2035",2035,120,120,100,57.9316997033948,1840.38412356237,1460
"2035/2036",2036,120,120,100,67.6519816828086,914.765508596785,1319
"2036/2037",2037,121,121,100,59.9507934901831,748.521175843198,1664
"2037/2038",2038,120,120,100,64.3863609786222,1326.79642725224,1399
"2038/2039",2039,120,120,100,75.5852962283925,1127.92996586766,858
"2039/2040",2040,120,120,100,68.706636133853,1572.90482834517,1346
"2040/2041",2041,121,121,100,69.7295586962773,1034.67539019696,1240
"2041/2042",2042,120,120,100,74.0694204322126,1487.87569738808,984
"2042/2043",2043,120,120,100,61.486621811674,525.428634831915,1712
"2043/2044",2044,120,120,100,68.8544968885881,1055.80026381556,1194
"2044/2045",2045,121,121,100,55.7479989241747,561.895256776828,1668
"2045/2046",2046,120,120,100,61.1579671919608,2014.34341938933,1447
"2046/2047",2047,120,120,100,67.1741489308597,991.18390324153,1398
"2047/2048",2048,120,120,100,61.090123373664,618.471963442862,1503
"2048/2049",2049,121,121,100,62.875117898112,598.013326260261,1482
"2049/2050",2050,120,120,100,58.5638323827861,230.624448569492,1864
"2050/2051",2051,120,120,100,61.5523676294961,1655.61999976635,1575
