"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,47.8209685874696,172.020233599823,81.8283284422846,58.3662532144415,93.7945223511456,1958.30103313402,1741.5,1651.2071179297,1824.5,1735.5,1545,1730,82.8839110685541
"2002/2003",2003,120,120,100,48.0351643841971,152.299631599974,95.6356330581359,63.1761521091832,99.1975601378727,1748.66314559436,1480.5,1269.58898119443,1630,1402,1549,1398,76.8489156458431
"2003/2004",2004,120,120,100,60.0290523113086,207.167021144151,78.4227120589185,74.4984976134843,99.3471483446971,2174.0025166621,1903.5,1718.57723546714,2026,1908,1831,1905.5,85.8282346911691
"2004/2005",2005,121,121,100,48.1552269690715,167.364714892999,72.6138960181091,61.983011278379,94.9527110327363,1978.49540621922,1794,1637.14056026812,1857.5,1757.5,1526,1736.5,85.422151190525
"2005/2006",2006,120,120,100,50.0088643571601,165.668747175466,83.8148157899957,62.0661503862841,95.2083721103569,1966.42927545155,1769,1604.80545667797,1838.5,1723,1614,1718,80.8057840441725
"2006/2007",2007,120,120,100,54.385271796182,219.131557116932,78.7065856698935,65.5673509051955,97.4672934002677,2011.63707377317,1757.5,1607.44767445656,1876,1747.5,1613,1745,81.0377694591867
"2007/2008",2008,120,120,100,54.4165794760212,174.586818377865,96.2475420640126,71.2067346417249,101.054041746261,1901.38134757445,1608.5,1306.27543411318,1803,1503.5,1750,1503.5,75.2555726628755
"2008/2009",2009,121,121,100,47.3242580977363,180.569838980094,75.6175601522839,57.1771530165609,93.5387733601016,1906.84811780971,1731,1580.12094639261,1786,1696,1475,1677.5,80.1783265806723
"2009/2010",2010,120,120,100,60.7283374552987,192.650647101449,80.4034042887646,72.4235161434864,98.5486919848791,2137.19309093224,1884,1660.66273838176,2004,1801.5,1817,1795,83.3418079176502
"2010/2011",2011,120,120,100,60.2060577997765,190.916856237529,82.5378408025329,72.5644985253044,98.2462686595641,2138.79837979021,1904.5,1685.88708911986,2008,1864.5,1811,1861.5,80.4502978245266
"2011/2012",2012,120,120,100,38.8439369940306,136.051456289556,96.1744681990867,52.3087799236862,95.5776554271677,1597.29402778668,1338,1219.74662982427,1469,1296,1279,1292,73.1838513628813
"2012/2013",2013,121,121,100,61.9565830782284,211.900278235752,82.376337088367,76.3865427931541,99.9351276392728,2147.43419428518,1865,1634.87468000017,2003.5,1820.5,1857,1812,83.8863724911673
