"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,39.6990260631081,146.03839977894,85.1623878618497,51.4358642059198,92.7827711775013,1758.4931918498,1582.5,1497.40605723179,1642,1563,1305,1550.5,79.4903046917863
"2002/2003",2003,120,120,100,45.2382459145552,146.876631528587,98.0830093907957,60.4080480516936,98.8002666324358,1683.11311162239,1409.5,1225.3113291472,1572.5,1368,1484,1366.5,75.8726903891681
"2003/2004",2004,120,120,100,62.3286810154996,208.367366970213,80.4195914809134,76.8560519301681,100.321764961928,2146.50736580223,1896,1657.09016441637,2029,1845,1827,1843.5,84.8699951126138
"2004/2005",2005,121,121,100,47.8136857195385,173.299050247685,73.9960065148144,64.076490012539,97.0422325307349,2049.16772125273,1821.5,1669.59824776607,1895.5,1793.5,1564,1784,85.5654905599469
"2005/2006",2006,120,120,100,48.7841216536366,167.740033123453,86.0571168424446,61.6112790587057,95.7395337991358,1911.02228880729,1672.5,1518.75456667566,1796.5,1653.5,1576,1650.5,79.7334558811229
"2006/2007",2007,120,120,100,51.3318450635563,214.24772422316,81.3086392828564,62.0342997106657,97.110284132217,1885.03219920208,1631.5,1506.69082463522,1740.5,1604.5,1489,1604,79.9291727325079
"2007/2008",2008,120,120,100,49.3772901617524,166.705931828606,99.3227573958699,65.9807298348534,100.365013444197,1755.37832455763,1401.5,1184.09927643289,1637.5,1303,1609,1303,72.5650823741187
"2008/2009",2009,121,121,100,49.7775528312441,191.977752108676,77.4602384903911,59.8473276170351,94.6605273819011,1963.519677745,1786.5,1611.54481135159,1822,1765,1528,1751.5,80.775206254378
"2009/2010",2010,120,120,100,61.6755969558761,199.663235875379,82.2974737881883,75.9496340560461,100.339360414698,2175.07894102954,1879.5,1632.90408096328,2036,1804.5,1949,1800.5,83.5626403638321
"2010/2011",2011,120,120,100,60.7256976252348,195.367128256338,84.3947136801005,73.528959411056,99.3624939307102,2108.17512546614,1849,1632.38117770676,1959.5,1806.5,1818,1806.5,79.5059525599615
"2011/2012",2012,120,120,100,40.5323360137015,134.146303736396,99.5233167221436,52.8102540910305,94.5570316335569,1558.08797797609,1334,1189.15770407008,1464,1293,1277,1288,70.8035890838744
"2012/2013",2013,121,121,100,57.4691955978117,199.087853292669,84.4558132564621,74.0601907704031,100.86982426458,2031.97740329712,1729,1513.90763328488,1904,1679,1770,1669.5,82.5443076960491
"2013/2014",2014,120,120,100,30.4302086581246,96.3664686746295,103.683921801209,44.0378753500971,94.2153341474914,1386.24646230767,1140.5,1087.59567127426,1232.5,1141,1009,1139.5,68.9483827340252
"2014/2015",2015,120,120,100,47.5994876140972,163.686754341401,85.8033208684261,61.361681974443,95.8908659791059,1889.23585640873,1680,1466.4660837566,1798,1601.5,1638,1589.5,78.0213525072802
"2015/2016",2016,120,120,100,45.3718003902509,140.858163093149,88.2783173747811,57.3202394557761,96.9506554830676,1755.29349637439,1541.5,1365.40323307578,1644,1474.5,1441,1474.5,78.8824609023393
"2016/2017",2017,121,121,100,42.8105307440256,162.629568819531,83.015930704814,56.2015447028806,95.6719935475635,1762.68974324888,1533.5,1375.95518556617,1653,1478,1444,1457.5,78.7263590903708
"2017/2018",2018,120,120,100,41.699395906107,144.683728499477,97.8632174582373,59.5568968986465,97.1170369465552,1652.19222933225,1359,1197.83549959168,1541.5,1283.5,1417,1282,71.8404249497257
"2018/2019",2019,120,120,100,43.6749999311931,134.03498986221,92.5673129339759,61.3116725432016,98.7870079942358,1804.84353814452,1496.5,1343.38201690293,1632,1448,1505,1439,79.5195501055214
