"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,43.1069426135558,168.126181504255,90.593439402576,57.2473295078695,95.6146942453905,1744.08439559332,1519.5,1393.8782365635,1621.5,1496.5,1428,1494,75.6790866204608
"2002/2003",2003,120,120,100,42.0251466576085,146.090946932046,104.578492215426,59.7533422384228,100.179513063037,1527.83286923643,1237.5,996.090089485305,1427,1159,1368,1159,71.5882354217009
"2003/2004",2004,120,120,100,56.6036953536269,206.741812165975,85.908148707462,77.3015018405168,103.647808316634,1974.85893814115,1659.5,1390.5128398484,1852.5,1562,1830,1561.5,81.7582169269633
"2004/2005",2005,121,121,100,43.669922620534,184.669831599099,79.2911562883095,62.5163444199332,99.8877627515216,1928.41721305461,1646.5,1484.66723755666,1778.5,1584,1608,1576.5,83.822484457804
"2005/2006",2006,120,120,100,48.8953838630712,179.133591613803,92.1950999490396,64.6106025304334,97.9688362028091,1820.80948385657,1530,1333.73276495892,1694,1465.5,1542,1464,77.4774167595192
"2006/2007",2007,120,120,100,51.7705472330605,218.664202825067,86.5756289405253,66.5676984558554,100.163187833787,1774.19428070479,1452.5,1302.17857452217,1618.5,1401.5,1496,1401,75.9293822774242
"2007/2008",2008,120,120,100,44.0504224054584,162.529708273295,106.106104765012,64.7711890264874,101.834449877007,1545.48293035151,1144,925.718340061973,1430.5,1051.5,1455,1051.5,65.7435649327555
"2008/2009",2009,121,121,100,50.2161595800342,211.45814261519,82.8634223574912,64.4510288270011,97.7420330389698,1878.30494785264,1652.5,1429.67876615254,1757.5,1558.5,1620,1551.5,78.5259433368226
"2009/2010",2010,120,120,100,56.0709074742716,199.795664269558,88.0908976138838,76.3969359384004,103.115751685585,1966.97076003217,1596,1330.05739311083,1853.5,1495,1805,1493.5,78.8447012211534
"2010/2011",2011,120,120,100,58.1983138394309,202.644650378471,90.4990792541889,75.8788241232541,101.867314832555,1948.11695623035,1629.5,1368.32561177466,1822,1519,1776,1519,74.2739434154876
"2011/2012",2012,120,120,100,38.5179068000371,135.699522212003,106.24487501471,53.1236610840796,95.7699154175023,1439.84367129682,1192.5,1030.39850408034,1333,1125.5,1229,1122.5,68.8269600770452
"2012/2013",2013,121,121,100,51.3209929781709,195.6699348026,90.4369952195991,73.2679025039572,103.46891674338,1866.70581858315,1525.5,1275.33923710027,1742,1435.5,1672,1430.5,77.8551106260163
