"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,46.9835102752573,187.241166129268,81.3601532080516,58.1982865046764,94.2423197519299,1892.15455334756,1680,1567.26580200093,1774,1655.5,1484,1646,80.2334699577015
"2002/2003",2003,120,120,100,47.374010570825,165.669652327006,94.7543770641874,63.9645719371523,100.074061575866,1712.58738374721,1424,1217.90981202445,1605.5,1356.5,1550,1353.5,75.5368046209935
"2003/2004",2004,120,120,100,58.9473594014217,221.803452871034,78.1596154837974,73.5599863131393,99.5744028364323,2096.2743000194,1833,1640.60497541768,1937,1807,1745,1802.5,84.2930346301975
"2004/2005",2005,121,121,100,46.3485145208267,180.842763226033,72.322578688351,60.4786160403016,95.2928390574519,1940.76390993803,1721.5,1590.55865199522,1787.5,1723,1469,1693,84.7865045287125
"2005/2006",2006,120,120,100,50.7616250046182,188.20827376599,83.4492815189229,62.5926438946516,95.2761429827006,1948.40006877606,1736.5,1571.78530934481,1832,1699,1604,1694.5,81.6602578742857
"2006/2007",2007,120,120,100,52.4420147327615,231.649651743333,78.362877620031,64.0464976013592,97.5117638591522,1911.36920642476,1650.5,1503.11314856813,1771,1634.5,1513,1627.5,78.9094901395538
"2007/2008",2008,120,120,100,53.6691415114011,189.188404561681,96.1754341418292,70.5065134334713,100.745872028748,1838.02542931132,1532.5,1241.69042870802,1723,1417.5,1664,1417.5,72.6283055119318
"2008/2009",2009,121,121,100,49.2029243685126,206.830915001194,75.2255829096562,59.5446957438245,94.1407585421341,1904.53559329455,1713.5,1528.37073365953,1774.5,1698,1514,1667,78.4857324495301
"2009/2010",2010,120,120,100,61.0399929082507,213.181750118122,80.1655260329352,73.6983870817592,99.0640973891691,2102.03364546395,1822,1596.47770329407,1962.5,1744.5,1842,1735.5,82.7039394633846
"2010/2011",2011,120,120,100,60.6995926132825,214.233977851878,82.632760025996,72.1866839536795,97.9502049659408,2085.55299289274,1836.5,1637.73118066631,1960.5,1807,1768,1805,77.5941750212576
"2011/2012",2012,120,120,100,39.6478222230174,145.299880646074,95.8743973485399,53.5015609829108,95.9349164857648,1564.35777171213,1299.5,1168.02668749681,1453.5,1262.5,1275,1256.5,72.6137687082376
"2012/2013",2013,121,121,100,58.5279293027043,220.250260997463,82.1806920277658,74.3244007160386,100.090932075764,2056.02157921354,1768,1559.96162217957,1914.5,1731.5,1758,1721.5,83.2901245484104
"2013/2014",2014,120,120,100,36.251376697233,127.24107099116,100.337654679697,51.7474851407427,96.2089556640154,1503.91004229155,1234,1144.23791855217,1351,1230.5,1162,1229,71.5492681957753
"2014/2015",2015,120,120,100,49.9847512747673,188.083574781571,82.4041941368037,63.2667842477691,96.5041701127233,1938.58131719108,1726,1513.2377938055,1821.5,1654.5,1643,1644.5,80.5671974524175
"2015/2016",2016,120,120,100,45.6590581548724,155.245567315652,85.7423181213495,57.382614037955,96.8234658792381,1758.78139264889,1503,1367.41420750089,1650.5,1451.5,1446,1451.5,79.9783834296773
"2016/2017",2017,121,121,100,48.0326325887067,188.052580672609,79.6684654140947,61.4729776543728,96.7041061480088,1857.13498001306,1608,1434.70819024745,1723.5,1553.5,1520,1533.5,79.877732085869
"2017/2018",2018,120,120,100,45.1634716895791,168.831596651172,94.5671633350748,61.5934616981468,97.3426630130445,1708.50079844797,1418,1256.33496307913,1597,1358.5,1449,1356.5,73.5131254970202
"2018/2019",2019,120,120,100,46.4004504370877,149.99568837243,89.3991626295905,62.4752466761346,99.0107007943593,1835.52267384029,1559,1391.46232381856,1685,1512.5,1557,1505.5,79.0883849241445
"2019/2020",2020,120,120,100,45.9804136551767,181.353454708581,74.3849008682341,57.366794922786,94.2534899617075,1931.32685689969,1751,1630.73075556037,1802,1776,1489,1758.5,83.750506666383
"2020/2021",2021,121,121,100,50.7356985346084,188.227465853805,89.8290102707734,71.1214277260372,102.605746487325,1797.29606482512,1451,1248.16395430591,1673,1380.5,1570,1380.5,78.4527806538745
"2021/2022",2022,120,120,100,41.2665478730468,154.546139358322,88.1675440681641,55.4041095146137,94.6545827306581,1631.48336204347,1402.5,1179.56073196751,1504,1320,1385,1278.5,73.1656709298386
"2022/2023",2023,120,120,100,52.0894509232317,178.536178052025,82.7787072321668,71.4412872796237,100.95807280261,2070.7808425586,1792,1543.4571365132,1976.5,1710,1806,1708.5,81.4655690274076
"2023/2024",2024,120,120,100,52.3676582409545,218.891933864262,69.650867654073,64.728014574809,94.6203748848234,2087.88152630969,1864,1692.68742626818,1934.5,1849.5,1672,1821.5,84.8675745298979
"2024/2025",2025,121,121,100,53.707580664367,190.512780287768,84.8534934966477,70.4098103113076,100.749724416721,2002.16851588695,1708,1502.98127507382,1886.5,1646.5,1776,1644,83.1271334499397
"2025/2026",2026,120,120,100,29.4831368541606,138.365406040375,108.21276715151,44.820084502273,94.9319809743729,1286.88367906354,1000.5,890.403186595737,1185,938,1074,936.5,65.3663538786477
"2026/2027",2027,120,120,100,49.685317325458,201.93642106143,74.4250592678203,64.8767455151094,97.6947001580156,2064.18677492095,1841,1683.82769423724,1929.5,1809.5,1676,1808,85.6166947106685
"2027/2028",2028,120,120,100,44.5611540700999,140.821638300271,100.392022457469,65.379945965209,101.835656022363,1664.4017533688,1310.5,1088.47852416957,1574.5,1222.5,1504,1222.5,72.494436822129
