"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.0063976012638,156.578971906822,85.807074429484,52.6010361761308,93.4179361202106,1794.53615806217,1589,1517.6691836716,1671,1597,1347,1590,79.1676508798743
"2002/2003",2003,120,120,100,46.384199212937,150.096523863974,98.8337485930908,61.4856176129082,99.2561058027616,1674.96749122691,1408.5,1200.61893930286,1581,1363.5,1477,1362,74.8274328637468
"2003/2004",2004,120,120,100,61.3673849491498,208.49331102556,81.024257913261,75.864053008105,100.998833913893,2113.83819699971,1843.5,1616.46510629238,1964.5,1785.5,1798,1785.5,83.2836779796671
"2004/2005",2005,121,121,100,46.2189219069604,170.780424410487,75.011663386583,61.2396100589481,96.5974421631174,1967.74477969474,1746,1616.05569146008,1829.5,1705.5,1528,1698,84.5602123685376
"2005/2006",2006,120,120,100,47.9867428040905,169.179721604296,87.6033609885724,60.726679529069,95.0017205946601,1886.1067197561,1647.5,1506.81691168134,1780,1628,1542,1624.5,79.5961156055025
"2006/2007",2007,120,120,100,50.2657743409682,209.36898264311,81.6457566497647,63.8415006093019,98.5029183053114,1880.88970746284,1598.5,1458.10223944099,1721,1570,1510,1568,77.8945871766452
"2007/2008",2008,120,120,100,49.9434967613515,172.554300189274,100.198252830389,68.3805570805378,101.087401761982,1762.39148967077,1381.5,1151.30900637074,1637.5,1283,1644,1283,70.8269384319528
"2008/2009",2009,121,121,100,50.046314817536,195.3587880675,78.7540925272979,59.6822095537128,94.149976974788,1905.41746948094,1721,1557.91512141311,1785,1710,1517,1691.5,79.8851332534146
"2009/2010",2010,120,120,100,59.0238403821065,196.520939237857,83.3482208224487,74.6357101631284,99.9813760153539,2085.54935981269,1778.5,1558.84001323889,1950,1701.5,1853,1699.5,82.6115812791918
"2010/2011",2011,120,120,100,61.8753627438742,200.41923898231,85.73216660382,73.0079781707109,98.6009616480585,2073.950704708,1820.5,1605.2242199484,1935,1773,1786,1773,78.2565691177499
"2011/2012",2012,120,120,100,39.1077894053664,132.882707586009,100.709014101115,51.9726086160376,94.4259039132829,1523.14924759592,1284.5,1142.94153233021,1433,1232,1265,1224.5,70.1548342400015
"2012/2013",2013,121,121,100,56.395957629359,201.284395753159,85.5943698924258,73.2474228205891,100.763407638643,2019.03541557065,1729,1506.43650677307,1898,1671,1738,1666,81.7468299146092
"2013/2014",2014,120,120,100,31.6762459257208,103.137202559466,105.257949586089,46.6606176151454,94.3624800741422,1418.44047800134,1156.5,1092.49367105229,1273,1148,1080,1146.5,68.4117142116202
"2014/2015",2015,120,120,100,49.8607586773536,170.587792265558,86.4518400649015,63.3658924261938,96.1701951073456,1904.08763644649,1692,1470.76689001095,1813.5,1623.5,1652,1613,80.0737575036183
"2015/2016",2016,120,120,100,43.6235394847946,140.064728355851,89.5866325947969,55.6070368579363,96.6406070668288,1704.08528287924,1477.5,1314.20012016811,1612,1400,1384,1400,75.3345109361494
"2016/2017",2017,121,121,100,46.6497679777644,170.626004125036,83.1811141385062,59.8317476725942,96.9412400555069,1805.21875856532,1571,1392.54600600423,1692.5,1501,1490,1484,78.2041381729432
"2017/2018",2018,120,120,100,40.1514328955043,143.90330028598,99.132954323821,58.1804015514244,97.1366532150836,1618.98416628362,1310.5,1172.71459917633,1503.5,1261,1351,1258,69.9705089426652
"2018/2019",2019,120,120,100,42.790338983887,130.303589981856,93.1125721586279,60.4737195322508,99.2200773947906,1783.87289507633,1483.5,1329.08747669439,1619,1439,1478,1432,78.5335646242152
"2019/2020",2020,120,120,100,46.761026427639,168.453985305715,77.2726925581033,59.2958400408408,95.4691134767024,1954.88086658141,1769.5,1615.89770919447,1818.5,1747.5,1529,1730,83.2814249850007
"2020/2021",2021,121,121,100,47.3311557694895,165.196404352721,94.2931761903974,68.053563413162,102.003470053206,1747.29289677134,1410,1218.54751796084,1626,1352.5,1507,1352.5,77.4520352257377
"2021/2022",2022,120,120,100,35.0025119014452,128.302039795445,92.2341240251464,50.1788174565474,94.2368581954867,1508.53697952606,1248,1061.32084024548,1390.5,1176,1269,1131,68.7615592565571
"2022/2023",2023,120,120,100,44.7258497119361,150.593659669147,86.425210498302,65.0800944647223,100.702414528947,1935.54358648004,1625.5,1426.6724297151,1813,1543,1652,1541.5,78.7131903668201
"2023/2024",2024,120,120,100,52.1027183058586,198.366143583824,72.518702625552,65.3542841079749,95.8509579596227,2084.40241760976,1855.5,1668.71802962304,1938.5,1813.5,1655,1796,83.9174945293435
"2024/2025",2025,121,121,100,56.0327463473606,184.064868485734,87.9965331783013,73.2606077428801,101.569635641892,2051.18690990988,1752,1517.49962324519,1934,1673,1833,1672.5,81.5861546546876
