"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.4538213008962,139.481898208121,84.3697344530999,49.8748501228302,92.0763485567723,1761.06028486392,1574.5,1514.6415934049,1625.5,1593,1264,1579,79.9267675173787
"2002/2003",2003,120,120,100,46.2615622918626,145.831301219706,96.8541923076025,60.659198655256,98.5143382563124,1720.65721648872,1460,1281.79979890703,1606,1409.5,1507,1407.5,75.9143655761762
"2003/2004",2004,120,120,100,62.4675355768921,205.802405468895,79.5114853192961,75.4218376606796,99.4614173931369,2167.71056029016,1926,1704.32899960723,2038,1887,1805,1885.5,85.4624064847088
"2004/2005",2005,121,121,100,48.3713102746453,169.497430789698,73.1750929868754,63.2809924922457,96.049831353742,2046.8420825773,1835.5,1696.56574824292,1901.5,1808,1553,1800,85.6116953073064
"2005/2006",2006,120,120,100,47.804262854394,164.526157214702,85.3397880655286,59.6802292264372,94.9092559719909,1907.66916888502,1675,1549.88881888508,1794.5,1661,1571,1657,80.8128446993283
"2006/2007",2007,120,120,100,49.6571604350105,206.918218654309,80.3773118231283,60.3486395922838,96.5317181289683,1895.85946681207,1653,1532.6792805521,1765.5,1633,1486,1630.5,79.7532342560455
"2007/2008",2008,120,120,100,49.4049585627742,165.387150109567,98.2365882170551,65.8492010542811,99.8932604014917,1796.20447834793,1453,1236.20876761579,1679.5,1358.5,1625,1358.5,72.0027120684475
"2008/2009",2009,121,121,100,49.2452664492725,188.34935675376,76.7187861359349,58.6357063981034,93.6635832451064,1958.96261820118,1781.5,1633.59330794963,1817,1785.5,1506,1763,80.1452065195556
"2009/2010",2010,120,120,100,60.8531504479796,195.647577297842,81.3649915275569,74.3505561802706,99.4129339514491,2186.8125184208,1915.5,1682.49878255426,2040,1843,1925,1840,84.6389573119914
"2010/2011",2011,120,120,100,60.379339588537,193.765073217201,83.5568224235925,71.4730793565908,98.2054391830979,2118.31392016237,1869,1684.54659376861,1967,1857.5,1787,1857.5,79.6172594043205
"2011/2012",2012,120,120,100,40.373718486254,131.939064326922,98.536134474042,52.1942252255221,94.050602619822,1574.41289342501,1348,1204.74159380467,1483,1314,1306,1304,72.4674686664966
"2012/2013",2013,121,121,100,57.3151602867023,196.842140336953,83.6846433344418,72.5328898260951,100.009592278791,2054.60188684611,1771.5,1568.46263109844,1927.5,1729.5,1770,1723,82.7639696570907
"2013/2014",2014,120,120,100,30.2327403004829,95.6278856561896,102.76741630091,44.0208551054485,94.0721557370897,1393.47106768008,1136,1096.49041163848,1246.5,1150.5,1022,1148,68.4108146507788
"2014/2015",2015,120,120,100,48.0581840540521,159.527294610408,84.9260659640998,60.8523619865561,95.0960829821259,1906.5689319637,1722,1495.87941327514,1811.5,1648,1634,1633.5,79.2485352311098
