"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,45.296047411868,188.293940064043,83.4344116288358,56.7685349809098,94.3442974242837,1844.49535510698,1627,1519.8611452149,1708.5,1607.5,1449,1599,79.7795344103799
"2002/2003",2003,120,120,100,46.7181971111018,165.262448310035,96.9780743070303,62.4351684014754,99.8260934312136,1652.9534010222,1373,1158.68656722664,1564.5,1309,1469,1306.5,73.4261663715469
"2003/2004",2004,120,120,100,59.0974724929949,223.960848244357,79.4409573999198,74.0779046214108,100.833089291172,2076.0399245748,1799,1587.1048757789,1923,1785,1752,1783.5,83.3506057872764
"2004/2005",2005,121,121,100,45.3672910672141,182.424237264768,73.7096055300589,59.6092570081029,96.0581615840165,1903.68745369736,1679,1555.04110844571,1766.5,1656,1481,1638.5,85.6671662132176
"2005/2006",2006,120,120,100,49.4204583509675,184.673026053922,85.5993387746279,61.6233151916722,95.0472828476431,1888.3251772916,1650.5,1504.4065643775,1759.5,1609.5,1561,1603.5,80.4593500047836
"2006/2007",2007,120,120,100,51.9402256557754,229.711601366482,79.7793712945043,65.3622636757678,98.9004032247389,1867.34642006525,1588.5,1431.20576879268,1719.5,1549,1511,1544.5,78.5310049492296
"2007/2008",2008,120,120,100,51.6884689574679,188.270268721308,98.1804635301677,70.6139972826548,101.613690615717,1772.86908051774,1409.5,1145.6081589688,1665,1301.5,1634,1301.5,72.9277131320943
"2008/2009",2009,121,121,100,48.9046378349696,209.12257556521,77.1550957663904,59.2574451167655,94.12305967002,1844.15641332851,1646,1484.80843955719,1728,1622.5,1481,1598.5,79.6898790290004
"2009/2010",2010,120,120,100,59.0303403529442,208.908813179209,81.9013545619144,73.8918661709718,99.6926638599071,2017.37590025398,1698.5,1507.97488566793,1879,1616,1748,1611.5,81.8326277604074
"2010/2011",2011,120,120,100,61.0835226967898,212.722865312378,84.4393984024213,72.610230109466,98.4736960504103,2047.2717327297,1791.5,1577.27965701211,1907,1735,1754,1733,78.5618367387835
"2011/2012",2012,120,120,100,38.2086899389573,143.231117772438,98.5210494575085,51.8612961441286,95.1858624311701,1506.46600808662,1239.5,1119.75297280741,1389.5,1207,1221,1200.5,71.0902093241421
"2012/2013",2013,121,121,100,57.9747173005219,218.442800813686,83.8914215009924,74.3940901817636,100.637944147679,2018.28995436317,1732.5,1504.44160917291,1894,1673,1764,1665.5,82.4273891116661
"2013/2014",2014,120,120,100,34.9711572804576,125.203667858371,103.040708237871,50.6538175276652,95.5480176846789,1470.08997068202,1192,1110.64928092168,1329.5,1183,1173,1181.5,71.0898685304862
"2014/2015",2015,120,120,100,51.0054220484421,191.272084936236,84.3536712938842,64.8079817185438,96.7167312357982,1914.08189126048,1689,1478.19320294179,1801.5,1626,1638,1616,80.3055478859383
"2015/2016",2016,120,120,100,43.5441824412644,152.252889429823,87.8078726308061,55.4400894263319,96.6504962804782,1691.16405892729,1427,1302.63387811947,1577,1372,1355,1372,78.0857664561904
"2016/2017",2017,121,121,100,48.422617643896,192.175982484341,81.2450742570966,61.6969235379944,97.5542052038582,1826.44092664791,1571,1394.72208114223,1717.5,1523.5,1514,1508,79.7085990441915
"2017/2018",2018,120,120,100,42.8567804681454,163.27026766563,96.9486493975384,60.1546331663515,97.4177992773148,1643.97975420873,1352,1195.7142042705,1523.5,1300.5,1343,1298.5,71.7584351103542
"2018/2019",2019,120,120,100,44.13111829934,143.429632266265,91.2415536252933,61.5445712679329,99.4553529852311,1778.60828440943,1507.5,1337.17523542516,1638,1465.5,1478,1457.5,79.0886684449433
"2019/2020",2020,120,120,100,45.0116841444775,178.506729639086,75.8984008880854,57.5006877679019,94.9667086418117,1909.17301432442,1708.5,1587.59595948434,1762.5,1702,1481,1682,81.3052965305687
"2020/2021",2021,121,121,100,47.8748597175974,175.124392100012,91.9287883624723,68.5422452098957,102.303744317647,1719.19221657429,1392,1200.80785779625,1600.5,1344.5,1486,1344,76.4537447333987
"2021/2022",2022,120,120,100,37.9730260255074,152.152581791517,90.1780360795222,52.187097775179,94.4539198325157,1571.12130954012,1310.5,1128.69663898605,1464.5,1266.5,1346,1226.5,71.054983818337
"2022/2023",2023,120,120,100,48.9503289054268,170.947488768564,84.7065643570875,68.9518618175054,101.229323991651,1969.04551064824,1659,1436.88821412254,1851.5,1577,1702,1575.5,80.2004028675869
"2023/2024",2024,120,120,100,54.8701876767038,227.728574935743,70.8558561469018,67.5522631286705,96.1543500722703,2093.90070449072,1862.5,1649.10774955659,1954,1836,1694,1807,84.2350372848
"2024/2025",2025,121,121,100,54.1553140681876,192.65937211086,86.6164068212944,72.0911720384005,101.425375257725,1994.96383724382,1679.5,1472.60030901722,1886,1610,1770,1608.5,82.386931401812
"2025/2026",2026,120,120,100,29.7143385483511,140.967284203851,109.577239933471,45.9221538507419,95.8540820865485,1256.1091792263,950.5,837.025008432235,1154.5,895,1070,893.5,64.0801123721972
