"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,45.0123762657069,164.140708309127,90.5562546464112,59.1691647113538,95.9259492673258,1806.97409424251,1578,1435.1685090762,1682.5,1561,1470,1558,75.8239551827216
"2002/2003",2003,120,120,100,40.8868880982753,138.801053710148,105.022532672058,59.0060081700155,99.7217488921193,1538.71828081389,1236,1022.22320317264,1421,1138,1420,1138,71.2025575543256
"2003/2004",2004,120,120,100,57.67975406102,199.720037527549,86.2260938124468,77.9824925152177,103.455257338766,2035.79544610372,1738.5,1433.817401133,1934,1635,1856,1634.5,81.4785179510377
"2004/2005",2005,121,121,100,48.1195314517022,177.842047026218,79.0924690625899,67.1587165783433,100.48697281442,2015.16198547491,1732.5,1527.83585093862,1882,1664,1690,1657.5,83.0479987786525
"2005/2006",2006,120,120,100,49.6758026478854,174.912538651037,91.4134028065548,66.1621070647132,99.5166506747047,1843.94745846811,1524,1321.74924356046,1715.5,1447.5,1635,1447.5,76.3121646778634
"2006/2007",2007,120,120,100,57.1480374096924,222.213133588261,86.8583712647817,69.1918385588253,99.6133130296956,1889.19287225147,1603.5,1409.45695219765,1752,1543.5,1630,1543.5,76.8088315898942
"2007/2008",2008,120,120,100,45.8899942641373,157.754588498327,105.833197459781,64.5813934846492,101.557827497186,1581.1694856823,1219,974.555844819659,1460.5,1101.5,1506,1101.5,67.1765870824943
"2008/2009",2009,121,121,100,48.7849313779064,195.14108632151,82.2586877327353,63.5229910188853,98.3368786791674,1902.85609483094,1653,1467.27363399153,1774,1578,1620,1572,80.2512906654888
"2009/2010",2010,120,120,100,58.9808514280011,195.649319502166,87.6926023375482,78.3258227414683,103.615761443184,2039.7539976491,1667.5,1384.12933441674,1923,1549.5,1909,1548,80.3780868330423
"2010/2011",2011,120,120,100,56.6929729187817,190.6081351705,89.699220624398,76.7414191682994,103.090919202863,1988.40330903193,1631,1372.02656310568,1860.5,1534.5,1827,1534.5,76.0423073301126
"2011/2012",2012,120,120,100,37.1617525438856,136.540468052552,105.700647148616,52.4958591725106,96.4362031778671,1476.20626380343,1197,1051.21451244828,1356.5,1151.5,1264,1149,67.6074693018245
"2012/2013",2013,121,121,100,55.9186699455289,194.995202496732,90.0205076483638,76.9093112972057,104.107696381607,1933.43940706373,1572.5,1298.26289634214,1801.5,1477,1757,1473.5,79.6409246853395
