"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,43.6938761758943,173.825219171894,84.3146622935966,55.66525206604,94.2804388666876,1810.97192943666,1602,1504.2212710216,1677.5,1588.5,1412,1580,79.7224222146924
"2002/2003",2003,120,120,100,45.8139263101413,159.815276149564,97.7744920189504,61.4785204488033,99.5286827002672,1651.55878092951,1370.5,1163.83253127858,1553.5,1312,1484,1310,74.9588487982881
"2003/2004",2004,120,120,100,61.0491270809964,224.827859239028,80.1539378077614,77.1848778719047,101.247663437446,2087.02651209107,1820,1574.04658782237,1944,1759.5,1796,1758,82.3977991187448
"2004/2005",2005,121,121,100,47.128436796981,192.218964704461,73.9635551100555,63.3921505925619,97.2440535626543,1990.50940830929,1755.5,1593.44939344085,1828.5,1722.5,1548,1704.5,85.3955447113208
"2005/2006",2006,120,120,100,49.8277753297435,187.244278215242,85.9563791645926,63.011342700536,96.3478115468034,1888.27272079495,1637.5,1468.76077349412,1777,1601,1582,1597,79.3447043540465
"2006/2007",2007,120,120,100,53.122614424742,232.794804071305,80.6343459976383,64.9990235447948,98.3708307951907,1871.99115175028,1597.5,1444.12144346903,1733,1560,1518,1556.5,79.4316216062077
"2007/2008",2008,120,120,100,50.3363051547617,181.22766964661,99.1247583458894,68.0866253539904,101.122618780654,1725.52533261091,1365.5,1125.4432832976,1604.5,1255,1596,1255,71.7146676509841
"2008/2009",2009,121,121,100,50.914059361674,210.934432846795,77.1937475874985,61.2278152516741,95.3588375281542,1921.72136149478,1728,1532.88059003008,1786,1694,1533,1674.5,81.8837404104206
"2009/2010",2010,120,120,100,60.6777040545746,216.143138213892,82.3444460126135,76.3479273476079,100.650927490216,2086.17567629526,1766,1528.41107428893,1962.5,1669.5,1893,1664,82.324703113733
"2010/2011",2011,120,120,100,61.2317055729198,216.881433064025,84.4823339174398,74.9085957352196,99.7830295330978,2048.53313816772,1755.5,1543.12060731196,1903.5,1709.5,1774,1709.5,77.4125536699873
"2011/2012",2012,120,120,100,40.113685161067,146.665159341143,99.2139850222517,53.3499275355355,95.3161138156171,1532.34378103623,1282.5,1144.13030703194,1438,1234.5,1257,1230,70.4595331300759
"2012/2013",2013,121,121,100,57.4518850049884,218.196333645932,84.3883261894886,75.5681666374929,101.538848520916,1999.78175786731,1700,1452.8925115801,1884,1630,1738,1621,81.7697070622535
"2013/2014",2014,120,120,100,33.1550434317023,114.899468109402,103.324875046717,47.7378345146536,95.2860620531844,1429.5412988612,1182,1092.02583138262,1281.5,1166,1114,1164.5,69.676238209159
"2014/2015",2015,120,120,100,49.7701154824231,187.546257049788,85.1738657561316,63.8715469753401,96.947095516871,1902.96628550233,1672,1446.10042775556,1805,1586.5,1654,1576,79.6467298032064
"2015/2016",2016,120,120,100,44.5576460194026,153.399067753475,88.2763223442381,57.0249048958569,97.4172174554989,1719.70142220909,1480.5,1312.03225115012,1616,1403.5,1415,1403.5,78.0313363394316
"2016/2017",2017,121,121,100,46.0250400981563,183.479479971807,82.1882249295831,59.4121768361962,96.9969662318195,1798.73694080748,1556,1377.91318719465,1694,1492.5,1498,1477,80.0368173371594
"2017/2018",2018,120,120,100,43.88642175781,163.729240083759,97.3411559418879,61.5715784207158,97.8919505252233,1651.47197188749,1346,1185.7010306168,1538.5,1280,1412,1280,72.1222609355787
"2018/2019",2019,120,120,100,44.4447494898512,145.448888361319,92.2460376900229,62.504735661106,99.5104895515216,1785.16091287534,1482.5,1309.87889111878,1627.5,1411.5,1540,1402.5,77.8003822204273
"2019/2020",2020,120,120,100,48.0416676113952,188.93201774044,76.4880515980958,60.3829583487707,95.6187667543818,1932.18489324284,1738,1587.09990659912,1792.5,1702.5,1548,1681,82.1666441338516
"2020/2021",2021,121,121,100,46.9108735901455,178.483590760457,92.7753686184548,69.021350762091,102.734848850629,1729.37181736664,1372.5,1183.37297517815,1607.5,1316,1512,1316,76.7752672403881
"2021/2022",2022,120,120,100,36.7573527605781,145.049612653147,90.7918654778244,53.1053011968753,95.7055433715993,1536.78995267311,1260,1062.94714837072,1427.5,1189,1298,1147,71.7822347825904
"2022/2023",2023,120,120,100,48.1147174886484,173.173539002433,85.2877641376258,68.6901870778447,101.828027794435,1965.61600983344,1645.5,1422.57383936601,1852,1555,1722,1553.5,79.451267795469
"2023/2024",2024,120,120,100,52.9536907590541,220.103394652468,71.7155339272373,66.3249061885835,95.9660903641168,2061.37234521465,1808.5,1630.50385629172,1925,1779,1704,1756,84.2945129232494
"2024/2025",2025,121,121,100,54.784512028933,196.599093409331,87.1382840815773,71.8019444911171,101.692945203266,1991.14453366674,1689.5,1458.63610155315,1871.5,1602.5,1773,1600,81.5969008710613
"2025/2026",2026,120,120,100,29.6056808687259,140.194140363482,111.224672017289,45.1103133966173,94.9572952518835,1251.17182532237,979.5,850.419928025786,1151,912,1047,911.5,64.4107767489386
"2026/2027",2027,120,120,100,50.6971123416146,202.681905131499,76.6421892418007,66.7530319410659,98.8445366866404,2018.87022660395,1770.5,1588.99857215101,1895.5,1719.5,1676,1717.5,84.0713401091216
"2027/2028",2028,120,120,100,42.2595834224009,139.07714303196,102.970148194124,64.6082173438963,102.576564541887,1612.45296399876,1251.5,1010.24022385571,1518,1151.5,1463,1151.5,71.4737456757225
"2028/2029",2029,121,121,100,45.9720968625149,202.57258026585,83.0598317188242,62.6163929281498,99.1963689287694,1782.13697100138,1512,1308.3482489874,1694.5,1405.5,1527,1402,79.6957022684842
"2029/2030",2030,120,120,100,42.3746416505117,169.574228477251,90.8859732124432,57.7145308538516,96.8108180186767,1702.63293403051,1456.5,1300.97133945925,1566,1422,1395,1409,77.8036540832973
"2030/2031",2031,120,120,100,55.0469581078037,214.248969500877,82.7467075996304,72.3390238601782,100.118601047558,1891.79370895472,1634,1398.00814394437,1762.5,1550.5,1641,1547.5,82.7419865632974
"2031/2032",2032,120,120,100,53.9637322164786,220.597633059419,76.1749503794961,67.5589821847934,97.801590956076,2009.33334304752,1781,1619.28315205845,1878.5,1755,1621,1751,84.362700359301
"2032/2033",2033,121,121,100,44.151931406348,154.011579578139,100.080290118875,62.0498470834551,100.681850429135,1632.10222061304,1333,1143.40520476249,1533.5,1264,1444,1264,74.2460368547581
"2033/2034",2034,120,120,100,43.0385826492462,184.837062867149,94.1863480608412,59.1709469149647,97.0683700207224,1610.43725240401,1286,1128.37867918542,1495.5,1213.5,1385,1199.5,70.0056220327733
"2034/2035",2035,120,120,100,39.8418138408791,146.589848035032,94.3066498520136,55.5292924064861,95.8730407541135,1589.40909077098,1324.5,1145.3004798783,1466,1263,1332,1237,73.26115991403
"2035/2036",2036,120,120,100,50.7947554704166,188.276921468309,90.5657067907776,64.1639685172767,97.0209547322863,1865.00125990916,1622,1452.17528075048,1730,1564.5,1565,1562,79.4626409776474
"2036/2037",2037,121,121,100,41.1808617580047,156.868855380128,95.4259028081293,61.2097411119609,101.307662462856,1649.9772033653,1325.5,1120.21259739647,1535.5,1267,1430,1258.5,74.6720562466962
"2037/2038",2038,120,120,100,48.4314082031692,168.136701404509,86.312241188421,63.7981272071593,98.3469206905071,1834.22627081058,1550,1389.89080159426,1730,1501,1532,1495.5,78.7379230330152
"2038/2039",2039,120,120,100,51.8533821812616,202.235212265656,74.8496264313061,62.5542681592839,95.8730747380138,2143.98596262075,1920.5,1811.86573288841,1964.5,1951.5,1646,1951.5,85.8891605756453
"2039/2040",2040,120,120,100,52.243012329799,200.345237337918,79.6242269546303,71.291980472166,100.340242727687,1995.20348688145,1673.5,1448.02234053416,1856.5,1588,1754,1571,80.371266836788
"2040/2041",2041,121,121,100,53.3018899416781,207.348966676431,81.9071630371717,69.8431477728932,100.542471245322,2063.82275514091,1789.5,1562.20170562644,1944.5,1712,1794,1712,82.3027095355574
"2041/2042",2042,120,120,100,50.3516200603525,152.442690634575,86.9056201862174,59.9909648100348,92.7064479681221,2021.82205302376,1820.5,1715.53026382903,1869.5,1811,1635,1809.5,83.9884217508388
"2042/2043",2043,120,120,100,44.8358047980273,174.767427101307,95.3660100573675,62.9203965488115,101.726742587518,1601.28472684123,1251.5,1082.69952403092,1503,1188,1392,1188,74.2805240357184
"2043/2044",2044,120,120,100,60.8457177766314,220.938297356657,80.1057818961673,74.5642011177625,99.5140837837644,2086.01483806162,1783.5,1578.41784178025,1954.5,1725,1846,1717.5,82.7909967565229
"2044/2045",2045,121,121,100,48.0836968840066,168.864255336513,103.478802251022,66.3634276079992,100.039580044289,1700.47704493615,1399.5,1146.5011081328,1621,1290,1541,1290,73.7656125468602
"2045/2046",2046,120,120,100,43.4710839367274,182.058305520048,86.5379146258187,59.2508396618921,97.0093468336054,1686.96481554222,1403,1221.29024227503,1526.5,1368,1424,1332.5,74.9944190499427
"2046/2047",2047,120,120,100,47.5926570716432,173.683248090165,101.874742113683,60.3109905082104,93.5309288688739,1771.25310246958,1514,1334.95543237093,1652,1456,1559,1450,75.9861215137526
"2047/2048",2048,120,120,100,52.1363409199227,170.288332076296,89.7403850919638,69.2699084323438,102.017677188436,1856.26503216469,1549,1322.80318772339,1755,1455,1643,1455,79.5412321593285
"2048/2049",2049,121,121,100,52.5868322586205,183.984174014545,90.5946386436016,70.6260028198165,102.755017589475,1759.1365819904,1478,1227.4189591574,1636.5,1400,1536,1399.5,76.5124667760456
"2049/2050",2050,120,120,100,47.0898137460939,173.134545585879,96.1472113757656,72.3446393722259,105.303736255642,1670.31817172354,1247,1000.15869260058,1543,1126.5,1536,1126.5,74.9426015719855
"2050/2051",2051,120,120,100,42.4793262313595,180.367693208981,86.3739745412104,61.847459542855,99.2905926977595,1670.3010370188,1305.5,1172.80659617987,1530.5,1226.5,1382,1221.5,75.3082409448925
"2051/2052",2052,120,120,100,53.1116854602682,193.780579231027,85.0118104121375,63.6824332437598,93.6364998960382,1933.15015094334,1736,1522.2937151551,1822,1675.5,1630,1659.5,79.5213050115608
"2052/2053",2053,121,121,100,46.9350522032004,168.687329124398,86.0531327657219,62.4153922398322,97.0376568507902,1921.27684240605,1646,1483.91073459351,1817.5,1600.5,1619,1591.5,80.6160709427622
"2053/2054",2054,120,120,100,48.0405762945868,180.058221594343,79.5485698388938,61.637102520302,97.4649861721209,1938.13041140704,1705.5,1529.58972327426,1830,1650.5,1574,1646,80.9196055541406
"2054/2055",2055,120,120,100,49.8884736442899,178.040558477982,87.1180327611929,65.9392126588095,100.009778297836,1880.01248631754,1598.5,1400.88387051498,1767.5,1535.5,1662,1535,79.2970847813194
"2055/2056",2056,120,120,100,44.8616999777242,166.44805753683,84.9239778907795,62.4279695612536,97.1903045900663,1697.19653583659,1354,1095.86448847776,1522,1305.5,1475,1233.5,72.3558786562116
"2056/2057",2057,121,121,100,44.7516885828982,169.755027150649,97.0534497039612,59.345658193183,98.0721657806295,1710.18258145641,1474.5,1267.28638628794,1607,1420,1471,1418.5,69.7808735363324
"2057/2058",2058,120,120,100,56.3946414624424,200.264161412628,81.1673706684606,74.0206406459786,100.442251504153,2026.14796057835,1699,1499.72598702117,1871.5,1648,1700,1642.5,83.2270209402477
"2058/2059",2059,120,120,100,44.7592738022164,179.134986771463,94.5579655979201,64.8487032759374,101.226012267027,1691.28459924465,1349.5,1140.65863900629,1555,1264,1458,1264,73.323923102871
