"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,43.1476985888481,166.413377688971,84.0354061368283,54.7900021792791,93.7932032221738,1810.96036510888,1593.5,1504.37556760395,1697.5,1587,1392,1577,80.2201641320435
"2002/2003",2003,120,120,100,46.0614690572718,155.890791714853,97.031862773955,62.0068441190262,99.8119928742766,1687.41929804723,1404,1201.72663912299,1592,1351,1492,1349.5,75.6313904334351
"2003/2004",2004,120,120,100,60.014991201969,210.347065960351,79.9386501991034,74.1696049326724,100.078672219843,2106.53071052876,1849,1637.70422654654,1963.5,1813.5,1773,1812,84.5845815922281
"2004/2005",2005,121,121,100,45.6566905921251,172.211586518867,73.8921892284759,60.6042330304866,96.0665515491146,1962.23378881235,1739,1618.63756299328,1807.5,1729,1501,1712,85.6078426402491
"2005/2006",2006,120,120,100,49.8633548402473,180.028160312775,85.7215297480715,62.0412691795337,95.3275648065124,1919.70350240359,1687.5,1535.19758452368,1807.5,1661,1597,1657,81.2824325698809
"2006/2007",2007,120,120,100,50.5865872365044,216.396129784565,80.5207312396882,62.1894323279726,97.5769153696099,1871.67207296715,1618,1472.8466827034,1721,1575.5,1460,1573,79.0349975375855
"2007/2008",2008,120,120,100,50.7132436192517,176.152241589728,98.5887383650558,67.957437616896,100.494226497277,1781.37355388888,1438.5,1190.40799955853,1667,1328,1624,1328,71.146700888584
"2008/2009",2009,121,121,100,50.274681789573,201.645222500319,77.1580155457638,60.6652714570475,94.4722412057786,1921.66557418589,1730.5,1552.80054612282,1792.5,1716.5,1527,1696,80.0556566916825
"2009/2010",2010,120,120,100,61.0307887440888,204.905772607612,81.9876587071976,74.6733363216128,99.7500643984672,2107.9130327509,1813,1586.06580168716,1970,1740.5,1877,1736,82.9493985029555
"2010/2011",2011,120,120,100,60.3990519002216,204.757034679205,84.4731390628863,71.7570553374523,98.2450694321117,2077.91947630674,1825.5,1627.93762282411,1917.5,1804,1754,1804,78.3316244832383
