"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,35.3992087466045,152.40222382151,82.4674874653717,46.8056706673996,91.1091262185014,1705.67456430362,1519,1481.01011284336,1568,1545.5,1203,1529.5,79.3585012051879
"2002/2003",2003,120,120,100,46.3477674775149,162.933682999762,94.7307767601984,59.6816870783492,97.7918205228042,1699.27566687135,1453.5,1282.2885725764,1603.5,1413.5,1486,1410.5,76.6176111447355
"2003/2004",2004,120,120,100,63.2252241750543,227.770718957679,77.1357471347325,75.1826588431275,99.4396767174876,2122.32034151526,1862.5,1678.84196469621,1983.5,1832.5,1751,1831,86.3957902708183
"2004/2005",2005,121,121,100,48.6999161295589,192.9708353248,71.0576980351937,62.7674030751321,95.6004289527276,2017.11567027581,1810.5,1667.43802335325,1877,1773,1547,1761,86.9586677216111
"2005/2006",2006,120,120,100,45.9389044355193,176.198954300623,83.2997359585258,57.0647350845922,93.8408169251286,1844.12358211753,1635,1511.674322126,1742.5,1608.5,1474,1602,79.7811285794008
"2006/2007",2007,120,120,100,48.6266784287082,223.45642056253,77.9571901284352,60.6147508987103,96.6897470770411,1847.04829055848,1585.5,1476.5218719514,1699,1560,1426,1553,80.5506264778518
"2007/2008",2008,120,120,100,49.2861015625628,184.972050031578,96.0376944168619,66.0728605155653,100.007606142706,1773.21370007584,1390,1210.75882578081,1652,1320.5,1614,1320.5,73.2324238577586
"2008/2009",2009,121,121,100,47.973710349248,206.099225323379,74.8675011862491,56.2420189984539,92.5183283892522,1904.78122362209,1731,1591.54863250373,1759,1737,1444,1707,78.7328197636114
"2009/2010",2010,120,120,100,59.5194246256943,213.289288505089,79.4454724698565,72.7133000122534,98.7048312783722,2135.67984935069,1861,1652.05046173142,1989,1795,1844,1792,83.791761245416
"2010/2011",2011,120,120,100,60.2661691601818,211.059362613524,81.4862329875902,70.5896690679489,97.7335232102262,2070.22404293487,1834.5,1656.90524758272,1921.5,1804,1719,1804,79.5178430376545
"2011/2012",2012,120,120,100,39.2858795831079,144.680993451653,96.9490719139749,50.4894842800018,93.0272563143664,1538.13660333697,1315.5,1183.08951208113,1440,1276,1248,1259,71.0114647971691
