"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,38.1502345779316,129.006701640224,77.6422017501054,47.6608340616844,89.4669654092419,1825.00919857099,1647.5,1640.23652034111,1666.5,1679.5,1239,1662,80.8771356676692
"2002/2003",2003,120,120,100,46.7561774673731,145.691398788105,89.6239470837715,60.1339617634512,97.312683562859,1852.39150102745,1606.5,1464.7428807042,1718,1566,1556,1562,79.9475410773414
"2003/2004",2004,120,120,100,55.1541328813519,191.247662319005,73.7073701172686,64.8664778259958,95.2506176325335,2181.79512912914,1961,1881.45579277832,2035.5,1989,1694,1987,88.1202645996415
"2004/2005",2005,121,121,100,42.7298464452988,149.193355960461,68.4356465956005,53.3038186383028,90.5345895524898,1904.22968724971,1768,1666.96423830834,1765.5,1749,1330,1715.5,84.1379198934338
"2005/2006",2006,120,120,100,44.0114287325093,141.095895033508,79.9621603135857,51.5549573612491,90.3040842175632,1899.48837911626,1789,1702.01717243515,1774,1788,1429,1779.5,81.8936269113653
"2006/2007",2007,120,120,100,45.9372374279427,190.220013646034,74.1092495066038,57.8359124404047,94.3716122951817,1974.38094688079,1740.5,1657.30732790624,1830,1747,1469,1735.5,81.7870728875446
"2007/2008",2008,120,120,100,54.0570717062232,167.166543891437,90.8377122067886,68.2417969019192,98.433938484717,2030.17282603958,1778,1542.49028875044,1915.5,1718.5,1783,1718.5,80.846859893534
"2008/2009",2009,121,121,100,42.8211858175205,160.68820802244,71.7400839456879,49.2743563553309,88.6172402780672,1845.31770845288,1710.5,1620.34392035295,1699,1741.5,1314,1684.5,78.9471519031461
"2009/2010",2010,120,120,100,54.6988381795542,173.092952945415,75.8338474799715,63.2594893431377,94.4548427031886,2142.55547491434,1966,1812.11510632095,2013.5,1949,1699,1942,86.4911678650242
"2010/2011",2011,120,120,100,52.9313953377486,172.694381993183,78.1278061657272,60.5898960893937,93.349373820871,2108.48394789141,1941,1855.99061526611,1947,1978.5,1589,1971.5,80.9332861373498
"2011/2012",2012,120,120,100,37.4474403081475,121.193905413348,91.1791574764844,49.3139916673713,92.6891989249085,1640.5996151518,1418.5,1299.37481220496,1507.5,1380.5,1289,1360,74.2170481206642
"2012/2013",2013,121,121,100,55.9633479493119,189.458184232346,77.9888543932171,65.326877152584,95.303965887933,2122.17481624454,1920,1794.45708785547,1964.5,1926.5,1677,1914.5,85.8820360063692
"2013/2014",2014,120,120,100,34.0488441025132,110.973859104491,95.7825514507644,48.594710021327,93.6897519998356,1546.65846197253,1325.5,1267.52498852232,1421.5,1323.5,1129,1319.5,74.0335882325069
"2014/2015",2015,120,120,100,46.5882701937537,144.578649710847,78.2645649212537,55.2156955588732,92.0206886213862,1967.03058744974,1814.5,1689.96917996012,1832,1818.5,1549,1798.5,81.4144064362467
"2015/2016",2016,120,120,100,42.2123625710379,122.984504619639,81.55445051744,52.7585369493234,93.0391421408639,1759.30838714106,1609.5,1469.17626111223,1672.5,1564.5,1375,1562.5,78.3483350487516
"2016/2017",2017,121,121,100,45.1140289068594,154.664449397271,75.3852095776801,55.3544782543846,92.8863611902132,1909.53355672759,1731.5,1586.31280172002,1753.5,1709,1475,1670.5,80.4888924803463
"2017/2018",2018,120,120,100,43.0842284384418,144.668694430186,90.0123423593425,57.2168518941301,94.4170490010771,1783.8275301606,1528,1397.95534922074,1650.5,1470.5,1414,1461,76.2432446969597
"2018/2019",2019,120,120,100,44.3627551689527,123.619253014501,84.2785960634764,58.0426184951796,95.9805025249815,1892.05532601836,1608,1553.91244894985,1717.5,1635,1428,1623,82.6874070171693
"2019/2020",2020,120,120,100,40.9458899700811,129.272822956206,70.4035613703091,50.6167248616761,90.0901182621922,1894.83081480466,1737,1698.37799547062,1760.5,1787,1313,1751,84.318934667825
"2020/2021",2021,121,121,100,52.308326063349,178.89050815221,85.5855844806936,68.0373454129899,98.7344743204603,1936.36745523757,1645,1493.61699676641,1821,1599.5,1623,1595.5,81.3746651222536
"2021/2022",2022,120,120,100,38.6264279587165,120.770892873874,83.7558576215366,49.7573111576582,90.9559213954411,1629.29484746621,1440,1251.79009217557,1460.5,1420,1283,1348,71.0683817404606
"2022/2023",2023,120,120,100,49.8651368387961,139.148828816226,78.4676245743022,64.7119210946705,96.3604118850068,2086.50775507085,1885.5,1705.68563502779,1961.5,1828.5,1709,1825.5,83.8618363476135
"2023/2024",2024,120,120,100,48.2863830073692,174.571908009792,65.836347028347,56.4366128011825,89.6658032479949,2103.27629522404,1941.5,1839.24099189454,1962,1953.5,1585,1912.5,85.8546965357477
"2024/2025",2025,121,121,100,56.5137258457655,164.967522992629,79.9123599711756,66.8060500839046,96.4576436887557,2158.37406196524,2002.5,1816.31210591111,2029.5,1969,1733,1966.5,86.838463408737
"2025/2026",2026,120,120,100,33.4451265211076,122.858232834497,100.980827356546,49.3135810990447,96.1758467719781,1489.84238861038,1206,1071.41723548055,1377.5,1151.5,1273,1150,70.7049023255613
"2026/2027",2027,120,120,100,45.6799031417793,163.606807413572,70.662919971876,57.1024093575273,92.7945145772638,2062.11776101611,1913.5,1826.22932968745,1938,1911,1543,1902.5,86.8805436614002
"2027/2028",2028,120,120,100,49.5757408331117,128.700909876336,94.7720635057698,63.7257475315056,98.6570280972336,1822.65560197152,1558.5,1365.37355167569,1694.5,1498,1532,1498,77.2567620550594
"2028/2029",2029,121,121,100,44.4397824531041,162.603181419386,76.9619042081423,56.823596015869,93.7879356379187,1855.59158880103,1679,1477.65341855597,1740,1626.5,1477,1599.5,80.5355347343602
"2029/2030",2030,120,120,100,41.0669372997719,138.909639949432,82.802632260192,53.7985601432171,94.0455341105469,1840.09583496295,1609,1539.21208373448,1682.5,1613,1347,1594.5,81.8275898221746
"2030/2031",2031,120,120,100,56.6242656870398,201.040693380786,76.5726642736615,64.9628829166556,94.3994044144525,2059.9363214734,1867.5,1741.51662344651,1929.5,1858,1615,1855,86.1738830794884
"2031/2032",2032,120,120,100,45.539746979839,170.789752202174,70.4191051290525,55.5338420659323,91.8054180468656,1975.7440609177,1837.5,1776.94413837241,1848,1847.5,1394,1836,86.0772563023838
"2032/2033",2033,121,121,100,47.0358201923797,144.684226915992,91.8832914828023,60.6138684127781,97.733874880348,1828.58090313461,1609,1449.51253461484,1699.5,1585.5,1473,1585.5,78.7311079370529
"2033/2034",2034,120,120,100,43.9932476097116,161.171021578091,86.9939514670336,56.9313496986071,93.4675590110561,1774.79347946245,1557,1351.84428166976,1647,1491.5,1460,1459,73.8321582884664
"2034/2035",2035,120,120,100,41.4711870502527,124.468281024511,86.42724097998,52.2350257693453,91.8851432386496,1710.6197647607,1522,1375.88197381054,1585,1497,1366,1457.5,74.5502137539243
"2035/2036",2036,120,120,100,47.7471671111533,149.587337678976,83.1605356849802,57.1698388449721,92.5700935967532,1963.10165855274,1756,1713.33625093478,1807.5,1791.5,1466,1787,83.3916985130199
"2036/2037",2037,121,121,100,42.1460377983363,143.875221724566,88.0073050211647,58.413602231515,97.6416072381953,1828.14609030982,1509,1398.84758805781,1686,1483,1482,1466.5,80.1836769531119
"2037/2038",2038,120,120,100,47.0592012462339,143.93816450955,79.7877135644566,56.489109143812,92.5240288424956,1877.88587001301,1733.5,1575.89649342392,1770,1686,1475,1671,81.2434243893149
"2038/2039",2039,120,120,100,41.607901651315,142.30788101377,68.7303158826938,49.9353703563537,89.7246507521596,2086.89323008215,1963.5,1995.09453054367,1959,2024,1428,2022.5,89.6006355146683
"2039/2040",2040,120,120,100,55.1528604516734,172.640449100275,73.2250777949974,65.1953681077424,94.2695676857921,2141.59112625483,1950,1764.91296033149,1999.5,1945.5,1713,1915,86.114400296301
"2040/2041",2041,121,121,100,50.8049329526681,158.892957575026,75.2580248915533,61.1520769113463,95.1102727473162,2126.8825809816,1965.5,1815.39232381472,2002.5,1938,1663,1934.5,88.1124651224027
"2041/2042",2042,120,120,100,36.5521665897862,93.8291409195926,80.2232678732325,44.3251301640322,86.6997954768597,1857.28141823241,1730.5,1759.89281065406,1723,1782.5,1203,1765.5,84.0034166789801
"2042/2043",2043,120,120,100,47.3171189055006,160.669454604506,87.378259398154,63.2174927720786,98.7472804284403,1816.42247247763,1536.5,1362.01601304867,1685.5,1453.5,1541,1453.5,79.157900557324
"2043/2044",2044,120,120,100,50.6785671101141,170.395665664188,74.2209808982306,58.530801325219,92.6662986724202,2094.80784346152,1896.5,1817.89043058126,1896.5,1940.5,1577,1918,84.9954207689007
"2044/2045",2045,121,121,100,49.5297650105094,154.76051544293,95.9251165543053,61.1343228427333,95.7299095185938,1889.17568297219,1680.5,1504.51558566661,1755,1646,1606,1643,80.2832836332864
"2045/2046",2046,120,120,100,39.4043000841334,144.483723901373,79.8195305507728,52.5702939835276,92.8983313191289,1766.70975036253,1529,1407.15658976871,1593,1504,1350,1453,77.0001870385668
"2046/2047",2047,120,120,100,42.5187416124854,131.739384273044,93.9548499130467,49.6537975843718,89.0888735349661,1806.74611161835,1675.5,1580.85615843082,1686.5,1688.5,1373,1675,78.7533784577699
"2047/2048",2048,120,120,100,49.7902112007731,144.709893418186,82.7291094304362,62.803108675135,97.1453687476023,1990.12749942669,1727,1607.7350900102,1831.5,1701,1592,1699.5,82.1752997690628
"2048/2049",2049,121,121,100,49.1265327594236,172.526019113851,83.6503084154409,61.9404436229288,98.3094374446206,1919.48250611385,1641.5,1559.62117369751,1750,1655,1493,1650,81.0095250093973
"2049/2050",2050,120,120,100,57.1681515939322,185.263225631409,88.6113936949737,73.1839612444434,101.44665538895,2003.56629379795,1696,1441.32188323779,1864.5,1607.5,1789,1607.5,81.0064375098927
"2050/2051",2051,120,120,100,47.7822598219427,166.316530922239,78.9492911546336,60.791257093547,95.4702483835486,1874.69774694293,1608.5,1433.07949981354,1774,1553.5,1498,1540,79.3176804150316
"2051/2052",2052,120,120,100,45.6734627397276,150.551458030689,77.9592547786602,53.1205833913134,88.5788831456797,2001.68206597542,1860.5,1765.89727001876,1844.5,1880,1435,1853.5,83.0824159546146
"2052/2053",2053,121,121,100,45.3116809994687,134.433874384517,78.3346556645289,55.3247990800186,92.223123204817,1988.48737131406,1846,1728.26724948028,1858,1817,1537,1807,83.4993068500162
"2053/2054",2054,120,120,100,41.8783187456484,127.918414006781,73.4292413227947,53.5004073374832,91.9405996747799,1910.04459354261,1729.5,1638.86766941454,1781,1701,1416,1680,82.055956421731
"2054/2055",2055,120,120,100,46.4655511850969,145.397527622222,80.0858895174442,59.1973512323652,95.7976744451145,1984.89484469243,1778.5,1652.61725236098,1832.5,1770.5,1532,1768,82.9503027324363
"2055/2056",2056,120,120,100,47.6170401073338,139.131930089687,77.8647264513075,60.2706181239053,92.824888748679,1895.07487012603,1576.5,1386.61368972889,1644,1618,1562,1511,76.1341945479262
"2056/2057",2057,121,121,100,40.1687202019781,138.646172017407,88.8304351383738,52.7003249938293,94.9461740819262,1833.74129761977,1604,1548.28651966933,1694,1613.5,1397,1612,74.9333455386859
"2057/2058",2058,120,120,100,53.5232619921222,178.77278203722,74.6548151378108,65.6197908441765,94.964507965064,2081.16933368554,1882,1703.71496324188,1980.5,1828.5,1726,1809,84.394376240466
"2058/2059",2059,120,120,100,49.1941959507256,169.597741465763,86.8610539672505,66.1932411167211,98.3283277392949,1896.88227683282,1610,1426.23818106084,1766.5,1535.5,1605,1532.5,78.9570387234635
"2059/2060",2060,120,120,100,38.2013134903758,125.913697801421,80.9376609667008,43.6299445480147,87.2686002426493,1710.67376654295,1620.5,1567.52449395191,1591,1650.5,1216,1621.5,77.824471366971
"2060/2061",2061,121,121,100,41.8467562879057,156.036680161146,71.1445281935642,49.8005485714165,89.796406497332,1825.96747953436,1694,1600.17524194003,1693.5,1698,1282,1657.5,79.5652102303056
"2061/2062",2062,120,120,100,41.3373355191113,127.644012619571,96.0789239806555,57.1888262562262,96.9986424079239,1783.58882741473,1494.5,1335.79934627643,1660.5,1467.5,1485,1462,74.9957277980311
"2062/2063",2063,120,120,100,52.9911902333195,166.961735839788,82.9151970083957,66.8247150853792,98.0575941218238,2010.5723964166,1759,1544.47436019701,1872.5,1701,1714,1690,82.0341079452082
