"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,37.7144503115751,124.739934865805,72.5103536829933,45.1673638623846,87.4791218809904,1839.70162106828,1714.5,1671.11516756936,1675,1752.5,1188,1714,81.3374812223991
"2002/2003",2003,120,120,100,47.6588136249092,155.661511936192,83.8075435163447,61.3483509971042,96.3978961567956,1942.68276136118,1711,1569.31672376729,1790.5,1677,1544,1670.5,81.7711176125688
"2003/2004",2004,120,120,100,47.1549251043751,171.443199039561,69.5581142145105,55.365598252615,91.2968544671287,2080.49653281631,1921,1898.21868591535,1938,1962.5,1489,1949.5,88.5818063628147
"2004/2005",2005,121,121,100,39.0551620540316,142.473069061081,64.5894818915526,47.5190292742998,86.4422072289239,1770.07928704566,1660.5,1564.16642719854,1638.5,1674,1212,1599.5,77.763052056208
"2005/2006",2006,120,120,100,39.9390866486716,132.061698485422,74.9489861519104,45.4671565755043,87.5690473906345,1855.16697017091,1779,1756.37952939963,1727.5,1824,1277,1810.5,80.7489091677886
"2006/2007",2007,120,120,100,40.7467973360179,178.866195571699,69.7446544365681,51.4022290262562,91.2055591394373,1917.92144229385,1723.5,1668.24634088085,1798,1725,1396,1704,82.2226214940376
"2007/2008",2008,120,120,100,52.6975835596566,161.941589442146,85.2465630954414,63.3864578236163,95.7939319062282,2068.31974561954,1885.5,1703.86144870526,1954,1858.5,1732,1858,83.0928063004419
"2008/2009",2009,121,121,100,40.0029345859855,158.077920209045,67.2537339839114,45.3814471665071,85.8288545065163,1789.26699142372,1659.5,1561.09028618081,1619,1707.5,1247,1609,76.1124163882569
"2009/2010",2010,120,120,100,47.5652845039008,166.165085048535,71.2351706157229,55.5615606005438,91.0920764160384,2083.64047392845,1921.5,1852.87590064124,1920.5,1970.5,1502,1949,85.3665415735759
"2010/2011",2011,120,120,100,44.8706469456424,154.245618452318,73.8355270649407,50.5054673224894,89.455806377289,2012.35923890919,1900.5,1898.18040140064,1870,1951.5,1375,1940.5,82.5763807532392
"2011/2012",2012,120,120,100,38.2643974771544,121.611328644125,84.9716252805903,49.1945919925072,91.9920997844365,1687.06838127314,1484.5,1359.67309374963,1536,1464.5,1282,1429,72.6491110938794
"2012/2013",2013,121,121,100,48.8668221472873,184.960222694954,73.4724034514435,56.0571053073136,91.7396328375105,2071.41925375483,1918,1857.1344114397,1930,1948,1525,1932,86.9822445893346
"2013/2014",2014,120,120,100,38.8126269551705,124.591694305491,90.0937031353513,50.9134123591584,92.3344096460396,1592.09918022913,1407,1328.9756665598,1499.5,1397,1205,1384,76.3150573394933
"2014/2015",2015,120,120,100,41.9034539415523,136.209321165853,73.306347771893,51.1197985111819,89.9717185520419,1924.21842765162,1759.5,1670.18115299517,1745.5,1805.5,1386,1762,80.4396422654124
"2015/2016",2016,120,120,100,38.6889970751923,119.759503753532,76.5809736382355,49.8496407908338,91.3577150620519,1778.73319258764,1668,1514.39340564872,1698.5,1627.5,1336,1614,79.6240390087735
"2016/2017",2017,121,121,100,43.4735830727954,152.334865117945,70.7560941991701,53.5668782615241,90.4574633371986,1896.58365625599,1727,1598.14544677783,1740.5,1762.5,1377,1691,80.9201584944426
"2017/2018",2018,120,120,100,42.0212295306086,143.7412716085,84.5676972463014,54.2606567651432,91.9567239149868,1808.42098108958,1591.5,1485.11865797252,1673,1585.5,1381,1560.5,76.0397149576474
"2018/2019",2019,120,120,100,42.3755257045454,121.767694861804,79.1623893096156,54.4974658706234,93.4567655075668,1875.48178495673,1650,1609.0072182032,1721.5,1661.5,1340,1643,82.4466244329637
"2019/2020",2020,120,120,100,37.3900688144683,120.165768330838,66.1075981878691,45.0683705377101,86.5803459186699,1808.59505475951,1688,1659.86367002847,1649,1733.5,1188,1676.5,81.7277252828826
"2020/2021",2021,121,121,100,54.0860749504419,189.054406669459,80.0062705491008,66.4859178702397,96.9263747976159,2002.15571245119,1774.5,1611.70998708279,1878.5,1710,1659,1704.5,82.6045013101416
"2021/2022",2022,120,120,100,38.1846591601012,120.040756351777,78.8918026039313,47.2456614389039,88.2914314629904,1654.51419211748,1474,1316.60618363667,1473.5,1512,1261,1409,71.7761671710791
"2022/2023",2023,120,120,100,50.9131963393268,137.931191423606,73.6283713297041,60.4404974784706,92.8519303037768,2129.54228619143,2006,1870.92296166266,1981,1987,1632,1981.5,85.9217924148847
"2023/2024",2024,120,120,100,42.0825276523195,155.803685663722,61.8669971522114,48.0906547410587,85.5167644588028,1991.4813037159,1874,1800.39904491359,1820.5,1911.5,1433,1841,85.4389382627005
