"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,35.2285432418107,119.20605411365,74.6336801960333,43.5926620568397,87.4675769360418,1756.06040525892,1594.5,1610.01370277692,1584,1614.5,1120,1588,81.4113536308434
"2002/2003",2003,120,120,100,45.2967735988444,144.28750347528,86.1664707649619,57.0199354089164,95.8096348206304,1864.76314171003,1645.5,1533.49751577998,1712.5,1636,1486,1629.5,80.6239000912688
"2003/2004",2004,120,120,100,56.6929007582045,196.283650709151,70.62429030253,62.9452797369018,93.0512242798348,2190.77794484682,1996.5,1959.06572940997,2018.5,2035,1643,2029,89.45811164894
"2004/2005",2005,121,121,100,46.0888015670492,159.588719124861,65.2278902850459,53.8050548289188,88.9579821355114,1967.64445449709,1842,1757.46974054719,1825,1843,1374,1801.5,84.4471764951362
"2005/2006",2006,120,120,100,43.1179926085906,140.801036332614,75.9312123219198,50.3983397842545,89.8818820804131,1905.0137811658,1822,1727.29823999264,1796.5,1811,1400,1798.5,82.0315603857824
"2006/2007",2007,120,120,100,43.2259271829143,188.250409155768,71.150993237442,52.8062165636089,91.9859622995897,1956.79068446414,1775,1723.9941807633,1833,1794,1427,1781,83.8757675466591
"2007/2008",2008,120,120,100,51.5063875718577,161.911946821863,87.1656615736156,64.5974573573494,97.2776177006216,2046.64277063225,1811,1618.00301794747,1907,1769,1748,1767.5,81.8823883935646
"2008/2009",2009,121,121,100,39.4358952812729,157.054931978506,68.342870577442,46.4773853885012,87.5019345920153,1866.64056186899,1727,1672.92667466382,1714,1776,1291,1715.5,81.1396733248685
"2009/2010",2010,120,120,100,53.982106427745,174.246143161803,72.4480777903742,61.1537923734912,92.8534106608512,2212.13834476763,2069.5,1948.9849541168,2071,2098,1711,2089,88.6014920396053
"2010/2011",2011,120,120,100,51.329915179578,171.340770879819,74.3430835531784,58.4931963642308,92.5840637908,2133.43315015564,1973.5,1922.49490833747,1960.5,2019.5,1527,2012.5,83.9029338773721
"2011/2012",2012,120,120,100,36.7789634224314,122.393217184484,87.4701967697605,47.6795605025559,91.7044811639402,1657.46106292565,1447.5,1352.25954209495,1499.5,1427.5,1253,1403.5,73.8122545379958
"2012/2013",2013,121,121,100,55.9890884174084,196.337420055889,74.3389257918222,63.7407432635993,94.0070933017197,2142.3670120266,1966.5,1860.62264274179,1991.5,1978,1655,1961.5,89.4970918509607
"2013/2014",2014,120,120,100,32.6664236353784,113.390540656515,91.0954082728886,46.6068152680492,93.3211762326225,1518.90316764736,1320,1277.95239704238,1428,1307,1101,1299.5,74.9427246710943
"2014/2015",2015,120,120,100,45.491316789474,141.350537214861,75.1675536121983,52.8992698292222,90.0872613039566,1949.5496682423,1831.5,1731.11258691306,1804.5,1858.5,1434,1832,80.8575002089585
"2015/2016",2016,120,120,100,41.3841877948485,125.043484516529,77.7979269399962,52.1232427146371,92.4040101801215,1803.10123892924,1690,1556.43738464957,1720,1637,1394,1632.5,79.4609434063632
"2016/2017",2017,121,121,100,41.4166845125785,146.571198155981,72.5121966122653,51.1053309704893,90.8750225163599,1867.27262034119,1697,1579.56086765665,1718,1700.5,1367,1651.5,80.6269819133622
"2017/2018",2018,120,120,100,45.5880610677773,146.489010087247,86.0117868716689,58.3254164957437,93.3475145242963,1835.64335176366,1605,1473.65405964239,1689.5,1577.5,1434,1561.5,77.3047042746516
"2018/2019",2019,120,120,100,47.1555970017447,130.598050526581,81.0487870085906,58.4139877187212,94.4380044218165,1942.32092711025,1716,1638.34143939224,1790,1742.5,1448,1728.5,83.742858223246
"2019/2020",2020,120,120,100,40.0239961154812,133.854282828442,67.2860898456363,48.0866444222679,88.4086900739277,1899.25761744852,1748,1739.37397895613,1732.5,1810,1295,1764.5,83.3786577718047
"2020/2021",2021,121,121,100,55.2005921276716,195.686994622533,82.0919479039298,68.5461428884836,97.1522818900742,2019.0209058285,1768,1614.62872224677,1891.5,1719.5,1682,1715.5,84.0952258373359
"2021/2022",2022,120,120,100,40.9110601041322,128.757721477513,79.8903684619628,53.1296406631267,90.8916189197775,1680.26658457192,1482.5,1274.30964215905,1501.5,1465,1346,1381.5,73.3893457231297
"2022/2023",2023,120,120,100,51.1425679714988,143.597619356312,75.0332817540351,64.0889326948199,94.9598910040163,2123.53337664244,1924,1788.3516626637,2005,1899.5,1669,1897,86.1275701569366
