"Season","End_Year","Season_days","Data_days","Perc_complete","Rate_of_Chill","Chill_Days","Exponential_Chill","Triangula_Chill_Haninnen","Triangular_Chill_Legave","Chilling_units","Low_chill","Modified_Utah","North_Carolina","Positive_Utah","Chilling_Hours","Utah_Chill_Units","Chill_Portions"
"2001/2002",2002,120,120,100,41.1332001684501,151.297913489531,103.033691998024,53.4705685485949,94.479294583712,1549.42504825161,1306.5,1177.60682532218,1426,1294,1311,1292.5,68.0290198436852
"2002/2003",2003,120,120,100,34.2101842413691,123.520735542941,117.434477615692,52.6471365293296,98.5280627406136,1254.49854646529,935,711.947509544671,1159.5,823,1212,823,61.9943282473182
"2003/2004",2004,120,120,100,43.9287219058792,163.297137670862,96.2608171158158,68.6195517628743,105.054474468514,1622.17022780386,1274,1007.24245225907,1518,1147,1504,1147,73.5617033315987
"2004/2005",2005,121,121,100,42.5287800003999,182.933060466975,89.0959151113133,59.9612359491539,101.793606495529,1714.49124866359,1433.5,1243.4131856641,1608,1376.5,1470,1372.5,77.4070083644818
"2005/2006",2006,120,120,100,41.0343101484299,160.553226009073,105.398046790139,58.0621623033637,97.0331327571936,1560.35511440856,1253,1068.565150751,1436,1162.5,1371,1162.5,69.6077713347304
"2006/2007",2007,120,120,100,39.9562701690516,169.308565360981,97.2633888355663,56.9939383187397,100.725476948065,1445.95861882261,1133.5,996.406832951277,1316,1072.5,1224,1072.5,69.2706364529184
"2007/2008",2008,120,120,100,29.8292854431971,117.498807685127,119.914655340747,50.5565721288285,99.6936231320734,1155.17384907532,805,633.661449727148,1037.5,717,1045,717,55.2697167682265
"2008/2009",2009,121,121,100,45.9625606348853,203.846526624512,94.0742179970029,64.7724225409864,99.4844921033952,1687.60418537895,1383,1164.26801143861,1576.5,1269,1525,1263.5,73.5076958617135
"2009/2010",2010,120,120,100,40.8925088823989,164.638757611591,99.3550906588696,65.279313245369,103.905877154316,1597.08263085302,1206,970.612760908429,1481.5,1088.5,1509,1088.5,68.8433365340497
"2010/2011",2011,120,120,100,47.2220151495317,170.013433943722,102.214886319093,69.1314230355256,102.682166458741,1626.19117314972,1267,1030.19699119232,1512.5,1168.5,1545,1168.5,69.0752953315186
"2011/2012",2012,120,120,100,30.0015449639646,117.144648572188,121.085913635868,46.9516709487469,93.6815720284391,1225.11193017466,980,810.68643894341,1132.5,898,1086,895.5,63.7569623072577
"2012/2013",2013,121,121,100,39.0301933425077,157.115736154473,102.329048324439,61.5266723881144,102.77094085751,1523.28409791167,1168,954.983822227101,1404.5,1084,1352,1082.5,69.4114585992725
"2013/2014",2014,120,120,100,27.3688701959531,83.6657692389626,126.802820314751,38.368688656576,90.2150295499882,1119.76743445088,909,816.172845548765,1022.5,880.5,920,880.5,59.7396068056396
"2014/2015",2015,120,120,100,33.0665453423437,143.803408154126,103.671564745817,53.8925940514932,98.5534973182855,1464.81559951098,1118,947.825513334985,1361,1047.5,1251,1040.5,69.1806700173806
"2015/2016",2016,120,120,100,31.2274428387921,116.261332266881,107.107730734098,49.3399463628028,97.4165737716274,1339.41927991994,991,897.02095782938,1199,944.5,1076,944.5,64.3375807584225
"2016/2017",2017,121,121,100,36.2901718365125,142.293481224086,99.2742251523256,54.4501817309714,99.0501891712729,1441.48208345276,1136.5,966.144512261577,1313.5,1061,1212,1056.5,68.5347274948067
"2017/2018",2018,120,120,100,26.9962462222079,104.824098322711,118.939851817549,43.1837645623007,95.0048362071794,1171.2543035349,900,789.386025529668,1064.5,849,987,849,59.1980176152711
"2018/2019",2019,120,120,100,31.8318421637654,108.845730912539,111.403925874583,49.1651490381531,98.4622858239509,1331.4771269243,1015,870.828593911556,1221,967,1167,965.5,62.2149178971331
