"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
1.9,2.05,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.83,1.74,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.19,1.1,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.03,0.9,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.15,1.27,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2G"
0.23,0.55,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2G"
0.92,1.46,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.03,1.51,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.54,2.22,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.23,1.35,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2G"
0.64,0.7,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2G"
1.1,0.97,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2G"
