"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.95,3.13,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
2.24,2.38,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
1.74,1.69,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
2.33,2.42,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
1.69,1.4,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
0.97,0.85,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
1.15,1.55,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
1.99,2.01,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
0.98,0.82,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
1.27,1.5,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
2.02,2.38,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
2.38,2.5,"rcp45",2035,2065,2050,1990,"relative","GFDL-ESM2M"
