"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.38,2.22,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
1.37,1.51,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
0.78,0.6,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
1.35,1.48,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
1.2,1.35,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
1.79,2.27,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
3.11,3.61,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
3.06,3.24,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.64,3.47,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.09,2.53,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
2.54,2.51,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
1.71,1.65,"rcp45",2035,2065,2050,1990,"relative","BNU-ESM"
