"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.18,1.52,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
3.77,3.38,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
1.22,1.02,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
0.65,0.75,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
0.28,0.51,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
0.49,1.05,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
2.2,3.28,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
1.29,1.53,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
1.37,0.95,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
1,0.88,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
0.61,0.65,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
0.18,0.14,"rcp85",2035,2065,2050,1990,"relative","inmcm4"
