"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.66,2.87,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.56,1.14,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.73,1.73,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2,2.05,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.08,1.39,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
1.81,3.01,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2.26,3.92,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2.68,4.81,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2.27,4.17,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2.16,3.48,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
2.16,2.76,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
3.36,3.26,"rcp85",2035,2065,2050,1990,"relative","CSIRO-Mk3-6-0"
