"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.2,2.5,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
2.14,1.63,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
2.5,2.08,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
1.83,1.85,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
1.59,1.6,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
2.23,2.17,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
2.3,2.47,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
2.06,1.73,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
2.7,3.03,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
2.37,2.59,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
2.14,2,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
2.41,2.03,"rcp45",2070,2100,2085,1990,"relative","bcc-csm1-1"
