"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2,1.8,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
1.09,0.72,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
1.93,2.21,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
1.65,1.91,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
1.38,2.1,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
1.38,2.11,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
1.5,2.99,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
1.92,2.42,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
1.72,2.52,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
1.39,1.46,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
1.14,0.98,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
0.63,0.55,"rcp45",2070,2100,2085,1990,"relative","CESM1-BGC"
