"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
3.75,2.97,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
3.56,2.86,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
2.43,1.46,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
2.52,1.61,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
1.59,0.76,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
1.68,1.15,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
2.08,1.88,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
1.86,0.94,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
2.46,1.87,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
1.79,1.44,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
2.78,2.75,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
2.88,2.22,"rcp45",2070,2100,2085,1990,"relative","CNRM-CM5"
