"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
6.6,5.64,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
7.07,6.69,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
5.91,5.95,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
4.69,4.37,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
3.91,3.5,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
4.9,4.54,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
5.75,4.84,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
5.51,4.5,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
5.65,5.52,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
5.59,5.44,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
4.62,4.55,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
5.66,5.24,"rcp85",2070,2100,2085,1990,"relative","IPSL-CM5A-LR"
