"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
2.37,2.27,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
3.19,3.63,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
2.83,3.32,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
2.35,3.18,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
1.27,2.78,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
2.24,3.79,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
2.95,4.51,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
3.18,5.19,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
3.2,4.35,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
2.5,3.17,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
2.94,3.33,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
2.88,2.96,"rcp85",2070,2100,2085,1990,"relative","CCSM4"
