"data.Tmin","data.Tmax","scenario","start_year","end_year","scenario_year","reference_year","scenario_type","labels"
6.08,5.23,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
5.98,5.17,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
4.9,3.68,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
3.4,2.04,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
4.4,3.53,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
5.79,5.97,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
6.56,7.77,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
6.06,7.4,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
5.64,6.18,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
5.32,5.19,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
5.27,4.52,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
5.39,4.35,"rcp85",2070,2100,2085,1990,"relative","MIROC-ESM"
