"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,78.5346689856913,3289.25261484589,759
"2002/2003",2003,120,120,100,75.4287390036155,1211.15459721538,1101
"2003/2004",2004,120,120,100,83.5677075004129,1954.24859829035,618
"2004/2005",2005,121,121,100,84.9415024903446,4306.7130207844,531
"2005/2006",2006,120,120,100,80.8464875227795,2492.09887434886,703
"2006/2007",2007,120,120,100,77.8769940913941,2605.48949391919,759
"2007/2008",2008,120,120,100,72.0218815317772,939.045316399366,1012
"2008/2009",2009,121,121,100,79.016330827458,4265.33492350124,589
"2009/2010",2010,120,120,100,82.5535899759575,2040.96931565285,549
"2010/2011",2011,120,120,100,78.2646453885079,1882.0300430893,617
"2011/2012",2012,120,120,100,71.3344079405772,2438.33249956334,1129
"2012/2013",2013,121,121,100,83.0215971221346,2052.5452904565,696
"2013/2014",2014,120,120,100,70.8848509478119,1876.17994040158,1267
"2014/2015",2015,120,120,100,80.1784263110221,2879.069203794,679
"2015/2016",2016,120,120,100,78.4943051998985,2606.36811378109,880
"2016/2017",2017,121,121,100,80.1464876120681,3524.86408195202,747
"2017/2018",2018,120,120,100,72.2763962710451,2124.85240752005,1055
"2018/2019",2019,120,120,100,79.1134784211599,1890.55015089642,915
"2019/2020",2020,120,120,100,83.9296881479918,3799.91877344437,573
"2020/2021",2021,121,121,100,77.0259083779752,1416.23595237499,1054
"2021/2022",2022,120,120,100,71.5147120514166,3982.0740369386,933
"2022/2023",2023,120,120,100,79.7352388117824,1969.06713555823,701
"2023/2024",2024,120,120,100,84.8011487669874,4180.74097379693,405
"2024/2025",2025,121,121,100,82.9585527801928,1859.55116408877,688
"2025/2026",2026,120,120,100,65.3421789528161,1515.7135963277,1491
"2026/2027",2027,120,120,100,84.7481734475682,2898.44827973563,553
"2027/2028",2028,120,120,100,71.8324849565579,834.229710598942,1206
"2028/2029",2029,121,121,100,79.005531502954,3331.09164057299,779
"2029/2030",2030,120,120,100,78.8124063987079,2492.22245019372,917
"2030/2031",2031,120,120,100,82.4489560948368,2149.73602883331,732
"2031/2032",2032,120,120,100,84.8270377350445,3030.95776124438,567
"2032/2033",2033,121,121,100,74.1319563940879,1256.82444578921,1129
"2033/2034",2034,120,120,100,70.5825482154141,2733.40884716692,997
"2034/2035",2035,120,120,100,73.1435494293501,3116.78137278697,1003
"2035/2036",2036,120,120,100,79.4246024297936,2211.28950866032,818
"2036/2037",2037,121,121,100,74.9969396802508,1685.34558928991,1112
"2037/2038",2038,120,120,100,78.7747991439001,2731.24562550243,752
"2038/2039",2039,120,120,100,86.8708076503226,3221.40090912813,401
"2039/2040",2040,120,120,100,81.9563421249732,2805.01639903616,549
"2040/2041",2041,121,121,100,83.3485385105014,2365.46102607669,568
"2041/2042",2042,120,120,100,82.9381630869975,3456.76389831118,543
"2042/2043",2043,120,120,100,75.0312800674847,1288.24828604842,1155
"2043/2044",2044,120,120,100,82.3696520512358,2427.33261940302,553
"2044/2045",2045,121,121,100,74.1814232597408,1147.76411362132,1083
"2045/2046",2046,120,120,100,75.6316827975188,3267.30062913243,916
"2046/2047",2047,120,120,100,77.004452594505,2044.29932634439,870
"2047/2048",2048,120,120,100,78.8999997154633,1421.22595382482,897
"2048/2049",2049,121,121,100,77.8202633282917,1395.14732069755,1014
"2049/2050",2050,120,120,100,75.6594429246716,657.45081806276,1125
"2050/2051",2051,120,120,100,76.4189959490432,2975.9527313374,903
"2051/2052",2052,120,120,100,78.8512218768201,3502.18937769206,594
"2052/2053",2053,121,121,100,80.8372858624489,3096.30576336198,615
"2053/2054",2054,120,120,100,81.1307816382778,3290.61844346207,627
"2054/2055",2055,120,120,100,78.7155265239016,1895.08353478694,772
"2055/2056",2056,120,120,100,73.8933213103574,4152.31779005239,828
"2056/2057",2057,121,121,100,70.6893746755286,1920.7997819311,1022
"2057/2058",2058,120,120,100,83.4686971223218,2477.53867665911,602
"2058/2059",2059,120,120,100,72.5128273963364,1349.8506020112,1079
"2059/2060",2060,120,120,100,79.3517876363476,3524.5919433292,740
"2060/2061",2061,121,121,100,80.7924160559232,4314.3829098423,617
"2061/2062",2062,120,120,100,70.4269351145176,1172.18997993181,1185
"2062/2063",2063,120,120,100,77.0014669215561,1621.59760055412,928
"2063/2064",2064,120,120,100,76.6354805914452,2341.03863786254,1047
"2064/2065",2065,121,121,100,82.7326088584996,2200.35223818524,687
"2065/2066",2066,120,120,100,86.4355545075014,1756.00921665085,430
"2066/2067",2067,120,120,100,73.0047248184128,1392.95553599717,1047
"2067/2068",2068,120,120,100,84.2442114061923,4198.50213430729,559
"2068/2069",2069,121,121,100,78.4098959131188,2267.04656138783,835
"2069/2070",2070,120,120,100,77.8696518732268,2562.34151810547,728
"2070/2071",2071,120,120,100,77.1134672667486,2829.73980662553,780
"2071/2072",2072,120,120,100,72.3302013299453,2189.24749900075,985
"2072/2073",2073,121,121,100,85.8716346949859,4440.51362708211,470
"2073/2074",2074,120,120,100,69.3978775659161,3751.46030992176,946
"2074/2075",2075,120,120,100,81.3587837368814,3779.18366719596,734
"2075/2076",2076,120,120,100,86.6417641112312,3453.10080829635,459
"2076/2077",2077,121,121,100,76.8751447838058,1142.00386362802,997
"2077/2078",2078,120,120,100,75.2695342559509,1154.17238415871,1053
"2078/2079",2079,120,120,100,78.2049612189639,1968.99626938906,680
"2079/2080",2080,120,120,100,81.3994512508125,2947.8080680212,595
"2080/2081",2081,121,121,100,73.8805276103976,2732.38676484022,987
"2081/2082",2082,120,120,100,79.5183023530608,3110.84143931698,656
"2082/2083",2083,120,120,100,81.0487097178611,2943.9092376167,714
"2083/2084",2084,120,120,100,79.9781038887959,1739.25224009529,790
"2084/2085",2085,121,121,100,74.006100879762,1815.1705318084,841
"2085/2086",2086,120,120,100,78.2581634628677,2413.68884893227,889
"2086/2087",2087,120,120,100,76.8835567586211,1968.59166426864,971
"2087/2088",2088,120,120,100,74.63140590486,2401.45316941664,981
"2088/2089",2089,121,121,100,79.890283052513,2148.93850075733,829
"2089/2090",2090,120,120,100,79.1452334563164,1294.10644676443,881
"2090/2091",2091,120,120,100,72.1308920800548,2092.48878839053,1140
"2091/2092",2092,120,120,100,76.3944789276975,1182.94902559835,968
"2092/2093",2093,121,121,100,80.6458850055951,2972.14843415655,769
"2093/2094",2094,120,120,100,71.4483498512891,3015.58363788202,1160
"2094/2095",2095,120,120,100,82.7366275109671,1606.21395728458,741
"2095/2096",2096,120,120,100,81.5946094369338,3619.11491580587,508
"2096/2097",2097,121,121,100,70.5313800720342,5444.36176913232,881
"2097/2098",2098,120,120,100,72.3110761196476,2562.61980694346,1044
"2098/2099",2099,120,120,100,81.3538932104366,2280.09296952561,700
"2099/2100",2100,120,120,100,80.2284337772762,2522.14602200687,539
"2100/2101",2101,120,120,100,81.1228047216755,2505.21680903807,828
