"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,77.3599078928788,3105.73022641618,845
"2002/2003",2003,120,120,100,73.5484193672577,955.122468426925,1189
"2003/2004",2004,120,120,100,82.1570371042066,1558.42734869508,673
"2004/2005",2005,121,121,100,84.4908742400381,3589.93474874055,583
"2005/2006",2006,120,120,100,77.8785274572912,2154.12502668658,786
"2006/2007",2007,120,120,100,77.5564063625001,2313.00478882674,824
"2007/2008",2008,120,120,100,67.0973151313949,815.024492122,1118
"2008/2009",2009,121,121,100,80.8384193894503,3621.9663323721,625
"2009/2010",2010,120,120,100,80.6442838752869,1618.01402830094,649
"2010/2011",2011,120,120,100,78.1823703383277,1502.42678918806,683
"2011/2012",2012,120,120,100,70.2757751561905,2174.65013968165,1194
"2012/2013",2013,121,121,100,80.5532501804482,1770.69550827134,781
"2013/2014",2014,120,120,100,64.9585389252406,1862.46270102367,1373
"2014/2015",2015,120,120,100,75.2085782246693,2756.3445131036,765
"2015/2016",2016,120,120,100,74.7643216944457,2343.7807496211,936
"2016/2017",2017,121,121,100,77.027012343814,3292.9548764932,856
"2017/2018",2018,120,120,100,67.0561802669617,1991.91045710747,1148
"2018/2019",2019,120,120,100,76.3187199722443,1743.10319639929,1017
"2019/2020",2020,120,120,100,81.0909975881309,3270.30754675437,624
"2020/2021",2021,121,121,100,74.1146654985359,1192.67684641108,1147
"2021/2022",2022,120,120,100,67.330326096564,3980.38604878145,1075
"2022/2023",2023,120,120,100,76.7569378591834,1762.99144296115,814
"2023/2024",2024,120,120,100,83.1677991443021,3734.77477996913,490
"2024/2025",2025,121,121,100,80.9694559223267,1422.97138963663,748
"2025/2026",2026,120,120,100,61.4677340647258,1312.21197159518,1556
"2026/2027",2027,120,120,100,83.5912099718312,2480.22916528117,606
"2027/2028",2028,120,120,100,66.4113099184033,598.236242245883,1289
"2028/2029",2029,121,121,100,75.7698862550537,3116.28112219134,878
"2029/2030",2030,120,120,100,75.5829241740075,2246.43473869679,994
"2030/2031",2031,120,120,100,80.4393409213353,1855.27797560557,808
"2031/2032",2032,120,120,100,83.7148717263481,2601.8962166633,644
"2032/2033",2033,121,121,100,70.869809111442,1039.41340174736,1197
"2033/2034",2034,120,120,100,67.9495521227363,2588.69484406221,1138
"2034/2035",2035,120,120,100,71.5829469248574,3052.97530282871,1093
"2035/2036",2036,120,120,100,78.8278397098147,1994.42076722602,885
"2036/2037",2037,121,121,100,71.2298297963598,1504.62079356797,1214
"2037/2038",2038,120,120,100,77.2393997716044,2435.02095100004,847
"2038/2039",2039,120,120,100,85.1448951474194,2752.71924266219,474
"2039/2040",2040,120,120,100,79.5120718881908,2732.73943979619,665
"2040/2041",2041,121,121,100,81.1967063526845,2034.21481633093,693
"2041/2042",2042,120,120,100,80.2370678563111,3088.57864400418,613
"2042/2043",2043,120,120,100,72.4977319083773,1057.39500974584,1289
"2043/2044",2044,120,120,100,80.0657304321267,2044.67010410689,646
"2044/2045",2045,121,121,100,70.0850217782454,1111.26145112608,1229
"2045/2046",2046,120,120,100,70.9269534466375,3180.62099685566,1020
"2046/2047",2047,120,120,100,73.4328215839123,1892.65584582416,950
"2047/2048",2048,120,120,100,76.412143264236,1234.05176672805,993
"2048/2049",2049,121,121,100,75.2597370718295,1292.55632013734,1074
"2049/2050",2050,120,120,100,71.6310960240344,581.885090541095,1258
"2050/2051",2051,120,120,100,71.4864033859531,2923.56078021973,1044
"2051/2052",2052,120,120,100,78.0507387719272,3290.60486342991,668
"2052/2053",2053,121,121,100,80.2805930246632,2728.3591810707,735
"2053/2054",2054,120,120,100,79.8351728983343,2841.74917485239,719
"2054/2055",2055,120,120,100,77.0844259261339,1785.45743696764,910
"2055/2056",2056,120,120,100,68.9383688317994,4188.5998190837,940
"2056/2057",2057,121,121,100,67.9539551819744,1585.35318924347,1087
"2057/2058",2058,120,120,100,82.557440151033,2120.95485662064,698
"2058/2059",2059,120,120,100,69.3539385133645,1264.29597629933,1180
"2059/2060",2060,120,120,100,76.9255141301364,3258.17549783085,809
"2060/2061",2061,121,121,100,79.4264537409254,3957.23905481119,687
"2061/2062",2062,120,120,100,66.8301592384414,927.332289577927,1252
"2062/2063",2063,120,120,100,74.4331670078627,1363.58357073227,991
"2063/2064",2064,120,120,100,74.3285093164632,1877.70661604078,1093
"2064/2065",2065,121,121,100,80.4181060771662,1685.5445603733,740
"2065/2066",2066,120,120,100,82.7545954764191,1501.33868586551,505
"2066/2067",2067,120,120,100,70.0889401317072,1196.74227923015,1120
"2067/2068",2068,120,120,100,83.8672474744089,3545.21109324135,589
"2068/2069",2069,121,121,100,75.9776087613882,1997.16488615936,928
"2069/2070",2070,120,120,100,76.2718313040241,2145.95964069106,786
"2070/2071",2071,120,120,100,74.2195354550586,2606.0965457852,991
"2071/2072",2072,120,120,100,68.1695090989087,1877.85688176053,1078
"2072/2073",2073,121,121,100,83.8333967133767,3880.65301516606,522
"2073/2074",2074,120,120,100,64.7124306424867,3749.36645250581,1039
"2074/2075",2075,120,120,100,77.5672357747026,3462.3921238482,811
"2075/2076",2076,120,120,100,85.0489278310524,2914.43967517372,488
"2076/2077",2077,121,121,100,75.3227787136111,929.853735328652,1087
"2077/2078",2078,120,120,100,70.2193366726351,919.876790497452,1150
"2078/2079",2079,120,120,100,75.4155779662669,1646.31625538226,810
"2079/2080",2080,120,120,100,81.3315070186654,2287.48236521613,640
"2080/2081",2081,121,121,100,70.5193919359936,2430.32402618229,1081
"2081/2082",2082,120,120,100,76.4279292991414,2928.81981533207,743
"2082/2083",2083,120,120,100,76.929159378702,2716.59459336847,809
