"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,80.7189712174371,4281.75062946676,734
"2002/2003",2003,120,120,100,76.3735913759016,1630.01627644886,1012
"2003/2004",2004,120,120,100,85.7830149378401,2346.01628228999,536
"2004/2005",2005,121,121,100,86.890722110362,4757.48213303852,423
"2005/2006",2006,120,120,100,80.993662653764,3190.89411576628,653
"2006/2007",2007,120,120,100,79.3187807503333,3218.6755412285,670
"2007/2008",2008,120,120,100,74.0377842084954,1310.98010233289,911
"2008/2009",2009,121,121,100,81.6423561103504,4849.66614647402,542
"2009/2010",2010,120,120,100,84.6177346205843,2421.62774948089,441
"2010/2011",2011,120,120,100,80.230776696804,2304.07368661021,543
"2011/2012",2012,120,120,100,72.1380190994355,3032.03923918668,1036
"2012/2013",2013,121,121,100,83.1022149976404,2591.3955629589,604
"2013/2014",2014,120,120,100,69.7549160669832,2485.11028871592,1216
"2014/2015",2015,120,120,100,80.0734325313558,3576.55985549837,580
"2015/2016",2016,120,120,100,79.5470687476122,3179.79639147699,788
"2016/2017",2017,121,121,100,79.0742506830211,4289.06400219514,687
"2017/2018",2018,120,120,100,74.4624926353194,2647.30332630989,939
"2018/2019",2019,120,120,100,80.4398329221899,2436.75403720816,808
"2019/2020",2020,120,120,100,84.1879469837995,4437.70979653299,516
"2020/2021",2021,121,121,100,78.809075690458,1846.58058822341,908
"2021/2022",2022,120,120,100,70.8800573621425,4720.9269544147,885
"2022/2023",2023,120,120,100,81.5229881048035,2614.20053350413,627
"2023/2024",2024,120,120,100,82.5789760191496,4984.04369263351,333
"2024/2025",2025,121,121,100,83.2027214941659,2228.45509865694,571
"2025/2026",2026,120,120,100,68.7083767266986,1761.07736384962,1365
"2026/2027",2027,120,120,100,84.6395071748148,3622.53301115474,484
"2027/2028",2028,120,120,100,74.6882077306209,978.687641703989,1039
"2028/2029",2029,121,121,100,78.5126709076126,4009.51515861112,664
"2029/2030",2030,120,120,100,77.1624336145774,3276.0828187475,871
"2030/2031",2031,120,120,100,83.3442626559186,2829.04387488542,683
"2031/2032",2032,120,120,100,84.6618392200253,3658.63130804547,471
"2032/2033",2033,121,121,100,74.7989643032533,1657.19245250337,1040
"2033/2034",2034,120,120,100,71.7229995927955,3288.43986514863,890
"2034/2035",2035,120,120,100,71.8842373327161,3917.15649464121,918
"2035/2036",2036,120,120,100,81.3485942530515,2817.2385869557,725
"2036/2037",2037,121,121,100,76.997958977322,2057.80327395722,994
"2037/2038",2038,120,120,100,78.7626917424077,3354.02081180131,683
"2038/2039",2039,120,120,100,87.7879517488545,4070.95180331217,372
"2039/2040",2040,120,120,100,82.5854904600601,3577.04138307367,488
"2040/2041",2041,121,121,100,83.9484837852096,3040.80872537568,505
"2041/2042",2042,120,120,100,84.0297904546724,4155.78792349482,482
"2042/2043",2043,120,120,100,75.0068301171314,1768.18995999405,1039
"2043/2044",2044,120,120,100,84.8477193547496,2963.21695995657,438
"2044/2045",2045,121,121,100,77.5117664953541,1563.37205665279,1023
"2045/2046",2046,120,120,100,76.9137125825637,3930.28735319106,825
"2046/2047",2047,120,120,100,80.566198323625,2689.38767724391,794
"2047/2048",2048,120,120,100,80.2838460454168,1903.01199958846,809
"2048/2049",2049,121,121,100,77.48942339112,1963.86902112141,939
"2049/2050",2050,120,120,100,78.2597206977216,922.247577894013,988
"2050/2051",2051,120,120,100,76.2797148143563,3696.94895548373,768
"2051/2052",2052,120,120,100,79.614069895154,4365.28430256061,514
"2052/2053",2053,121,121,100,81.250465509268,3891.14445098024,524
"2053/2054",2054,120,120,100,82.6804000737466,4000.50405691052,507
"2054/2055",2055,120,120,100,80.2668525233448,2558.83818182582,709
