"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,77.5757728101944,3537.92986822734,848
"2002/2003",2003,120,120,100,75.1222637416365,1164.94053144449,1162
"2003/2004",2004,120,120,100,82.6252625691039,1764.86709482039,672
"2004/2005",2005,121,121,100,83.4297157725308,4065.58996870383,584
"2005/2006",2006,120,120,100,79.376930575517,2752.39532122889,797
"2006/2007",2007,120,120,100,76.7517066397156,2624.97530507855,854
"2007/2008",2008,120,120,100,68.0084920268673,952.627237852023,1077
"2008/2009",2009,121,121,100,80.087073577615,4265.09529684938,621
"2009/2010",2010,120,120,100,80.6717423101441,2085.59159908898,671
"2010/2011",2011,120,120,100,77.1654322856523,1870.19381190767,701
"2011/2012",2012,120,120,100,69.2952986092425,2699.41344377853,1182
"2012/2013",2013,121,121,100,80.2078181149177,2134.21154368087,759
"2013/2014",2014,120,120,100,68.0853130664109,2152.40518563695,1312
"2014/2015",2015,120,120,100,78.4669362762145,3009.55425381183,745
"2015/2016",2016,120,120,100,74.6033393196462,2920.37057739717,944
"2016/2017",2017,121,121,100,77.9274158192234,3520.92134173017,790
"2017/2018",2018,120,120,100,67.845042285338,2381.07789280871,1171
"2018/2019",2019,120,120,100,76.6989490170658,1992.84428444062,1015
"2019/2020",2020,120,120,100,81.5696711102387,3719.01024930901,622
"2020/2021",2021,121,121,100,75.8785858383621,1554.81499320967,1109
"2021/2022",2022,120,120,100,67.0475909608022,4414.97870165156,1072
"2022/2023",2023,120,120,100,74.8868610263371,2381.75788972038,837
"2023/2024",2024,120,120,100,82.9234035679856,4032.9524656923,457
"2024/2025",2025,121,121,100,81.7780119752679,1543.02219144953,659
"2025/2026",2026,120,120,100,63.5460518100808,1239.52668441599,1522
"2026/2027",2027,120,120,100,83.2507824700865,2931.71766564436,611
"2027/2028",2028,120,120,100,66.2921358504746,946.815016168635,1180
"2028/2029",2029,121,121,100,74.041513606302,3742.31825133041,899
"2029/2030",2030,120,120,100,75.9773106332154,2430.65914608701,974
"2030/2031",2031,120,120,100,81.5798418404975,2046.86927982932,796
"2031/2032",2032,120,120,100,82.6831621735028,3112.15172531875,633
"2032/2033",2033,121,121,100,70.2838988658596,1306.72076966427,1142
"2033/2034",2034,120,120,100,67.8171270894254,3057.8873764975,1142
"2034/2035",2035,120,120,100,70.6178438614515,3359.96299873525,1059
"2035/2036",2036,120,120,100,80.9405839069495,2169.21586923674,824
"2036/2037",2037,121,121,100,71.9508274689988,1803.75248470623,1199
"2037/2038",2038,120,120,100,75.6623580853402,3168.28235915164,863
"2038/2039",2039,120,120,100,84.7208504397595,3063.35790846264,457
"2039/2040",2040,120,120,100,79.4710908211691,3050.79834669968,686
"2040/2041",2041,121,121,100,80.2515008350119,2574.06271206541,690
"2041/2042",2042,120,120,100,81.2118757760272,3687.62776310276,660
"2042/2043",2043,120,120,100,72.353885352396,1547.54316259688,1243
"2043/2044",2044,120,120,100,76.718715695496,2717.93514751317,684
"2044/2045",2045,121,121,100,71.1736994524654,1422.13888496347,1180
"2045/2046",2046,120,120,100,72.0737376532697,3571.65392633434,1027
"2046/2047",2047,120,120,100,74.6574779744378,2362.86887594592,921
"2047/2048",2048,120,120,100,76.5237009007524,1776.21773546329,982
"2048/2049",2049,121,121,100,76.3511925389112,1570.03558087861,1094
"2049/2050",2050,120,120,100,73.6815805279703,747.07934637554,1176
"2050/2051",2051,120,120,100,74.3137023241707,3057.57580867549,1024
"2051/2052",2052,120,120,100,78.5956419197755,3430.71618674323,615
"2052/2053",2053,121,121,100,80.0878830182382,2989.56434413465,740
"2053/2054",2054,120,120,100,77.45686968675,3719.72717569629,728
"2054/2055",2055,120,120,100,77.7765589857599,2233.97320607305,955
"2055/2056",2056,120,120,100,70.1145890616599,4356.31322750403,908
"2056/2057",2057,121,121,100,70.51621142148,1659.53030982194,1069
"2057/2058",2058,120,120,100,80.0497058354595,2869.04726572894,752
"2058/2059",2059,120,120,100,70.020561286623,1598.57555900002,1206
"2059/2060",2060,120,120,100,76.7480488154624,3976.76619927958,833
"2060/2061",2061,121,121,100,79.2783425783446,4604.51126805553,670
"2061/2062",2062,120,120,100,68.0158273782563,1292.12957008462,1243
"2062/2063",2063,120,120,100,74.3489479900036,1612.24921977939,970
"2063/2064",2064,120,120,100,73.5616839318664,2744.70650165854,1154
"2064/2065",2065,121,121,100,82.1451429196859,1965.75248437049,721
"2065/2066",2066,120,120,100,83.7041396420864,1908.2728777728,569
"2066/2067",2067,120,120,100,70.8748174994835,1451.06173438719,1067
"2067/2068",2068,120,120,100,82.7274572461265,4010.6939886203,590
"2068/2069",2069,121,121,100,76.963644800664,2427.73401833326,900
"2069/2070",2070,120,120,100,74.9477154099459,2838.73997359443,845
"2070/2071",2071,120,120,100,76.9929663106032,2655.29994584434,808
"2071/2072",2072,120,120,100,68.835893483958,2394.89906009659,1064
"2072/2073",2073,121,121,100,84.2149840735783,4369.20298938733,532
"2073/2074",2074,120,120,100,65.885486371255,4007.84813921526,1055
"2074/2075",2075,120,120,100,79.0644743128887,3560.81714508031,728
"2075/2076",2076,120,120,100,85.0869114220241,3540.48157761153,512
"2076/2077",2077,121,121,100,74.802710459815,1202.76467526797,1047
"2077/2078",2078,120,120,100,72.0539585753395,1318.39069559611,1125
"2078/2079",2079,120,120,100,74.553166782398,2226.12087759841,781
"2079/2080",2080,120,120,100,82.4855612197407,2667.42701379955,639
"2080/2081",2081,121,121,100,68.7603149620518,3392.58665082976,1135
"2081/2082",2082,120,120,100,74.1442003969933,3636.11649472639,781
"2082/2083",2083,120,120,100,77.9948098193781,3157.99049568083,848
"2083/2084",2084,120,120,100,79.7530703360007,1458.1038867468,822
"2084/2085",2085,121,121,100,71.6674411182776,1965.48237719759,976
"2085/2086",2086,120,120,100,71.791848533192,2919.44454915822,1052
"2086/2087",2087,120,120,100,73.4595648521954,2297.10359813459,1052
"2087/2088",2088,120,120,100,69.5943105571205,2778.86039344221,1080
"2088/2089",2089,121,121,100,75.1379015807415,2507.20888071228,948
"2089/2090",2090,120,120,100,76.5625626745732,1266.88336433098,963
"2090/2091",2091,120,120,100,67.5733997330135,2587.41367320251,1194
"2091/2092",2092,120,120,100,74.7398737450967,1409.32803550176,1070
"2092/2093",2093,121,121,100,77.8430394287752,3051.67843484227,856
"2093/2094",2094,120,120,100,63.652227192686,3728.28573674988,1261
"2094/2095",2095,120,120,100,79.8679788614209,1896.80879529938,879
"2095/2096",2096,120,120,100,78.3998565430866,4020.10852285288,672
"2096/2097",2097,121,121,100,67.572846851961,5633.33661237266,936
"2097/2098",2098,120,120,100,66.9891857996536,2953.26681192685,1152
"2098/2099",2099,120,120,100,78.4182374430766,2515.6987275593,827
"2099/2100",2100,120,120,100,77.3461159062954,2733.09969729651,668
"2100/2101",2101,120,120,100,74.1352205825933,2835.16388750076,901
