"Season","End_year","Season_days","Data_days","Perc_complete","Chill_CP","Heat_GDH","Frost_H"
"2001/2002",2002,120,120,100,79.2708880760125,3477.98447497629,744
"2002/2003",2003,120,120,100,75.4591538245351,1255.44351108893,1085
"2003/2004",2004,120,120,100,82.992382745943,2076.40018374994,601
"2004/2005",2005,121,121,100,83.3332348591963,4572.08316395941,522
"2005/2006",2006,120,120,100,81.0684970808807,2642.61861582962,661
"2006/2007",2007,120,120,100,79.2262393032524,2776.21154593275,744
"2007/2008",2008,120,120,100,71.7826634327402,991.923610107682,972
"2008/2009",2009,121,121,100,80.4099185302587,4484.01472156052,563
"2009/2010",2010,120,120,100,82.6572507395013,2182.10930782079,548
"2010/2011",2011,120,120,100,78.9353839883106,2011.70007452124,598
"2011/2012",2012,120,120,100,71.2180438511725,2543.70492926706,1102
"2012/2013",2013,121,121,100,83.2912818412924,2189.92987854395,654
"2013/2014",2014,120,120,100,70.2761257452207,2048.83335538465,1244
"2014/2015",2015,120,120,100,78.5819536202046,3072.62663406762,683
"2015/2016",2016,120,120,100,78.248984468476,2781.13037616422,852
"2016/2017",2017,121,121,100,79.4100535346215,3728.18556269375,738
"2017/2018",2018,120,120,100,72.1363918343332,2273.80182139692,1045
"2018/2019",2019,120,120,100,79.435638763352,2046.86668864684,924
"2019/2020",2020,120,120,100,81.9656503023316,4028.38282121811,566
"2020/2021",2021,121,121,100,76.917825216603,1509.407437396,1031
"2021/2022",2022,120,120,100,69.5724500804868,4224.12315881695,909
"2022/2023",2023,120,120,100,80.4363615065913,2076.34096496319,672
"2023/2024",2024,120,120,100,84.9799045589994,4354.20188179892,397
"2024/2025",2025,121,121,100,83.2849077633709,1945.19489212031,646
"2025/2026",2026,120,120,100,64.6736527281469,1616.6716222309,1458
"2026/2027",2027,120,120,100,85.2841152775327,3076.47606093157,535
"2027/2028",2028,120,120,100,71.3354889672046,911.714054841781,1153
"2028/2029",2029,121,121,100,78.6751314079065,3541.05953192501,766
"2029/2030",2030,120,120,100,77.5145397259753,2616.06454549776,902
"2030/2031",2031,120,120,100,82.1283736007299,2220.53263978614,689
"2031/2032",2032,120,120,100,84.6906346587666,3236.8295638971,561
"2032/2033",2033,121,121,100,74.0488563660974,1361.49952116259,1100
"2033/2034",2034,120,120,100,71.1598461419544,2898.55861623166,988
"2034/2035",2035,120,120,100,74.1321008617169,3291.58526871959,983
"2035/2036",2036,120,120,100,80.3157444464114,2389.17480219854,808
"2036/2037",2037,121,121,100,75.1036242695063,1826.38606774202,1083
"2037/2038",2038,120,120,100,79.5641561658394,2887.32450021338,713
"2038/2039",2039,120,120,100,85.7902686306734,3389.46020611469,390
"2039/2040",2040,120,120,100,81.2648022419062,2991.03277503699,532
"2040/2041",2041,121,121,100,82.741543235401,2471.80416372651,546
"2041/2042",2042,120,120,100,82.7065987531414,3735.53855681652,549
"2042/2043",2043,120,120,100,76.2504248623609,1348.77265457297,1126
"2043/2044",2044,120,120,100,82.7187427601439,2593.92794442177,568
"2044/2045",2045,121,121,100,75.2351653918977,1258.79397043958,1034
"2045/2046",2046,120,120,100,74.2663347909711,3461.89584582392,913
"2046/2047",2047,120,120,100,76.3531397358965,2190.66674079886,861
"2047/2048",2048,120,120,100,80.1119531840841,1529.76618281007,856
"2048/2049",2049,121,121,100,77.4120626273698,1507.09584128251,992
"2049/2050",2050,120,120,100,75.8783714572255,725.856928464957,1074
"2050/2051",2051,120,120,100,76.7218512823274,3170.99079581071,875
"2051/2052",2052,120,120,100,79.1860833963838,3663.69938658737,589
"2052/2053",2053,121,121,100,81.4633246468211,3260.75983578293,595
"2053/2054",2054,120,120,100,80.7026059914342,3469.34379734518,618
"2054/2055",2055,120,120,100,79.4684419777668,2045.84846059512,751
"2055/2056",2056,120,120,100,72.7381655206291,4365.91135810176,812
"2056/2057",2057,121,121,100,71.4539650455117,2010.68496102188,1004
"2057/2058",2058,120,120,100,84.7994294136251,2624.92929709051,578
"2058/2059",2059,120,120,100,73.5546592919709,1448.39583044406,1048
"2059/2060",2060,120,120,100,78.8046415236786,3770.91076238686,735
"2060/2061",2061,121,121,100,80.1038762612407,4569.04997021472,607
"2061/2062",2062,120,120,100,70.4358465365658,1255.14219754469,1154
"2062/2063",2063,120,120,100,76.6667544120919,1649.27499097819,902
"2063/2064",2064,120,120,100,77.2496608866713,2468.42247799458,1020
"2064/2065",2065,121,121,100,82.1805943422532,2343.11709234118,671
"2065/2066",2066,120,120,100,85.969666350853,1875.96792370407,422
"2066/2067",2067,120,120,100,73.5850869806382,1525.21699980041,1023
"2067/2068",2068,120,120,100,83.7177790417027,4467.56486220658,554
"2068/2069",2069,121,121,100,78.3046950030057,2444.82347772736,829
"2069/2070",2070,120,120,100,78.3440815105114,2747.64559805207,713
"2070/2071",2071,120,120,100,77.3367916557072,2946.81740782224,743
"2071/2072",2072,120,120,100,70.9514946575528,2280.22397978418,978
"2072/2073",2073,121,121,100,84.677757091431,4706.22528238315,463
"2073/2074",2074,120,120,100,69.4721875307696,3981.79271712899,937
"2074/2075",2075,120,120,100,81.0036323011391,3942.43988873158,707
"2075/2076",2076,120,120,100,86.9682255038169,3691.79755271971,438
"2076/2077",2077,121,121,100,77.2283862395743,1195.31534056831,976
"2077/2078",2078,120,120,100,76.0714484809741,1247.19378201291,1021
"2078/2079",2079,120,120,100,78.533895303899,2086.93205553852,663
"2079/2080",2080,120,120,100,81.6842783829816,3058.99109317642,583
"2080/2081",2081,121,121,100,74.5969364152916,2940.45770132542,993
"2081/2082",2082,120,120,100,79.9938732708688,3301.69585981779,646
"2082/2083",2083,120,120,100,79.722716123455,3125.11565243732,685
